#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr14_KI270724v1_random	1	39555	20471	39555	100	72.3799	255	32.1
chr14_KI270725v1_random	1	172810	32387	172614	99.8866	27.7378	255	30.9
chr14_KI270726v1_random	1	43739	1924	31770	72.6354	6.53522	255	40
chr15_KI270727v1_random	1	448248	61097	435054	97.0565	20.2409	255	8.46
chr16_KI270728v1_random	1	1872759	109954	1205499	64.3702	8.53645	255	5.73
chr17_GL000205v2_random	1	185591	102717	182050	98.092	81.0837	255	45.6
chr17_KI270729v1_random	1	280839	489688	269139	95.8339	175.999	255	16.3
chr17_KI270730v1_random	1	112551	102994	106604	94.7162	80.5991	255	12.1
chr22_KI270731v1_random	1	150754	37713	149093	98.8982	33.2778	255	4.75
chr22_KI270732v1_random	1	41543	30624	41542	99.9976	108.144	255	48.5
chr22_KI270733v1_random	1	179772	418605	177953	98.9882	336.447	255	11.2
chr22_KI270734v1_random	1	165050	77563	164042	99.3893	53.422	255	11.2
chr22_KI270735v1_random	1	42811	82841	42811	100	228.762	255	23.1
chr22_KI270736v1_random	1	181920	220134	169667	93.2646	90.8942	255	13.6
chr22_KI270737v1_random	1	103838	58194	103330	99.5108	56.9171	255	7.01
chr22_KI270738v1_random	1	99375	25450	95826	96.4287	35.8952	255	46.3
chr22_KI270739v1_random	1	73985	7820	72384	97.836	15.4477	255	12
chrY_KI270740v1_random	1	37240	3146	36453	97.8867	12.3589	255	32.8
chrUn_KI270302v1	1	2274	228	2044	89.8857	14.7089	255	22.9
chrUn_KI270304v1	1	2165	236	1701	78.5681	14.0527	255	12.5
chrUn_KI270303v1	1	1942	493	1931	99.4336	37.0515	255	23.7
chrUn_KI270305v1	1	1472	231	1428	97.0109	23.123	255	22.5
chrUn_KI270322v1	1	21476	2418	5246	24.4273	16.8008	255	24.5
chrUn_KI270320v1	1	4416	3451	4363	98.7998	116.496	255	25.1
chrUn_KI270310v1	1	1201	1332	1193	99.3339	162.555	255	15.3
chrUn_KI270316v1	1	1444	159	1255	86.9114	15.9093	255	11.5
chrUn_KI270315v1	1	2276	565	2276	100	36.0923	255	25.4
chrUn_KI270312v1	1	998	598	964	96.5932	88.4469	255	24.1
chrUn_KI270311v1	1	12399	1321	2862	23.0825	15.4558	255	21.7
chrUn_KI270317v1	1	37690	1088	2864	7.59883	4.21427	255	22.6
chrUn_KI270412v1	1	1179	263	1179	100	33.0204	255	30.4
chrUn_KI270411v1	1	2646	635	2645	99.9622	34.9766	255	30.4
chrUn_KI270414v1	1	2489	1143	2444	98.192	68.5344	255	36.2
chrUn_KI270419v1	1	1029	297	1027	99.8056	42.9495	255	34.1
chrUn_KI270418v1	1	2145	785	2100	97.9021	54.6322	255	35
chrUn_KI270420v1	1	2321	783	2315	99.7415	49.9087	255	35.7
chrUn_KI270424v1	1	2140	948	2116	98.8785	65.6939	255	22.4
chrUn_KI270417v1	1	2043	235	2043	100	16.0705	255	48.5
chrUn_KI270422v1	1	1445	270	1441	99.7232	27.4685	255	29.3
chrUn_KI270423v1	1	981	191	939	95.7187	29.0989	255	25
chrUn_KI270425v1	1	1884	220	1824	96.8153	17.2935	255	22.4
chrUn_KI270429v1	1	1361	583	1357	99.7061	62.6642	255	51.7
chrUn_KI270442v1	1	392061	311752	371030	94.6358	87.7511	255	29.6
chrUn_KI270466v1	1	1233	47952	1233	100	5392.05	255	41.2
chrUn_KI270465v1	1	1774	2557	1754	98.8726	214.294	255	38.8
chrUn_KI270467v1	1	3920	157502	3920	100	5607.71	255	46.4
chrUn_KI270435v1	1	92983	44141	92904	99.915	61.0366	255	36.1
chrUn_KI270438v1	1	112505	770293	84014	74.6758	958.522	255	31.4
chrUn_KI270468v1	1	4055	1441	4055	100	52.4481	255	53.6
chrUn_KI270510v1	1	2415	1868	2415	100	112.92	255	42.6
chrUn_KI270509v1	1	2318	1992	2318	100	127.066	255	50.8
chrUn_KI270518v1	1	2186	1933	2186	100	130.028	255	42.5
chrUn_KI270508v1	1	1951	2046	1946	99.7437	156.33	255	49.8
chrUn_KI270516v1	1	1300	1020	1300	100	112.832	255	48.6
chrUn_KI270512v1	1	22689	9038	22290	98.2414	47.6722	255	28.4
chrUn_KI270519v1	1	138126	59209	137517	99.5591	58.3753	255	40.2
chrUn_KI270522v1	1	5674	1616	5600	98.6958	40.6916	255	44.9
chrUn_KI270511v1	1	8127	3161	8124	99.9631	56.3224	255	45.2
chrUn_KI270515v1	1	6361	5777	6320	99.3554	132.742	255	49.1
chrUn_KI270507v1	1	5353	4055	5353	100	111.305	255	53.3
chrUn_KI270517v1	1	3253	2908	3252	99.9693	131.421	255	45.7
chrUn_KI270529v1	1	1899	601	1899	100	46.9989	255	28.8
chrUn_KI270528v1	1	2983	410	2963	99.3295	19.8015	255	12.3
chrUn_KI270530v1	1	2168	321	2134	98.4317	21.9013	255	26.4
chrUn_KI270539v1	1	993	114	980	98.6908	13.0947	255	29.7
chrUn_KI270538v1	1	91309	39039	63430	69.4674	62.9208	255	39.2
chrUn_KI270544v1	1	1202	1440	1168	97.1714	178.712	255	20.3
chrUn_KI270548v1	1	1599	140	1379	86.2414	12.9356	255	0
chrUn_KI270583v1	1	1400	791	1397	99.7857	82.5479	255	52.6
chrUn_KI270587v1	1	2969	3214	2969	100	160.505	255	44.3
chrUn_KI270580v1	1	1553	863	1550	99.8068	83.0953	255	51.7
chrUn_KI270581v1	1	7046	1761	7023	99.6736	37.1152	255	5.29
chrUn_KI270579v1	1	31033	4285	30698	98.9205	20.2449	255	7.57
chrUn_KI270589v1	1	44474	24478	35191	79.1271	65.0381	255	17.9
chrUn_KI270590v1	1	4685	5256	4685	100	162.57	255	45.8
chrUn_KI270584v1	1	4513	2846	4513	100	92.9869	255	54.1
chrUn_KI270582v1	1	6504	1173	6481	99.6464	26.8319	255	17.4
chrUn_KI270588v1	1	6158	3281	6141	99.7239	78.6871	255	45.9
chrUn_KI270593v1	1	3041	1373	3041	100	66.4844	255	49.2
chrUn_KI270591v1	1	5796	6638	5791	99.9137	140.986	255	35
chrUn_KI270330v1	1	1652	2824	1646	99.6368	252.429	255	32.2
chrUn_KI270329v1	1	1040	282	1035	99.5192	40.3769	255	15.1
chrUn_KI270334v1	1	1368	94	1356	99.1228	10.1104	255	0.0851
chrUn_KI270333v1	1	2699	41311	2699	100	2101.74	255	17.2
chrUn_KI270335v1	1	1048	65	1030	98.2824	9.2166	255	0
chrUn_KI270338v1	1	1428	107	1378	96.4986	11.0616	255	0
chrUn_KI270340v1	1	1428	111	1350	94.5378	11.3382	255	0.901
chrUn_KI270336v1	1	1026	9440	1026	100	1147.79	255	14.2
chrUn_KI270337v1	1	1121	50065	1121	100	6348.22	255	23.9
chrUn_KI270363v1	1	1803	312	1803	100	25.8697	255	40.9
chrUn_KI270364v1	1	2855	420	2838	99.4046	21.2795	255	7.32
chrUn_KI270362v1	1	3530	733	3476	98.4703	30.8768	255	30.9
chrUn_KI270366v1	1	8320	1777	8192	98.4615	31.3224	255	15.3
chrUn_KI270378v1	1	1048	49	1016	96.9466	6.64313	255	30.4
chrUn_KI270379v1	1	1045	66	938	89.7608	9.45742	255	0
chrUn_KI270389v1	1	1298	106	1249	96.225	12.0909	255	3.79
chrUn_KI270390v1	1	2387	77	1649	69.0825	4.69585	255	18.7
chrUn_KI270387v1	1	1537	242	1531	99.6096	22.9564	255	6.76
chrUn_KI270395v1	1	1143	443	1128	98.6877	57.2721	255	23.4
chrUn_KI270396v1	1	1880	663	1836	97.6596	52.6649	255	14
chrUn_KI270388v1	1	1216	272	1215	99.9178	32.9786	255	25.8
chrUn_KI270394v1	1	970	98	832	85.7732	14.9031	255	24.1
chrUn_KI270386v1	1	1788	130	1754	98.0984	10.9044	255	32
chrUn_KI270391v1	1	1484	10	632	42.5876	0.772237	255	10.2
chrUn_KI270383v1	1	1750	38	1273	72.7429	3.14571	255	3.16
chrUn_KI270393v1	1	1308	263	1308	100	29.935	255	32.1
chrUn_KI270384v1	1	1658	451	1657	99.9397	40.4548	255	28
chrUn_KI270392v1	1	971	119	957	98.5582	18.2214	255	22.6
chrUn_KI270381v1	1	1930	209	1916	99.2746	16.1725	255	5.74
chrUn_KI270385v1	1	990	15	409	41.3131	2.15455	255	0
chrUn_KI270382v1	1	4215	288	4026	95.516	10.2052	255	21.3
chrUn_KI270376v1	1	1136	65	905	79.6655	8.38644	255	5.17
chrUn_KI270374v1	1	2656	129	2294	86.3705	6.0945	255	1.28
chrUn_KI270372v1	1	1650	135	1488	90.1818	9.43576	255	0.141
chrUn_KI270373v1	1	1451	84	1272	87.6637	8.59063	255	0
chrUn_KI270375v1	1	2378	229	2207	92.8091	14.1535	255	0
chrUn_KI270371v1	1	2805	141	2346	83.6364	7.34866	255	2.64
chrUn_KI270448v1	1	7992	3107	7992	100	57.3231	255	52.5
chrUn_KI270521v1	1	7642	2575	7611	99.5943	49.7088	255	47.5
chrUn_GL000195v1	1	182896	79338	182594	99.8349	64.6931	255	32.1
chrUn_GL000219v1	1	179198	133289	179198	100	109.248	255	49.8
chrUn_GL000220v1	1	161802	461385	159015	98.2775	412.928	255	4.45
chrUn_GL000224v1	1	179693	188899	179692	99.9994	155.299	255	24.1
chrUn_KI270741v1	1	157432	56846	155580	98.8236	53.2956	255	5.46
chrUn_GL000226v1	1	15008	192767	15008	100	1923.4	255	2.45
chrUn_GL000213v1	1	164239	17958	162833	99.1439	16.197	255	15.2
chrUn_KI270743v1	1	210658	77789	210652	99.9972	54.7107	255	31.5
chrUn_KI270744v1	1	168472	209472	168351	99.9282	177.649	255	21.4
chrUn_KI270745v1	1	41891	8770	41860	99.926	30.7986	255	12.6
chrUn_KI270746v1	1	66486	34595	66415	99.8932	77.5558	255	49.5
chrUn_KI270747v1	1	198735	24991	183597	92.3828	17.967	255	10.1
chrUn_KI270748v1	1	93321	14415	93213	99.8843	22.2296	255	6.87
chrUn_KI270749v1	1	158759	55354	158759	100	51.542	255	38.6
chrUn_KI270750v1	1	148850	47273	148831	99.9872	47.3221	255	34.3
chrUn_KI270751v1	1	150742	97541	150606	99.9098	92.8435	255	24.5
chrUn_KI270752v1	1	27745	62	510	1.83817	0.0942873	255	1.11
chrUn_KI270753v1	1	62944	18511	62928	99.9746	43.5307	255	21
chrUn_KI270754v1	1	40191	35416	39771	98.955	130.969	255	17.4
chrUn_KI270755v1	1	36723	3659	34587	94.1835	14.6747	255	17.8
chrUn_KI270756v1	1	79590	46819	79515	99.9058	54.4835	255	9.25
chrUn_KI270757v1	1	71251	49612	61737	86.6472	91.4207	255	30.9
chrUn_GL000214v1	1	137718	106844	136945	99.4387	112.46	255	10
chrUn_KI270742v1	1	186739	115349	186739	100	91.8079	255	23
chrUn_GL000216v2	1	176608	451016	176378	99.8698	276.436	255	13.8
chrUn_GL000218v1	1	161147	117374	161147	100	108.591	255	41.9
chr1_KI270762v1_alt	1	354444	7195	23120	6.52289	2.71401	255	3.21
chr1_KI270766v1_alt	1	256271	2680	21332	8.324	1.54613	255	17.3
chr1_KI270760v1_alt	1	109528	3212	20386	18.6126	4.38703	255	31.4
chr1_KI270765v1_alt	1	185285	4806	34779	18.7705	3.78607	255	9.73
chr1_GL383518v1_alt	1	182439	259	7210	3.95201	0.189082	255	0.965
chr1_GL383519v1_alt	1	110268	29	709	0.642979	0.0346882	255	0.414
chr1_GL383520v2_alt	1	366580	240	2246	0.61269	0.095829	255	11.6
chr1_KI270764v1_alt	1	50258	917	6353	12.6408	2.52491	255	37
chr1_KI270763v1_alt	1	911658	1923	13272	1.45581	0.310401	255	35.4
chr1_KI270759v1_alt	1	425601	1594	10676	2.50845	0.557388	255	40.8
chr1_KI270761v1_alt	1	165834	1064	6482	3.90873	0.818427	255	9.11
chr2_KI270770v1_alt	1	136240	35	1569	1.15164	0.0338667	255	6.51
chr2_KI270773v1_alt	1	70887	638	4622	6.52024	1.18658	255	12.3
chr2_KI270774v1_alt	1	223625	3080	42093	18.823	2.03979	255	14.2
chr2_KI270769v1_alt	1	120616	1735	11814	9.79472	2.11726	255	24.5
chr2_GL383521v1_alt	1	143390	1248	14157	9.87307	1.25829	255	14
chr2_KI270772v1_alt	1	133041	13093	32202	24.2046	14.6519	255	30.4
chr2_KI270775v1_alt	1	138019	52	760	0.550649	0.0558474	255	8.69
chr2_KI270771v1_alt	1	110395	1030	15899	14.4019	1.38941	255	27.1
chr2_KI270768v1_alt	1	110099	2643	27768	25.2209	3.5779	255	17.9
chr2_GL582966v2_alt	1	96131	8369	884	0.919578	4.76057	255	4.65
chr2_GL383522v1_alt	1	123821	4408	26626	21.5036	5.32343	255	41.7
chr2_KI270776v1_alt	1	174166	112	3612	2.07388	0.0786893	255	5.99
chr2_KI270767v1_alt	1	161578	1010	13283	8.2208	0.820025	255	2.65
chr3_JH636055v2_alt	1	173151	240	2977	1.71931	0.204377	255	10.8
chr3_KI270783v1_alt	1	109187	1646	12458	11.4098	2.25758	255	40.1
chr3_KI270780v1_alt	1	224108	2178	20956	9.35085	1.45321	255	23
chr3_GL383526v1_alt	1	180671	1459	15617	8.64389	1.19813	255	47.6
chr3_KI270777v1_alt	1	173649	1193	9589	5.52206	1.03	255	35.1
chr3_KI270778v1_alt	1	248252	239	3233	1.30231	0.13728	255	7.37
chr3_KI270781v1_alt	1	113034	2276	18894	16.7153	2.99017	255	36
chr3_KI270779v1_alt	1	205312	1085	18113	8.82218	0.734789	255	7.12
chr3_KI270782v1_alt	1	162429	1916	14060	8.65609	1.63479	255	11.6
chr3_KI270784v1_alt	1	184404	588	6637	3.59916	0.427192	255	7.26
chr4_KI270790v1_alt	1	220246	411	2792	1.26767	0.19164	255	8.13
chr4_GL383528v1_alt	1	376187	97	2274	0.604487	0.0381247	255	13.9
chr4_KI270787v1_alt	1	111943	879	10940	9.77283	1.13971	255	35.9
chr4_GL000257v2_alt	1	586476	7847	86395	14.7312	1.97908	255	10.8
chr4_KI270788v1_alt	1	158965	2226	34906	21.9583	2.0582	255	24.4
chr4_GL383527v1_alt	1	164536	3202	18652	11.3361	2.89631	255	50.9
chr4_KI270785v1_alt	1	119912	1521	20343	16.9649	1.76389	255	15.1
chr4_KI270789v1_alt	1	205944	1577	13171	6.39543	1.12432	255	35.5
chr4_KI270786v1_alt	1	244096	800	10346	4.2385	0.453076	255	3.35
chr5_KI270793v1_alt	1	126136	97	1595	1.26451	0.101398	255	16.9
chr5_KI270792v1_alt	1	179043	2835	19278	10.7672	2.29557	255	13.4
chr5_KI270791v1_alt	1	195710	729	9337	4.77083	0.508584	255	14
chr5_GL383532v1_alt	1	82728	172	1714	2.07185	0.303996	255	8.04
chr5_GL949742v1_alt	1	226852	3839	52925	23.3302	2.52455	255	23.5
chr5_KI270794v1_alt	1	164558	1620	15534	9.43983	1.458	255	16.9
chr5_GL339449v2_alt	1	1612928	22892	252538	15.6571	2.07837	255	8.03
chr5_GL383530v1_alt	1	101241	3641	17919	17.6994	5.37743	255	54.5
chr5_KI270796v1_alt	1	172708	59	1855	1.07407	0.0425284	255	7.97
chr5_GL383531v1_alt	1	173459	1877	19598	11.2983	1.61437	255	18.2
chr5_KI270795v1_alt	1	131892	3567	33309	25.2548	3.91406	255	12.4
chr6_GL000250v2_alt	1	4672374	9047	325021	6.95623	0.285096	255	0.334
chr6_KI270800v1_alt	1	175808	225	2557	1.45443	0.188888	255	10.6
chr6_KI270799v1_alt	1	152148	275	5172	3.39932	0.268692	255	9.09
chr6_GL383533v1_alt	1	124736	3244	32219	25.8298	3.89684	255	56.1
chr6_KI270801v1_alt	1	870480	1117	6764	0.777043	0.192431	255	51.1
chr6_KI270802v1_alt	1	75005	806	7965	10.6193	1.59991	255	27
chr6_KB021644v2_alt	1	185823	406	9290	4.99938	0.278755	255	8.04
chr6_KI270797v1_alt	1	197536	443	6755	3.41963	0.328548	255	14.4
chr6_KI270798v1_alt	1	271782	466	4216	1.55124	0.255992	255	7.71
chr7_KI270804v1_alt	1	157952	1414	16330	10.3386	1.31586	255	9.81
chr7_KI270809v1_alt	1	209586	722	6926	3.30461	0.501665	255	6.26
chr7_KI270806v1_alt	1	158166	1092	9665	6.11067	1.01832	255	10.8
chr7_GL383534v2_alt	1	119183	68	745	0.625089	0.0807666	255	19.1
chr7_KI270803v1_alt	1	1111570	21577	203915	18.3448	2.89012	255	27.4
chr7_KI270808v1_alt	1	271455	1474	11834	4.35947	0.803842	255	15.7
chr7_KI270807v1_alt	1	126434	565	8618	6.8162	0.629024	255	8.46
chr7_KI270805v1_alt	1	209988	3045	25056	11.9321	2.10722	255	16.9
chr8_KI270818v1_alt	1	145606	1068	10386	7.13295	1.06595	255	10.5
chr8_KI270812v1_alt	1	282736	376	6174	2.18366	0.159265	255	4.5
chr8_KI270811v1_alt	1	292436	1574	18744	6.40961	0.7767	255	13.5
chr8_KI270821v1_alt	1	985506	9381	114664	11.635	1.4064	255	11.1
chr8_KI270813v1_alt	1	300230	9391	85888	28.6074	4.66075	255	15.2
chr8_KI270822v1_alt	1	624492	11110	137240	21.9763	2.6433	255	11.7
chr8_KI270814v1_alt	1	141812	1923	6729	4.74501	2.02759	255	0.261
chr8_KI270810v1_alt	1	374415	3845	43010	11.4873	1.53501	255	19.8
chr8_KI270819v1_alt	1	133535	1607	7736	5.79324	1.76111	255	55.4
chr8_KI270820v1_alt	1	36640	1510	11257	30.7233	5.96182	255	31.1
chr8_KI270817v1_alt	1	158983	2254	21112	13.2794	2.00765	255	16.4
chr8_KI270816v1_alt	1	305841	1860	15195	4.96827	0.873457	255	10.1
chr8_KI270815v1_alt	1	132244	824	6147	4.64823	0.843048	255	36.6
chr9_GL383539v1_alt	1	162988	490	6520	4.00029	0.445303	255	8.11
chr9_GL383541v1_alt	1	171286	631	8651	5.05062	0.440059	255	8.94
chr9_GL383542v1_alt	1	60032	4609	29884	49.7801	11.409	255	37.9
chr9_KI270823v1_alt	1	439082	303	3997	0.910308	0.0992252	255	7.92
chr10_GL383545v1_alt	1	179254	5330	48225	26.9032	4.42845	255	59
chr10_KI270824v1_alt	1	181496	446	5044	2.77912	0.249912	255	22.8
chr10_GL383546v1_alt	1	309802	631	8685	2.8034	0.299281	255	7.71
chr11_KI270832v1_alt	1	210133	4720	36830	17.527	3.1645	255	10.9
chr11_KI270830v1_alt	1	177092	1709	10459	5.90597	1.42477	255	49.9
chr11_KI270831v1_alt	1	296895	4279	44726	15.0646	2.12374	255	10.3
chr11_KI270829v1_alt	1	204059	761	8481	4.15615	0.553614	255	9.96
chr11_GL383547v1_alt	1	154407	1325	8836	5.72254	1.28089	255	51.1
chr11_JH159136v1_alt	1	200998	2056	14164	7.04684	1.53178	255	45.5
chr11_JH159137v1_alt	1	191409	2856	19747	10.3167	2.23273	255	47.8
chr11_KI270827v1_alt	1	67707	1536	9725	14.3634	3.35531	255	36.3
chr11_KI270826v1_alt	1	186169	847	12610	6.77342	0.669929	255	11.2
chr12_GL877875v1_alt	1	167313	6179	24409	14.5888	5.52266	255	32.4
chr12_GL877876v1_alt	1	408271	2872	39285	9.62229	1.05117	255	14
chr12_KI270837v1_alt	1	40090	586	9335	23.2851	2.16747	255	9.25
chr12_GL383549v1_alt	1	120804	496	5216	4.31774	0.599591	255	8.7
chr12_KI270835v1_alt	1	238139	433	6217	2.61066	0.253848	255	16.4
chr12_GL383550v2_alt	1	169178	4457	29879	17.6613	3.93732	255	31
chr12_GL383552v1_alt	1	138655	100	1377	0.993112	0.0869929	255	8.23
chr12_GL383553v2_alt	1	152874	307	6172	4.03731	0.30028	255	6.56
chr12_KI270834v1_alt	1	119498	181	2250	1.88288	0.147484	255	19.6
chr12_GL383551v1_alt	1	184319	425	6316	3.42667	0.317591	255	9.21
chr12_KI270833v1_alt	1	76061	1252	14438	18.9821	2.3849	255	10
chr12_KI270836v1_alt	1	56134	682	10601	18.8852	1.64433	255	9.35
chr13_KI270840v1_alt	1	191684	257	3390	1.76854	0.177667	255	12.3
chr13_KI270839v1_alt	1	180306	1906	13935	7.72853	1.58304	255	31.5
chr13_KI270843v1_alt	1	103832	793	10220	9.84282	1.13685	255	29.1
chr13_KI270841v1_alt	1	169134	2154	19680	11.6357	1.90597	255	29.9
chr13_KI270838v1_alt	1	306913	811	10848	3.53455	0.370623	255	4.63
chr13_KI270842v1_alt	1	37287	809	9587	25.7114	3.12782	255	10.5
chr14_KI270844v1_alt	1	322166	1433	10736	3.33244	0.657645	255	38.6
chr14_KI270847v1_alt	1	1511111	964	7115	0.470846	0.0952809	255	35.8
chr14_KI270845v1_alt	1	180703	3318	18019	9.97161	2.72983	255	38.3
chr14_KI270846v1_alt	1	1351393	3460	34468	2.55055	0.374644	255	14.9
chr15_KI270852v1_alt	1	478999	24	454	0.094781	0.00687267	255	5.88
chr15_KI270851v1_alt	1	263054	2134	26118	9.92876	1.15812	255	8.08
chr15_KI270848v1_alt	1	327382	3054	43586	13.3135	1.30697	255	9
chr15_GL383554v1_alt	1	296527	3226	48080	16.2144	1.61264	255	0.0697
chr15_KI270849v1_alt	1	244917	1576	17498	7.14446	0.922014	255	10.5
chr15_GL383555v2_alt	1	388773	3991	21893	5.63131	1.52981	255	46.2
chr15_KI270850v1_alt	1	430880	6229	96869	22.4817	2.13457	255	9.82
chr16_KI270854v1_alt	1	134193	2181	17158	12.7861	2.2573	255	8.74
chr16_KI270856v1_alt	1	63982	1797	11522	18.0082	4.13738	255	28.2
chr16_KI270855v1_alt	1	232857	434	3711	1.59368	0.199118	255	6.64
chr16_KI270853v1_alt	1	2659700	33196	331445	12.4617	1.77311	255	9.98
chr16_GL383556v1_alt	1	192462	1591	22006	11.4339	1.2258	255	10.7
chr16_GL383557v1_alt	1	89672	1315	8627	9.62062	2.15212	255	52.5
chr17_GL383563v3_alt	1	375691	7896	85709	22.8137	2.89615	255	11.1
chr17_KI270862v1_alt	1	391357	3844	39152	10.0042	1.40176	255	10
chr17_KI270861v1_alt	1	196688	460	7317	3.7201	0.326548	255	8.97
chr17_KI270857v1_alt	1	2877074	24526	288927	10.0424	1.24977	255	11.7
chr17_JH159146v1_alt	1	278131	83	1985	0.713692	0.0399632	255	26.9
chr17_JH159147v1_alt	1	70345	267	4242	6.03028	0.546293	255	7.78
chr17_GL383564v2_alt	1	133151	332	3164	2.37625	0.364909	255	8.45
chr17_GL000258v2_alt	1	1821992	77231	963990	52.9086	6.2536	255	9.06
chr17_GL383565v1_alt	1	223995	1177	306	0.13661	0.280136	255	1.53
chr17_KI270858v1_alt	1	235827	776	13917	5.90136	0.468119	255	11.7
chr17_KI270859v1_alt	1	108763	2388	16451	15.1255	3.24682	255	38.8
chr17_GL383566v1_alt	1	90219	456	5219	5.78481	0.743158	255	8.76
chr17_KI270860v1_alt	1	178921	2568	26645	14.892	2.032	255	13
chr18_KI270864v1_alt	1	111737	1323	19465	17.4204	1.76491	255	29.8
chr18_GL383567v1_alt	1	289831	1723	19713	6.80155	0.873823	255	31
chr18_GL383570v1_alt	1	164789	1420	14097	8.55458	1.22179	255	11.8
chr18_GL383571v1_alt	1	198278	4008	23088	11.6443	3.00066	255	54.6
chr18_GL383568v1_alt	1	104552	234	4818	4.60823	0.33282	255	6.18
chr18_GL383569v1_alt	1	167950	624	8835	5.26049	0.545531	255	7.92
chr18_GL383572v1_alt	1	159547	864	9123	5.71806	0.720947	255	3.78
chr18_KI270863v1_alt	1	167999	2184	15472	9.20958	1.86256	255	4.36
chr19_KI270868v1_alt	1	61734	871	9153	14.8265	1.70632	255	7.44
chr19_KI270865v1_alt	1	52969	367	2729	5.15207	0.802771	255	11.5
chr19_GL383573v1_alt	1	385657	1155	14702	3.8122	0.441447	255	11.7
chr19_GL383575v2_alt	1	170222	1154	11560	6.79113	1.01166	255	10.1
chr19_GL383576v1_alt	1	188024	1388	22009	11.7054	1.09309	255	13.4
chr19_GL383574v1_alt	1	155864	1815	9019	5.78645	1.7098	255	56.7
chr19_KI270866v1_alt	1	43156	908	4927	11.4167	2.83458	255	40.6
chr19_KI270867v1_alt	1	233762	162	2749	1.17598	0.103845	255	10.2
chr19_GL949746v1_alt	1	987716	6363	157169	15.9124	0.928784	255	2.91
