sample	insert_size	fr_count	rf_count	tandem_count
HG00240	87	609	90	3
HG00240	88	675	106	3
HG00240	89	816	99	3
HG00240	90	833	121	17
HG00240	91	955	139	16
HG00240	92	1015	143	9
HG00240	93	1162	163	2
HG00240	94	1332	156	3
HG00240	95	1455	211	4
HG00240	96	1659	219	4
HG00240	97	1734	218	0
HG00240	98	1854	206	3
HG00240	99	1484	101	3
HG00240	100	4127	1006	69
HG00240	101	3456	1182	1
HG00240	102	3891	276	1
HG00240	103	4407	134	5
HG00240	104	4869	132	5
HG00240	105	5421	118	4
HG00240	106	5999	95	0
HG00240	107	6927	71	2
HG00240	108	7794	90	3
HG00240	109	8421	67	1
HG00240	110	9480	80	0
HG00240	111	10318	47	2
HG00240	112	11667	85	1
HG00240	113	13102	63	1
HG00240	114	14203	72	2
HG00240	115	15749	63	3
HG00240	116	17632	51	2
HG00240	117	19090	51	0
HG00240	118	20906	60	2
HG00240	119	22922	55	2
HG00240	120	24933	50	1
HG00240	121	27244	51	0
HG00240	122	29720	55	1
HG00240	123	31823	49	1
HG00240	124	34095	34	1
HG00240	125	37124	53	2
HG00240	126	39880	41	1
HG00240	127	42393	57	0
HG00240	128	45937	43	4
HG00240	129	48656	34	1
HG00240	130	51605	56	1
HG00240	131	55708	50	4
HG00240	132	58895	21	0
HG00240	133	62320	43	4
HG00240	134	65502	32	1
HG00240	135	69489	42	2
HG00240	136	73265	38	0
HG00240	137	76801	31	1
HG00240	138	80557	44	4
HG00240	139	84734	41	0
HG00240	140	88560	35	3
HG00240	141	92373	52	2
HG00240	142	96632	31	4
HG00240	143	100744	29	1
HG00240	144	104124	34	1
HG00240	145	109009	40	2
HG00240	146	112451	37	1
HG00240	147	117047	41	0
HG00240	148	120738	22	1
HG00240	149	124924	29	1
HG00240	150	128495	29	2
HG00240	151	132647	32	0
HG00240	152	136141	35	1
HG00240	153	140256	38	3
HG00240	154	144608	25	1
HG00240	155	148486	40	4
HG00240	156	151810	38	2
HG00240	157	155904	35	1
HG00240	158	159150	45	0
HG00240	159	162620	23	0
HG00240	160	166700	47	1
HG00240	161	169909	20	0
HG00240	162	172520	40	2
HG00240	163	176744	38	2
HG00240	164	179807	32	1
HG00240	165	183049	24	1
HG00240	166	187086	35	0
HG00240	167	189584	30	0
HG00240	168	191931	17	2
HG00240	169	195808	18	1
HG00240	170	197961	27	3
HG00240	171	200601	22	2
HG00240	172	203178	29	1
HG00240	173	205238	24	1
HG00240	174	206277	24	2
HG00240	175	209729	29	1
HG00240	176	211990	28	1
HG00240	177	213967	19	0
HG00240	178	215650	26	2
HG00240	179	217736	25	2
HG00240	180	219554	27	3
HG00240	181	221922	23	2
HG00240	182	221728	16	2
HG00240	183	224076	17	3
HG00240	184	225066	20	1
HG00240	185	226339	17	3
HG00240	186	227508	24	0
HG00240	187	228886	21	1
HG00240	188	229981	18	3
HG00240	189	230515	24	1
HG00240	190	231807	16	0
HG00240	191	232950	16	3
HG00240	192	233791	15	2
HG00240	193	234375	17	1
HG00240	194	235576	13	1
HG00240	195	236098	19	1
HG00240	196	236432	13	0
HG00240	197	237240	11	3
HG00240	198	236825	14	1
HG00240	199	238997	4	1
HG00240	200	239365	7	2
HG00240	201	239572	7	1
HG00240	202	239429	7	1
HG00240	203	240923	8	1
HG00240	204	240030	7	0
HG00240	205	240983	7	0
HG00240	206	241421	7	4
HG00240	207	242018	10	1
HG00240	208	242000	7	5
HG00240	209	242797	6	3
HG00240	210	243285	11	1
HG00240	211	243600	16	3
HG00240	212	243755	9	4
HG00240	213	242489	4	2
HG00240	214	243010	7	4
HG00240	215	242950	10	2
HG00240	216	242695	10	4
HG00240	217	242719	13	3
HG00240	218	242895	7	5
HG00240	219	242941	8	2
HG00240	220	243228	5	14
HG00240	221	242796	5	8
HG00240	222	243161	8	2
HG00240	223	242825	6	2
HG00240	224	241889	6	3
HG00240	225	242852	8	3
HG00240	226	241756	2	1
HG00240	227	241039	10	4
HG00240	228	241216	5	0
HG00240	229	240756	12	6
HG00240	230	240469	9	4
HG00240	231	240270	6	0
HG00240	232	240720	6	1
HG00240	233	239448	7	1
HG00240	234	238965	9	2
HG00240	235	237088	9	3
HG00240	236	237484	7	5
HG00240	237	236415	4	4
HG00240	238	235047	9	3
HG00240	239	234976	7	1
HG00240	240	234088	9	2
HG00240	241	233840	4	2
HG00240	242	233792	6	6
HG00240	243	232646	4	1
HG00240	244	230839	8	0
HG00240	245	229642	3	3
HG00240	246	229279	6	2
HG00240	247	228056	7	2
HG00240	248	227395	8	0
HG00240	249	226465	6	1
HG00240	250	225458	10	1
HG00240	251	224939	8	2
HG00240	252	223376	4	2
HG00240	253	222221	5	2
HG00240	254	221756	6	3
HG00240	255	219807	3	3
HG00240	256	218484	7	3
HG00240	257	217486	6	5
HG00240	258	216213	6	3
HG00240	259	213738	7	0
HG00240	260	213346	10	0
HG00240	261	211882	10	1
HG00240	262	211502	5	3
HG00240	263	209709	5	2
HG00240	264	208868	8	2
HG00240	265	206265	8	2
HG00240	266	204962	3	2
HG00240	267	204032	7	1
HG00240	268	202265	2	1
HG00240	269	201296	6	0
HG00240	270	199865	5	1
HG00240	271	198373	8	3
HG00240	272	196635	6	2
HG00240	273	194835	4	1
HG00240	274	193300	6	2
HG00240	275	192522	6	3
HG00240	276	190215	1	4
HG00240	277	189383	5	1
HG00240	278	187043	4	2
HG00240	279	186118	8	4
HG00240	280	184174	6	1
HG00240	281	182579	4	2
HG00240	282	181056	5	2
HG00240	283	179925	8	3
HG00240	284	178833	6	1
HG00240	285	176205	5	1
HG00240	286	174624	8	2
HG00240	287	173020	5	0
HG00240	288	171465	2	1
HG00240	289	169014	6	3
HG00240	290	167333	7	2
HG00240	291	166342	5	1
HG00240	292	164423	5	6
HG00240	293	163251	7	1
HG00240	294	161504	3	4
HG00240	295	160332	4	0
HG00240	296	157439	2	0
HG00240	297	156268	6	3
HG00240	298	155105	8	0
HG00240	299	152848	8	4
HG00240	300	151379	7	1
HG00240	301	149668	5	5
HG00240	302	148100	11	4
HG00240	303	146481	7	2
HG00240	304	144935	7	2
HG00240	305	143365	5	1
HG00240	306	142206	6	3
HG00240	307	141072	10	1
HG00240	308	138497	1	1
HG00240	309	136600	5	1
HG00240	310	134907	5	3
HG00240	311	133383	5	1
HG00240	312	132195	6	2
HG00240	313	130383	9	2
HG00240	314	129416	6	1
HG00240	315	128176	4	2
HG00240	316	125995	5	2
HG00240	317	124170	9	0
HG00240	318	123242	9	3
HG00240	319	121341	10	1
HG00240	320	119926	11	1
HG00240	321	117890	5	1
HG00240	322	117057	9	1
HG00240	323	115278	5	2
HG00240	324	113828	8	3
HG00240	325	112806	5	0
HG00240	326	111044	3	3
HG00240	327	109659	11	2
HG00240	328	108621	7	2
HG00240	329	106861	9	1
HG00240	330	105354	6	2
HG00240	331	103932	6	1
HG00240	332	103224	5	1
HG00240	333	101253	8	5
HG00240	334	99445	7	1
HG00240	335	99149	4	2
HG00240	336	97173	9	2
HG00240	337	95548	10	2
HG00240	338	94451	5	2
HG00240	339	93213	5	1
HG00240	340	91468	7	5
HG00240	341	90600	11	1
HG00240	342	89231	8	4
HG00240	343	88052	12	2
HG00240	344	87083	3	1
HG00240	345	85506	5	4
HG00240	346	84768	4	1
HG00240	347	83310	8	5
HG00240	348	81988	5	2
HG00240	349	80926	9	1
HG00240	350	79501	5	6
HG00240	351	78600	10	2
HG00240	352	77641	5	1
HG00240	353	76587	6	3
HG00240	354	75269	5	3
HG00240	355	74540	10	4
HG00240	356	73393	11	0
HG00240	357	72095	3	3
HG00240	358	71320	3	1
HG00240	359	69835	7	1
HG00240	360	68796	3	2
HG00240	361	67915	6	2
HG00240	362	66766	6	3
HG00240	363	66252	11	1
HG00240	364	65245	12	2
HG00240	365	64655	5	3
HG00240	366	63363	6	4
HG00240	367	62060	8	4
HG00240	368	61165	8	3
HG00240	369	60051	10	3
HG00240	370	59495	6	3
HG00240	371	58647	7	1
HG00240	372	57651	11	0
HG00240	373	56656	6	3
HG00240	374	55872	12	2
HG00240	375	54857	5	1
HG00240	376	54397	5	2
HG00240	377	53513	7	0
HG00240	378	52473	7	5
HG00240	379	51897	2	2
HG00240	380	50972	7	2
HG00240	381	49966	4	2
HG00240	382	49167	3	1
HG00240	383	48511	6	2
HG00240	384	47487	5	1
HG00240	385	47126	3	2
HG00240	386	46003	7	2
HG00240	387	45629	4	2
HG00240	388	44756	7	1
HG00240	389	44356	16	2
HG00240	390	43651	6	2
HG00240	391	42968	7	3
HG00240	392	41991	7	1
HG00240	393	41205	10	1
HG00240	394	41201	9	0
HG00240	395	40181	4	1
HG00240	396	39593	5	2
HG00240	397	39028	14	2
HG00240	398	38052	4	0
HG00240	399	37713	5	0
HG00240	400	37042	6	1
HG00240	401	36602	4	1
HG00240	402	35704	4	3
HG00240	403	35245	8	1
HG00240	404	34328	5	3
HG00240	405	34411	4	2
HG00240	406	33660	8	3
HG00240	407	33353	9	3
HG00240	408	32736	5	6
HG00240	409	32089	8	3
HG00240	410	31422	9	0
HG00240	411	31287	10	1
HG00240	412	30498	9	0
HG00240	413	30175	6	1
HG00240	414	29618	9	3
HG00240	415	29091	4	2
HG00240	416	28755	3	0
HG00240	417	28156	13	4
HG00240	418	27812	8	2
HG00240	419	27281	0	1
HG00240	420	26600	6	1
HG00240	421	26336	4	4
HG00240	422	25880	9	1
HG00240	423	25450	5	3
HG00240	424	25125	8	1
HG00240	425	24848	5	6
HG00240	426	24216	3	2
HG00240	427	23873	6	0
HG00240	428	23521	4	4
HG00240	429	22947	6	3
HG00240	430	22828	2	1
HG00240	431	22267	10	0
HG00240	432	22180	4	6
HG00240	433	21522	6	1
HG00240	434	20975	10	2
HG00240	435	21078	5	3
HG00240	436	20667	7	1
HG00240	437	20216	3	3
HG00240	438	19964	6	5
HG00240	439	19497	4	1
HG00240	440	18843	4	4
HG00240	441	18999	4	1
HG00240	442	18681	8	3
HG00240	443	18273	11	3
HG00240	444	17961	7	3
HG00240	445	17947	3	2
HG00240	446	17362	5	2
HG00240	447	17009	2	2
HG00240	448	16799	8	3
HG00240	449	16590	5	3
HG00240	450	16384	7	4
HG00240	451	15854	7	0
HG00240	452	15628	4	2
HG00240	453	15522	3	3
HG00240	454	15303	5	2
HG00240	455	15034	6	2
HG00240	456	14827	6	1
HG00240	457	14576	3	1
HG00240	458	14318	3	0
HG00240	459	14298	3	2
HG00240	460	13989	6	3
HG00240	461	13604	5	3
HG00240	462	13409	4	3
HG00240	463	13285	2	3
HG00240	464	12868	8	2
HG00240	465	12854	7	5
HG00240	466	12725	7	0
HG00240	467	12289	2	4
HG00240	468	11983	4	2
HG00240	469	11861	3	2
HG00240	470	11693	6	2
HG00240	471	11486	6	4
HG00240	472	11336	5	1
HG00240	473	11201	5	1
HG00240	474	10833	5	2
HG00240	475	10846	4	2
HG00240	476	10502	4	3
HG00240	477	10426	4	2
HG00240	478	10404	4	1
HG00240	479	9933	4	2
HG00240	480	10035	6	4
HG00240	481	9709	6	2
HG00240	482	9516	4	2
HG00240	483	9473	8	2
HG00240	484	9261	6	1
HG00240	485	9143	6	6
HG00240	486	8935	4	4
HG00240	487	9147	1	2
HG00240	488	8880	4	1
HG00240	489	8533	3	1
HG00240	490	8467	3	4
HG00240	491	8397	7	2
HG00240	492	8133	1	1
HG00240	493	8115	5	2
HG00240	494	7875	8	6
HG00240	495	7896	4	0
HG00240	496	7875	1	0
HG00240	497	7619	4	2
HG00240	498	7470	4	4
HG00240	499	7390	4	2
HG00240	500	7198	10	2
HG00240	501	7034	3	1
HG00240	502	6875	7	3
HG00240	503	7118	7	0
HG00240	504	6785	3	2
HG00240	505	6675	8	4
HG00240	506	6438	4	4
HG00240	507	6471	4	2
HG00240	508	6336	4	3
HG00240	509	6321	2	0
HG00240	510	6298	1	2
HG00240	511	6051	4	3
HG00240	512	5940	6	5
HG00240	513	5882	8	0
HG00240	514	5643	5	4
HG00240	515	5761	0	4
HG00240	516	5536	5	3
HG00240	517	5464	4	2
HG00240	518	5300	2	3
HG00240	519	5350	3	1
HG00240	520	5237	5	1
HG00240	521	5255	1	4
HG00240	522	5120	4	1
HG00240	523	5007	5	0
HG00240	524	4971	2	9
HG00240	525	4826	4	4
HG00240	526	4738	4	4
HG00240	527	4750	5	5
HG00240	528	4596	2	4
HG00240	529	4606	0	1
HG00240	530	4400	6	2
HG00240	531	4326	1	0
HG00240	532	4319	4	1
HG00240	533	4254	0	6
HG00240	534	4292	0	4
HG00240	535	4141	5	5
HG00240	536	4087	9	2
HG00240	537	4075	5	4
HG00240	538	3884	1	3
HG00240	539	4037	3	4
HG00240	540	3901	1	1
HG00240	541	3812	3	4
HG00240	542	3713	1	3
HG00240	543	3670	1	0
HG00240	544	3530	2	5
HG00240	545	3491	3	1
HG00240	546	3398	4	1
HG00240	547	3492	0	1
HG00240	548	3405	1	3
HG00240	549	3276	3	2
HG00240	550	3362	8	2
HG00240	551	3303	7	4
HG00240	552	3147	1	4
HG00240	553	3088	6	4
HG00240	554	3074	2	3
HG00240	555	3062	3	4
HG00240	556	2968	1	0
HG00240	557	2910	5	3
HG00240	558	2969	0	4
HG00240	559	2935	1	3
HG00240	560	2894	3	4
HG00240	561	2806	3	2
HG00240	562	2836	1	1
HG00240	563	2705	4	3
HG00240	564	2703	3	4
HG00240	565	2744	0	4
HG00240	566	2589	2	3
HG00240	567	2464	2	2
HG00240	568	2644	1	3
HG00240	569	2470	3	5
HG00240	570	2415	3	3
HG00240	571	2428	3	4
HG00240	572	2338	5	1
HG00240	573	2352	3	1
HG00240	574	2367	2	6
HG00240	575	2277	3	1
HG00240	576	2236	4	5
HG00240	577	2190	2	5
HG00240	578	2138	0	2
HG00240	579	2135	0	4
HG00240	580	2055	4	4
HG00240	581	2007	4	2
HG00240	582	2042	0	4
HG00240	583	2038	2	1
HG00240	584	1865	0	6
HG00240	585	1938	2	1
HG00240	586	1875	1	5
HG00240	587	1866	2	2
HG00240	588	1878	2	7
HG00240	589	1917	2	0
HG00240	590	1773	2	2
HG00240	591	1774	1	2
HG00240	592	1781	2	4
HG00240	593	1789	4	7
HG00240	594	1748	1	2
HG00240	595	1651	6	1
HG00240	596	1672	1	2
HG00240	597	1678	3	0
HG00240	598	1583	1	3
HG00240	599	1576	4	1
HG00240	600	1581	4	2
HG00240	601	1540	3	3
HG00240	602	1528	4	6
HG00240	603	1473	3	3
HG00240	604	1413	0	5
HG00240	605	1395	0	2
HG00240	606	1435	2	2
HG00240	607	1407	0	3
HG00240	608	1364	2	4
HG00240	609	1305	3	4
HG00240	610	1260	0	2
HG00240	611	1236	1	3
HG00240	612	1167	4	3
HG00240	613	1194	1	2
HG00240	614	1213	2	1
HG00240	615	1116	3	3
HG00240	616	1076	1	3
HG00240	617	1131	3	3
HG00240	618	1129	1	3
HG00240	619	1070	0	3
HG00240	620	1076	2	2
HG00240	621	1071	2	2
HG00240	622	1057	0	2
HG00240	623	1069	1	5
HG00240	624	1008	4	3
HG00240	625	1053	2	2
HG00240	626	974	3	1
HG00240	627	893	0	2
HG00240	628	942	4	5
HG00240	629	930	2	2
HG00240	630	936	2	0
HG00240	631	990	5	3
HG00240	632	942	1	8
HG00240	633	907	0	2
HG00240	634	876	3	3
HG00240	635	872	2	2
HG00240	636	839	1	3
HG00240	637	833	5	3
HG00240	638	831	5	2
HG00240	639	792	2	5
HG00240	640	822	3	1
HG00240	641	778	4	1
HG00240	642	744	0	5
HG00240	643	797	2	4
HG00240	644	740	2	1
HG00240	645	740	4	1
HG00240	646	743	1	2
HG00240	647	775	1	3
HG00240	648	740	4	4
HG00240	649	698	3	3
HG00240	650	654	1	0
HG00240	651	734	2	3
HG00240	652	710	4	3
HG00240	653	746	1	3
HG00240	654	682	3	5
HG00240	655	621	2	2
HG00240	656	659	2	4
HG00240	657	620	3	1
HG00240	658	659	4	2
HG00240	659	643	0	3
HG00240	660	665	3	5
HG00240	661	677	2	3
HG00240	662	629	1	1
HG00240	663	589	2	2
HG00240	664	635	3	5
HG00240	665	594	0	1
HG00240	666	602	3	2
HG00240	667	525	3	4
HG00240	668	572	1	3
HG00240	669	545	3	0
HG00240	670	532	1	1
HG00240	671	539	1	5
HG00240	672	539	2	3
HG00240	673	546	2	5
HG00240	674	466	2	3
HG00240	675	521	1	3
HG00240	676	481	1	1
HG00240	677	509	2	3
HG00240	678	464	1	4
HG00240	679	449	0	3
HG00240	680	437	1	2
HG00240	681	478	2	3
HG00240	682	494	3	4
HG00240	683	418	0	2
HG00240	684	475	3	2
HG00240	685	454	3	2
HG00240	686	432	2	2
HG00240	687	434	1	3
HG00240	688	433	3	1
HG00240	689	397	3	3
HG00240	690	408	4	1
HG00240	691	387	0	1
HG00240	692	380	1	1
HG00240	693	368	0	0
HG00240	694	431	2	0
HG00240	695	388	2	3
HG00240	696	415	1	3
HG00240	697	349	2	3
HG00240	698	337	0	1
HG00240	699	322	3	4
HG00240	700	351	1	3
HG00240	701	346	0	1
HG00240	702	310	3	2
HG00240	703	337	5	4
HG00240	704	349	3	0
HG00240	705	328	0	3
HG00240	706	344	0	1
HG00240	707	328	0	3
HG00240	708	291	1	0
HG00240	709	331	1	1
HG00240	710	309	1	2
HG00240	711	301	4	5
HG00240	712	299	2	3
HG00240	713	283	1	4
HG00240	714	285	0	0
HG00240	715	280	4	1
HG00240	716	300	0	2
HG00240	717	272	1	3
HG00240	718	268	1	0
HG00240	719	287	4	3
HG00240	720	279	2	3
HG00240	721	256	7	5
HG00240	722	302	2	0
HG00240	723	273	1	3
HG00240	724	264	3	6
HG00240	725	285	2	4
HG00240	726	233	2	2
HG00240	727	259	1	2
HG00240	728	234	4	1
HG00240	729	234	1	7
HG00240	730	223	2	3
HG00240	731	236	3	3
HG00240	732	244	2	2
HG00240	733	252	2	5
HG00240	734	211	3	1
HG00240	735	226	3	3
HG00240	736	214	3	2
HG00240	737	223	3	4
HG00240	738	210	2	3
HG00240	739	204	1	2
HG00240	740	227	1	1
HG00240	741	187	4	2
