## htsjdk.samtools.metrics.StringHeader
# picard.analysis.CollectGcBiasMetrics CHART_OUTPUT=SRR4238379_subsamp.sorted.gc_bias_metrics.pdf SUMMARY_OUTPUT=SRR4238379_subsamp.sorted.summary_metrics.txt INPUT=SRR4238379_subsamp.sorted.bam OUTPUT=SRR4238379_subsamp.sorted.gc_bias_metrics.txt REFERENCE_SEQUENCE=genome.fa    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Apr 05 11:16:02 UTC 2017

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	47	275532	4169	29	1.913261	0.029632			
All Reads	48	221241	3373	29	1.927814	0.033194			
All Reads	49	174727	2559	30	1.85193	0.036609			
All Reads	50	133922	1730	29	1.63346	0.039272			
All Reads	51	101846	1123	28	1.394281	0.041606			
All Reads	52	75504	1176	30	1.969481	0.057431			
All Reads	53	54607	798	29	1.84786	0.065414			
All Reads	54	39253	1056	29	3.401774	0.104682			
All Reads	55	29051	839	28	3.65187	0.126077			
All Reads	56	20674	398	31	2.434294	0.12202			
All Reads	57	14750	565	29	4.843629	0.203773			
All Reads	58	10569	596	30	7.130611	0.292081			
All Reads	59	7399	425	30	7.263238	0.352319			
All Reads	60	5352	158	26	3.732978	0.29698			
All Reads	61	3921	490	28	15.802058	0.713864			
All Reads	62	3240	233	28	9.093379	0.595727			
All Reads	63	2172	126	29	7.335422	0.653491			
All Reads	64	1389	0	0	0	0			
All Reads	65	1080	0	0	0	0			
All Reads	66	731	2	0	0.345961	0.244631			
All Reads	67	426	3	0	0.890484	0.514121			
All Reads	68	252	0	0	0	0			
All Reads	69	161	0	0	0	0			
All Reads	70	111	0	0	0	0			
All Reads	71	80	0	0	0	0			
All Reads	72	30	0	0	0	0			
All Reads	73	22	0	0	0	0			
All Reads	74	10	0	0	0	0			
All Reads	75	5	0	0	0	0			
All Reads	76	2	0	0	0	0			
All Reads	77	0	0	0	0	0			
All Reads	78	0	0	0	0	0			
All Reads	79	0	0	0	0	0			
All Reads	80	0	0	0	0	0			
All Reads	81	0	0	0	0	0			
All Reads	82	0	0	0	0	0			
All Reads	83	0	0	0	0	0			
All Reads	84	0	0	0	0	0			
All Reads	85	0	0	0	0	0			
All Reads	86	0	0	0	0	0			
All Reads	87	0	0	0	0	0			
All Reads	88	0	0	0	0	0			
All Reads	89	0	0	0	0	0			
All Reads	90	0	0	0	0	0			
All Reads	91	0	0	0	0	0			
All Reads	92	0	0	0	0	0			
All Reads	93	0	0	0	0	0			
All Reads	94	0	0	0	0	0			
All Reads	95	0	0	0	0	0			
All Reads	96	0	0	0	0	0			
All Reads	97	0	0	0	0	0			
All Reads	98	0	0	0	0	0			
All Reads	99	0	0	0	0	0			
All Reads	100	0	0	0	0	0			


