## htsjdk.samtools.metrics.StringHeader
# picard.analysis.CollectGcBiasMetrics CHART_OUTPUT=SRR4238359_subsamp.sorted.gc_bias_metrics.pdf SUMMARY_OUTPUT=SRR4238359_subsamp.sorted.summary_metrics.txt INPUT=SRR4238359_subsamp.sorted.bam OUTPUT=SRR4238359_subsamp.sorted.gc_bias_metrics.txt REFERENCE_SEQUENCE=genome.fa    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Apr 05 11:15:42 UTC 2017

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	42	637478	6498	29	1.291791	0.016025			
All Reads	43	566764	6506	29	1.454754	0.018036			
All Reads	44	488039	5919	29	1.536992	0.019978			
All Reads	45	409623	5854	28	1.811116	0.023671			
All Reads	46	339335	5122	29	1.912884	0.026728			
All Reads	47	275532	4304	29	1.979602	0.030175			
All Reads	48	221241	3631	28	2.079881	0.034516			
All Reads	49	174727	2827	29	2.050423	0.038564			
All Reads	50	133922	2083	28	1.971129	0.043189			
All Reads	51	101846	1413	29	1.758231	0.046774			
All Reads	52	75504	1523	28	2.556276	0.065502			
All Reads	53	54607	1024	30	2.376454	0.074264			
All Reads	54	39253	1051	30	3.393186	0.104666			
All Reads	55	29051	746	28	3.254284	0.119148			
All Reads	56	20674	575	29	3.524691	0.14699			
All Reads	57	14750	776	28	6.667261	0.239341			
All Reads	58	10569	763	28	9.14889	0.331212			
All Reads	59	7399	504	29	8.632474	0.384521			
All Reads	60	5352	154	28	3.646552	0.293848			
All Reads	61	3921	476	27	15.384659	0.705155			
All Reads	62	3240	183	27	7.157871	0.529125			
All Reads	63	2172	117	28	6.82659	0.631118			
All Reads	64	1389	1	0	0.091238	0.091238			
All Reads	65	1080	3	0	0.352026	0.203243			
All Reads	66	731	2	0	0.346729	0.245175			
All Reads	67	426	1	0	0.297487	0.297487			
All Reads	68	252	0	0	0	0			
All Reads	69	161	0	0	0	0			
All Reads	70	111	0	0	0	0			
All Reads	71	80	0	0	0	0			
All Reads	72	30	0	0	0	0			
All Reads	73	22	0	0	0	0			
All Reads	74	10	0	0	0	0			
All Reads	75	5	0	0	0	0			
All Reads	76	2	0	0	0	0			
All Reads	77	0	0	0	0	0			
All Reads	78	0	0	0	0	0			
All Reads	79	0	0	0	0	0			
All Reads	80	0	0	0	0	0			
All Reads	81	0	0	0	0	0			
All Reads	82	0	0	0	0	0			
All Reads	83	0	0	0	0	0			
All Reads	84	0	0	0	0	0			
All Reads	85	0	0	0	0	0			
All Reads	86	0	0	0	0	0			
All Reads	87	0	0	0	0	0			
All Reads	88	0	0	0	0	0			
All Reads	89	0	0	0	0	0			
All Reads	90	0	0	0	0	0			
All Reads	91	0	0	0	0	0			
All Reads	92	0	0	0	0	0			
All Reads	93	0	0	0	0	0			
All Reads	94	0	0	0	0	0			
All Reads	95	0	0	0	0	0			
All Reads	96	0	0	0	0	0			
All Reads	97	0	0	0	0	0			
All Reads	98	0	0	0	0	0			
All Reads	99	0	0	0	0	0			
All Reads	100	0	0	0	0	0			


