## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[NRS_ASCL1_KO_R1.sorted.bam] OUTPUT=NRS_ASCL1_KO_R1.mLb.mkD.sorted.bam METRICS_FILE=NRS_ASCL1_KO_R1.mLb.mkD.MarkDuplicates.metrics.txt REMOVE_DUPLICATES=false ASSUME_SORTED=true TMP_DIR=[tmp] VALIDATION_STRINGENCY=LENIENT    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Feb 05 18:00:08 UTC 2020

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
NRS_ASCL1_KO_R1_T1	225650	16502510	0	392420	118725	4900480	161971	0.29851	22413948
NRS_ASCL1_KO_R1_T3	226531	16352125	0	394037	119810	4913061	161285	0.302025	21871100
NRS_ASCL1_KO_R1_T2	217421	16308578	0	381051	114244	4975326	155802	0.306533	21362718

## HISTOGRAM	java.lang.Double
set_size	all_sets	optical_sets	non_optical_sets
113.0	130	0	133
114.0	119	0	113
115.0	103	0	100
116.0	95	0	105
117.0	109	0	97
118.0	100	0	98
119.0	89	0	90
120.0	120	0	106
121.0	76	0	79
122.0	85	0	77
123.0	75	0	89
124.0	91	0	76
125.0	67	0	80
126.0	86	0	101
127.0	106	0	86
128.0	72	0	78
129.0	73	0	80
130.0	99	0	74
131.0	69	0	79
132.0	60	0	74
133.0	82	0	71
134.0	79	0	87
135.0	73	0	66
136.0	69	0	57
137.0	57	0	51
138.0	49	0	50
139.0	53	0	55
140.0	55	0	51
141.0	45	0	58
142.0	60	0	60
143.0	53	0	62
144.0	66	0	61
145.0	58	0	50
146.0	53	0	54
147.0	52	0	43
148.0	48	0	61
149.0	55	0	54
150.0	57	0	51
151.0	52	0	64
152.0	61	0	51
153.0	48	0	47
154.0	55	0	55
155.0	65	0	51
156.0	34	0	39
157.0	38	0	37
158.0	44	0	49
159.0	43	0	35
160.0	35	0	45
161.0	44	0	40
162.0	35	0	33
163.0	36	0	46
164.0	38	0	30
165.0	38	0	34
166.0	42	0	46
167.0	34	0	31
168.0	34	0	36
169.0	36	0	35
170.0	42	0	42
171.0	31	0	35
172.0	39	0	24
173.0	29	0	35
174.0	33	0	25
175.0	27	0	31
176.0	23	0	21
177.0	25	0	32
178.0	31	0	35
179.0	34	0	28
180.0	37	0	41
181.0	28	0	23
182.0	19	0	30
183.0	40	0	27
184.0	18	0	16
185.0	25	0	25
186.0	19	0	28
187.0	22	0	16
188.0	23	0	24
189.0	25	0	22
190.0	22	0	27
191.0	31	0	28
192.0	21	0	19
193.0	18	0	15
194.0	21	0	25
195.0	20	0	18
196.0	18	0	18
197.0	19	0	17
198.0	18	0	22
199.0	18	0	16
200.0	18	0	18
201.0	20	0	15
202.0	18	0	17
203.0	14	0	26
204.0	23	0	24
205.0	22	0	22
206.0	24	0	21
207.0	24	0	17
208.0	21	0	22
209.0	13	0	15
210.0	17	0	8
211.0	9	0	15
212.0	22	0	22
213.0	9	0	8
214.0	10	0	11
215.0	11	0	14
216.0	22	0	16
217.0	16	0	21
218.0	14	0	10
219.0	12	0	11
220.0	13	0	14
221.0	15	0	17
222.0	15	0	16
223.0	13	0	15
224.0	13	0	9
225.0	19	0	14
226.0	11	0	10
227.0	9	0	12
228.0	10	0	9
229.0	6	0	10
230.0	21	0	12
231.0	8	0	12
232.0	8	0	14
233.0	18	0	16
234.0	10	0	8
235.0	12	0	5
236.0	4	0	11
237.0	12	0	11
238.0	6	0	10
239.0	13	0	11
240.0	11	0	9
241.0	13	0	11
242.0	3	0	7
243.0	13	0	5
244.0	3	0	1
245.0	6	0	11
246.0	5	0	8
247.0	9	0	8
248.0	3	0	8
249.0	10	0	8
250.0	12	0	14
251.0	14	0	9
252.0	9	0	7
253.0	6	0	7
254.0	8	0	10
255.0	7	0	5
256.0	9	0	9
257.0	8	0	7
258.0	8	0	10
259.0	6	0	5
260.0	8	0	10
261.0	9	0	8
262.0	8	0	5
263.0	5	0	4
264.0	3	0	7
265.0	7	0	8
266.0	10	0	9
267.0	2	0	6
268.0	8	0	8
269.0	16	0	12
270.0	10	0	6
271.0	4	0	4
272.0	6	0	2
273.0	3	0	4
274.0	3	0	5
275.0	5	0	8
276.0	6	0	10
277.0	13	0	10
278.0	4	0	2
279.0	6	0	3
280.0	5	0	9
281.0	5	0	8
282.0	8	0	8
283.0	6	0	9
284.0	9	0	3
285.0	4	0	6
286.0	6	0	6
287.0	8	0	5
288.0	5	0	3
289.0	4	0	6
290.0	3	0	6
291.0	6	0	3
292.0	2	0	7
293.0	6	0	4
294.0	8	0	3
295.0	5	0	7
296.0	6	0	7
297.0	5	0	5
298.0	5	0	3
299.0	6	0	6
300.0	2	0	8
301.0	6	0	7
302.0	6	0	7
303.0	8	0	6
304.0	8	0	4
305.0	7	0	6
306.0	4	0	2
307.0	3	0	2
308.0	4	0	2
309.0	4	0	5
310.0	2	0	2
311.0	1	0	3
312.0	5	0	4
313.0	6	0	4
314.0	1	0	5
315.0	6	0	8
316.0	5	0	5
317.0	6	0	4
318.0	5	0	5
319.0	4	0	3
320.0	2	0	4
321.0	4	0	3
322.0	5	0	4
323.0	2	0	5
324.0	4	0	4
325.0	3	0	4
326.0	7	0	4
327.0	3	0	4
328.0	7	0	4
329.0	4	0	5
330.0	4	0	4
331.0	4	0	2
332.0	6	0	3
333.0	1	0	5
334.0	4	0	3
335.0	3	0	1
336.0	2	0	5
337.0	3	0	3
338.0	4	0	1
339.0	1	0	1
340.0	1	0	2
341.0	0	0	2
342.0	1	0	3
343.0	3	0	4
344.0	4	0	3
345.0	5	0	3
346.0	3	0	3
347.0	2	0	1
348.0	4	0	5
349.0	0	0	3
350.0	6	0	2
351.0	2	0	4
352.0	3	0	1
353.0	1	0	1
354.0	4	0	5
355.0	3	0	4
356.0	2	0	2
357.0	5	0	2
358.0	3	0	2
359.0	2	0	2
360.0	0	0	3
361.0	1	0	0
362.0	3	0	4
363.0	2	0	0
364.0	3	0	3
365.0	0	0	1
366.0	4	0	4
367.0	3	0	5
368.0	3	0	2
369.0	2	0	4
370.0	2	0	2
371.0	4	0	1
372.0	2	0	0
373.0	1	0	2
374.0	2	0	1
375.0	1	0	5
376.0	1	0	1
377.0	2	0	2
378.0	3	0	1
379.0	3	0	3
380.0	2	0	3
381.0	4	0	3
382.0	2	0	2
383.0	3	0	1
384.0	2	0	1
385.0	0	0	2
386.0	2	0	0
387.0	0	0	1
389.0	2	0	1
391.0	1	0	0
392.0	1	0	1
394.0	0	0	3
395.0	1	0	3
396.0	3	0	2
397.0	2	0	2
398.0	1	0	1
399.0	2	0	0
400.0	2	0	1
401.0	0	0	1
402.0	0	0	1
403.0	0	0	3
404.0	3	0	1
405.0	1	0	1
406.0	2	0	1
407.0	2	0	1
408.0	1	0	2
409.0	0	0	4
410.0	2	0	0
411.0	3	0	1
412.0	1	0	0
413.0	1	0	1
414.0	1	0	1
415.0	0	0	1
416.0	1	0	1
417.0	1	0	0
418.0	1	0	0
419.0	2	0	1
420.0	0	0	1
421.0	1	0	1
423.0	2	0	1
424.0	1	0	1
426.0	0	0	1
427.0	0	0	3
429.0	1	0	0
430.0	2	0	1
431.0	0	0	2
432.0	1	0	2
433.0	5	0	1
434.0	1	0	2
435.0	1	0	3
436.0	3	0	2
437.0	0	0	4
438.0	1	0	0
439.0	5	0	1
440.0	2	0	2
442.0	1	0	1
443.0	1	0	0
444.0	1	0	0
445.0	0	0	1
446.0	2	0	1
450.0	0	0	2
451.0	0	0	1
452.0	0	0	1
453.0	2	0	2
454.0	1	0	0
455.0	2	0	3
456.0	1	0	0
458.0	1	0	0
459.0	1	0	2
460.0	1	0	0
461.0	1	0	3
462.0	1	0	3
463.0	2	0	0
464.0	3	0	0
465.0	0	0	1
466.0	1	0	2
468.0	1	0	1
469.0	0	0	1
470.0	3	0	0
471.0	1	0	1
472.0	0	0	3
473.0	2	0	0
474.0	1	0	1
475.0	1	0	1
476.0	2	0	0
477.0	0	0	1
478.0	1	0	1
484.0	1	0	0
485.0	0	0	2
488.0	0	0	1
489.0	1	0	1
490.0	2	0	0
491.0	1	0	1
492.0	1	0	1
494.0	1	0	1
495.0	0	0	1
496.0	1	0	0
497.0	1	0	3
498.0	0	0	1
499.0	0	0	1
500.0	2	0	1
501.0	2	0	1
502.0	1	0	1
503.0	2	0	1
504.0	1	0	0
505.0	0	0	1
507.0	2	0	2
509.0	0	0	1
510.0	1	0	1
511.0	1	0	1
512.0	1	0	1
513.0	0	0	1
514.0	3	0	0
515.0	1	0	2
517.0	1	0	1
518.0	2	0	0
519.0	0	0	1
521.0	1	0	0
528.0	0	0	2
532.0	1	0	0
533.0	1	0	0
537.0	0	0	1
538.0	1	0	2
541.0	1	0	0
542.0	1	0	0
544.0	0	0	1
546.0	0	0	1
547.0	1	0	0
550.0	1	0	1
554.0	0	0	2
555.0	1	0	0
556.0	0	0	1
557.0	1	0	0
558.0	1	0	2
559.0	0	0	1
560.0	1	0	0
561.0	2	0	0
562.0	1	0	1
563.0	0	0	1
564.0	1	0	0
565.0	1	0	0
566.0	0	0	2
567.0	0	0	1
568.0	1	0	0
569.0	1	0	1
571.0	2	0	0
576.0	0	0	1
579.0	0	0	1
580.0	1	0	0
581.0	1	0	0
582.0	0	0	1
583.0	1	0	0
584.0	0	0	1
585.0	0	0	1
586.0	2	0	0
589.0	0	0	2
591.0	1	0	1
592.0	2	0	2
595.0	0	0	1
597.0	1	0	0
601.0	2	0	0
607.0	0	0	2
608.0	0	0	1
610.0	0	0	1
611.0	1	0	0
612.0	1	0	0
614.0	2	0	0
617.0	0	0	1
619.0	0	0	1
620.0	0	0	1
622.0	1	0	1
623.0	1	0	0
624.0	1	0	0
628.0	1	0	0
635.0	0	0	1
637.0	0	0	1
639.0	1	0	0
643.0	1	0	0
649.0	0	0	1
652.0	1	0	1
653.0	1	0	0
655.0	0	0	1
659.0	1	0	0
660.0	0	0	1
662.0	1	0	0
668.0	0	0	1
671.0	1	0	0
674.0	0	0	1
679.0	1	0	0
683.0	0	0	1
687.0	0	0	1
688.0	1	0	0
691.0	1	0	0
703.0	0	0	1
705.0	1	0	0
739.0	0	0	1
744.0	1	0	0
761.0	0	0	1
764.0	1	0	0
785.0	0	0	1
792.0	1	0	0
807.0	0	0	1
812.0	0	0	1
813.0	1	0	0
815.0	1	0	1
818.0	1	0	0
868.0	0	0	1
871.0	0	0	1
876.0	2	0	0
896.0	0	0	1
902.0	1	0	0

