sample	read_end	cycle	frac_a	frac_c	frac_g	frac_t	frac_n
HG00240	1	72	0.26728	0.23359	0.22578	0.27288	0.00047
HG00240	1	73	0.26775	0.23324	0.22542	0.27315	0.00044
HG00240	1	74	0.26765	0.23342	0.22559	0.27302	0.00033
HG00240	1	75	0.26703	0.23409	0.22603	0.27265	0.00020
HG00240	1	76	0.26694	0.23398	0.22609	0.27277	0.00023
HG00240	1	77	0.26713	0.23377	0.22614	0.27265	0.00031
HG00240	1	78	0.26657	0.23443	0.22653	0.27214	0.00033
HG00240	1	79	0.26648	0.23464	0.22639	0.27217	0.00033
HG00240	1	80	0.26656	0.23459	0.22645	0.27211	0.00029
HG00240	1	81	0.26591	0.23520	0.22711	0.27155	0.00023
HG00240	1	82	0.26595	0.23509	0.22696	0.27171	0.00029
HG00240	1	83	0.26603	0.23511	0.22693	0.27164	0.00028
HG00240	1	84	0.26522	0.23597	0.22765	0.27091	0.00026
HG00240	1	85	0.26519	0.23592	0.22772	0.27080	0.00037
HG00240	1	86	0.26503	0.23591	0.22778	0.27081	0.00046
HG00240	1	87	0.26450	0.23637	0.22820	0.27032	0.00062
HG00240	1	88	0.26444	0.23651	0.22828	0.27013	0.00064
HG00240	1	89	0.26451	0.23664	0.22827	0.26999	0.00059
HG00240	1	90	0.26376	0.23727	0.22884	0.26952	0.00061
HG00240	1	91	0.26371	0.23746	0.22888	0.26933	0.00062
HG00240	1	92	0.26357	0.23746	0.22906	0.26918	0.00073
HG00240	1	93	0.26304	0.23823	0.22933	0.26876	0.00065
HG00240	1	94	0.26282	0.23847	0.22964	0.26851	0.00055
HG00240	1	95	0.26263	0.23864	0.22988	0.26842	0.00044
HG00240	1	96	0.26214	0.23901	0.23034	0.26804	0.00048
HG00240	1	97	0.26194	0.23940	0.23050	0.26768	0.00047
HG00240	1	98	0.26187	0.23951	0.23060	0.26759	0.00044
HG00240	1	99	0.26122	0.24031	0.23128	0.26679	0.00040
HG00240	1	100	0.26112	0.24022	0.23129	0.26689	0.00048
HG00240	2	1	0.29624	0.20134	0.20137	0.30061	0.00045
HG00240	2	2	0.28477	0.21539	0.20992	0.28789	0.00203
HG00240	2	3	0.27668	0.22268	0.21837	0.28011	0.00216
HG00240	2	4	0.27777	0.22108	0.21791	0.28102	0.00223
HG00240	2	5	0.28629	0.21283	0.20942	0.28907	0.00239
HG00240	2	6	0.27911	0.22011	0.21669	0.28149	0.00260
HG00240	2	7	0.27806	0.22208	0.21838	0.27996	0.00151
HG00240	2	8	0.28494	0.21531	0.21188	0.28685	0.00102
HG00240	2	9	0.28282	0.21746	0.21400	0.28476	0.00097
HG00240	2	10	0.28078	0.21992	0.21607	0.28289	0.00034
HG00240	2	11	0.28190	0.21901	0.21487	0.28394	0.00027
HG00240	2	12	0.28098	0.22009	0.21584	0.28288	0.00021
HG00240	2	13	0.28210	0.21869	0.21441	0.28461	0.00020
HG00240	2	14	0.28095	0.22001	0.21545	0.28336	0.00022
HG00240	2	15	0.28001	0.22101	0.21650	0.28228	0.00020
HG00240	2	16	0.27977	0.22124	0.21675	0.28202	0.00021
HG00240	2	17	0.27902	0.22197	0.21739	0.28144	0.00018
HG00240	2	18	0.27789	0.22310	0.21852	0.28034	0.00015
HG00240	2	19	0.27795	0.22308	0.21833	0.28038	0.00026
HG00240	2	20	0.27764	0.22340	0.21836	0.27991	0.00069
HG00240	2	21	0.27669	0.22388	0.21886	0.27951	0.00105
HG00240	2	22	0.27668	0.22374	0.21872	0.27941	0.00145
HG00240	2	23	0.27642	0.22373	0.21864	0.27945	0.00176
HG00240	2	24	0.27534	0.22506	0.21979	0.27836	0.00145
HG00240	2	25	0.27570	0.22445	0.21940	0.27905	0.00139
HG00240	2	26	0.27527	0.22501	0.21972	0.27857	0.00143
HG00240	2	27	0.27465	0.22590	0.22049	0.27809	0.00087
HG00240	2	28	0.27469	0.22542	0.22030	0.27788	0.00170
HG00240	2	29	0.27461	0.22569	0.22011	0.27801	0.00159
HG00240	2	30	0.27365	0.22649	0.22111	0.27727	0.00148
HG00240	2	31	0.27375	0.22663	0.22117	0.27712	0.00132
HG00240	2	32	0.27352	0.22696	0.22126	0.27701	0.00125
HG00240	2	33	0.27318	0.22786	0.22199	0.27674	0.00023
HG00240	2	34	0.27327	0.22753	0.22150	0.27716	0.00053
HG00240	2	35	0.27208	0.22699	0.22112	0.27603	0.00378
HG00240	2	36	0.27252	0.22843	0.22252	0.27643	0.00011
HG00240	2	37	0.27303	0.22797	0.22191	0.27697	0.00011
HG00240	2	38	0.27273	0.22828	0.22201	0.27679	0.00019
HG00240	2	39	0.27224	0.22877	0.22264	0.27620	0.00015
HG00240	2	40	0.27240	0.22848	0.22222	0.27672	0.00018
HG00240	2	41	0.27220	0.22867	0.22223	0.27659	0.00031
HG00240	2	42	0.27157	0.22921	0.22308	0.27581	0.00033
HG00240	2	43	0.27154	0.22878	0.22250	0.27600	0.00118
HG00240	2	44	0.27138	0.22892	0.22239	0.27584	0.00147
HG00240	2	45	0.27069	0.22959	0.22295	0.27516	0.00161
HG00240	2	46	0.27085	0.22933	0.22305	0.27551	0.00125
HG00240	2	47	0.27051	0.22939	0.22254	0.27517	0.00239
HG00240	2	48	0.26998	0.22992	0.22333	0.27470	0.00207
HG00240	2	49	0.27018	0.22987	0.22320	0.27503	0.00171
HG00240	2	50	0.27039	0.22975	0.22304	0.27486	0.00196
HG00240	2	51	0.26998	0.23058	0.22389	0.27485	0.00070
HG00240	2	52	0.26990	0.23050	0.22373	0.27466	0.00120
HG00240	2	53	0.26993	0.23016	0.22349	0.27478	0.00163
HG00240	2	54	0.26961	0.23124	0.22415	0.27448	0.00051
HG00240	2	55	0.26987	0.23083	0.22390	0.27475	0.00065
HG00240	2	56	0.26966	0.23125	0.22419	0.27463	0.00028
HG00240	2	57	0.26926	0.23155	0.22455	0.27445	0.00020
HG00240	2	58	0.26926	0.23127	0.22440	0.27435	0.00072
HG00240	2	59	0.26926	0.23169	0.22451	0.27432	0.00021
HG00240	2	60	0.26863	0.23231	0.22512	0.27377	0.00016
HG00240	2	61	0.26881	0.23197	0.22482	0.27388	0.00051
HG00240	2	62	0.26860	0.23228	0.22484	0.27384	0.00043
HG00240	2	63	0.26770	0.23254	0.22529	0.27303	0.00144
HG00240	2	64	0.26825	0.23211	0.22488	0.27340	0.00135
HG00240	2	65	0.26820	0.23290	0.22529	0.27323	0.00039
HG00240	2	66	0.26767	0.23317	0.22572	0.27309	0.00035
HG00240	2	67	0.26773	0.23317	0.22587	0.27286	0.00037
HG00240	2	68	0.26734	0.23312	0.22578	0.27265	0.00111
HG00240	2	69	0.26683	0.23371	0.22602	0.27229	0.00115
HG00240	2	70	0.26687	0.23359	0.22617	0.27226	0.00112
HG00240	2	71	0.26670	0.23368	0.22620	0.27203	0.00139
HG00240	2	72	0.26607	0.23456	0.22687	0.27140	0.00110
HG00240	2	73	0.26647	0.23401	0.22653	0.27195	0.00105
HG00240	2	74	0.26628	0.23440	0.22680	0.27154	0.00098
HG00240	2	75	0.26556	0.23504	0.22733	0.27101	0.00106
HG00240	2	76	0.26569	0.23497	0.22707	0.27122	0.00105
HG00240	2	77	0.26556	0.23496	0.22723	0.27104	0.00120
HG00240	2	78	0.26503	0.23559	0.22785	0.27049	0.00104
HG00240	2	79	0.26504	0.23570	0.22783	0.27055	0.00088
HG00240	2	80	0.26475	0.23596	0.22799	0.27027	0.00104
HG00240	2	81	0.26431	0.23641	0.22855	0.26984	0.00088
HG00240	2	82	0.26424	0.23633	0.22843	0.26981	0.00119
HG00240	2	83	0.26390	0.23681	0.22874	0.26955	0.00099
HG00240	2	84	0.26324	0.23762	0.22949	0.26885	0.00080
HG00240	2	85	0.26360	0.23744	0.22945	0.26900	0.00051
HG00240	2	86	0.26339	0.23764	0.22949	0.26874	0.00075
HG00240	2	87	0.26259	0.23839	0.23013	0.26817	0.00073
HG00240	2	88	0.26249	0.23835	0.23000	0.26801	0.00115
HG00240	2	89	0.26204	0.23867	0.23033	0.26767	0.00129
HG00240	2	90	0.26146	0.23931	0.23082	0.26716	0.00124
HG00240	2	91	0.26140	0.23939	0.23094	0.26703	0.00124
HG00240	2	92	0.26111	0.23966	0.23121	0.26677	0.00125
HG00240	2	93	0.25925	0.23950	0.23084	0.26495	0.00546
HG00240	2	94	0.26021	0.24073	0.23208	0.26574	0.00124
HG00240	2	95	0.25990	0.24098	0.23238	0.26561	0.00113
HG00240	2	96	0.25929	0.24177	0.23303	0.26492	0.00099
HG00240	2	97	0.25930	0.24167	0.23303	0.26482	0.00117
HG00240	2	98	0.25893	0.24226	0.23325	0.26449	0.00107
HG00240	2	99	0.25802	0.24299	0.23399	0.26373	0.00126
HG00240	2	100	0.25826	0.24286	0.23392	0.26385	0.00111
