## htsjdk.samtools.metrics.StringHeader
# picard.analysis.CollectGcBiasMetrics CHART_OUTPUT=SRR4238355_subsamp.sorted.gc_bias_metrics.pdf SUMMARY_OUTPUT=SRR4238355_subsamp.sorted.summary_metrics.txt INPUT=SRR4238355_subsamp.sorted.bam OUTPUT=SRR4238355_subsamp.sorted.gc_bias_metrics.txt REFERENCE_SEQUENCE=genome.fa    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Apr 05 11:15:24 UTC 2017

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	26	111609	532	30	0.602166	0.026107			
All Reads	27	148682	574	30	0.487705	0.020356			
All Reads	28	190536	706	29	0.468092	0.017617			
All Reads	29	243757	866	30	0.448812	0.015251			
All Reads	30	307251	1042	31	0.428428	0.013272			
All Reads	31	381273	1335	29	0.442332	0.012106			
All Reads	32	459403	1953	29	0.537046	0.012152			
All Reads	33	537468	2138	30	0.502526	0.010868			
All Reads	34	611917	2589	29	0.534494	0.010505			
All Reads	35	681845	3035	30	0.562311	0.010207			
All Reads	36	740343	3329	29	0.568047	0.009845			
All Reads	37	774224	3667	30	0.59834	0.009881			
All Reads	38	785836	4228	30	0.679683	0.010453			
All Reads	39	775851	4779	30	0.778148	0.011256			
All Reads	40	741906	5377	30	0.915576	0.012486			
All Reads	41	694731	5787	29	1.052302	0.013833			
All Reads	42	637478	6419	30	1.272054	0.015877			
All Reads	43	566764	6390	30	1.424302	0.017818			
All Reads	44	488039	6390	29	1.654054	0.020692			
All Reads	45	409623	6203	29	1.913026	0.02429			
All Reads	46	339335	5236	30	1.949281	0.026939			
All Reads	47	275532	4451	29	2.040746	0.030589			
All Reads	48	221241	3829	29	2.186368	0.035333			
All Reads	49	174727	2874	29	2.077927	0.03876			
All Reads	50	133922	2010	29	1.89604	0.042291			
All Reads	51	101846	1369	29	1.698099	0.045895			
All Reads	52	75504	1568	28	2.623491	0.066253			
All Reads	53	54607	1003	30	2.320364	0.073267			
All Reads	54	39253	994	29	3.19902	0.101467			
All Reads	55	29051	723	30	3.143987	0.116926			
All Reads	56	20674	491	31	3.000271	0.1354			
All Reads	57	14750	635	31	5.438576	0.215823			
All Reads	58	10569	676	28	8.080091	0.310773			
All Reads	59	7399	417	32	7.119779	0.348657			
All Reads	60	5352	125	26	2.950512	0.263902			
All Reads	61	3921	389	27	12.533034	0.63545			
All Reads	62	3240	143	28	5.575637	0.466258			
All Reads	63	2172	117	33	6.805022	0.629124			
All Reads	64	1389	2	20	0.181899	0.128622			
All Reads	65	1080	4	23	0.467886	0.233943			
All Reads	66	731	2	0	0.345634	0.2444			
All Reads	67	426	0	0	0	0			
All Reads	68	252	1	0	0.501306	0.501306			
All Reads	69	161	1	15	0.784653	0.784653			
All Reads	70	111	1	0	1.1381	1.1381			
All Reads	71	80	0	0	0	0			
All Reads	72	30	0	0	0	0			
All Reads	73	22	0	0	0	0			
All Reads	74	10	0	0	0	0			
All Reads	75	5	0	0	0	0			
All Reads	76	2	0	0	0	0			
All Reads	77	0	0	0	0	0			
All Reads	78	0	0	0	0	0			
All Reads	79	0	0	0	0	0			
All Reads	80	0	0	0	0	0			
All Reads	81	0	0	0	0	0			
All Reads	82	0	0	0	0	0			
All Reads	83	0	0	0	0	0			
All Reads	84	0	0	0	0	0			
All Reads	85	0	0	0	0	0			
All Reads	86	0	0	0	0	0			
All Reads	87	0	0	0	0	0			
All Reads	88	0	0	0	0	0			
All Reads	89	0	0	0	0	0			
All Reads	90	0	0	0	0	0			
All Reads	91	0	0	0	0	0			
All Reads	92	0	0	0	0	0			
All Reads	93	0	0	0	0	0			
All Reads	94	0	0	0	0	0			
All Reads	95	0	0	0	0	0			
All Reads	96	0	0	0	0	0			
All Reads	97	0	0	0	0	0			
All Reads	98	0	0	0	0	0			
All Reads	99	0	0	0	0	0			
All Reads	100	0	0	0	0	0			


