#SentieonCommandLine: /usr/local/sentieon-genomics-201911/libexec/driver -t 36 -i sorted_0.bam -i sorted_1.bam -r genome/hs37d5.fa --algo GCBias --summary gc_summary.txt gc_metric.txt
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP	
All Reads	ALL	43	91174666	3239992	23	0.926153	0.000515				
All Reads	ALL	44	86951806	3181937	23	0.953731	0.000535				
All Reads	ALL	45	83368003	3112555	23	0.973039	0.000552				
All Reads	ALL	46	80367152	3044127	23	0.987181	0.000566				
All Reads	ALL	47	77839892	2988450	23	1.000591	0.000579				
All Reads	ALL	48	75195920	2932358	23	1.016332	0.000594				
All Reads	ALL	49	71904126	2881401	23	1.044390	0.000615				
All Reads	ALL	50	67723470	2820997	23	1.085616	0.000646				
All Reads	ALL	51	62843327	2753229	23	1.141816	0.000688				
All Reads	ALL	52	57797477	2672572	23	1.205128	0.000737				
All Reads	ALL	53	53096114	2642568	23	1.297108	0.000798				
All Reads	ALL	54	48909387	2589360	23	1.379790	0.000857				
All Reads	ALL	55	45220793	2579888	23	1.486878	0.000926				
All Reads	ALL	56	41676495	2548240	23	1.593536	0.000998				
All Reads	ALL	57	37911902	2528191	23	1.737989	0.001093				
All Reads	ALL	58	33761496	2486158	23	1.919198	0.001217				
All Reads	ALL	59	29258970	2420042	23	2.155642	0.001386				
All Reads	ALL	60	24743566	2325899	23	2.449860	0.001606				
All Reads	ALL	61	20577658	2198279	23	2.784195	0.001878				
All Reads	ALL	62	17020594	2073183	23	3.174503	0.002205				
All Reads	ALL	63	14078001	1917361	23	3.549570	0.002563				
All Reads	ALL	64	11648917	1750297	23	3.915967	0.002960				
All Reads	ALL	65	9624766	1577398	23	4.271338	0.003401				
All Reads	ALL	66	7943555	1383983	23	4.540761	0.003860				
All Reads	ALL	67	6468111	1218491	22	4.909730	0.004448				
All Reads	ALL	68	5185515	1043586	22	5.245044	0.005134				
All Reads	ALL	69	4154938	860480	22	5.397455	0.005819				
All Reads	ALL	70	3335654	707613	22	5.528758	0.006572				
All Reads	ALL	71	2671391	558127	22	5.445131	0.007289				
All Reads	ALL	72	2159293	441736	21	5.331679	0.008022				
All Reads	ALL	73	1761243	341907	21	5.059429	0.008653				
All Reads	ALL	74	1448491	263630	21	4.743423	0.009238				
All Reads	ALL	75	1216775	204047	21	4.370516	0.009675				
All Reads	ALL	76	1047070	156054	21	3.884293	0.009833				
All Reads	ALL	77	919438	120191	21	3.406923	0.009827				
All Reads	ALL	78	816646	100353	21	3.202649	0.010110				
All Reads	ALL	79	713614	80109	21	2.925706	0.010337				
All Reads	ALL	80	608483	56972	21	2.440202	0.010223				
All Reads	ALL	81	510800	39578	21	2.019369	0.010151				
All Reads	ALL	82	428056	26456	21	1.610781	0.009903				
All Reads	ALL	83	351779	18411	21	1.364018	0.010053				
All Reads	ALL	84	274259	13690	20	1.300934	0.011119				
All Reads	ALL	85	198758	8833	20	1.158234	0.012324				
All Reads	ALL	86	131616	5483	19	1.085731	0.014663				
All Reads	ALL	87	85463	3523	19	1.074354	0.018101				
All Reads	ALL	88	58702	1775	18	0.788058	0.018705				
All Reads	ALL	89	38045	1444	18	0.989196	0.026031				
All Reads	ALL	90	24959	749	17	0.782109	0.028578				
All Reads	ALL	91	15854	3105	17	5.104292	0.091602				
All Reads	ALL	92	9379	370	17	1.028154	0.053451				
All Reads	ALL	93	5880	596	17	2.641689	0.108208				
All Reads	ALL	94	3408	4841	14	37.021012	0.532085				
All Reads	ALL	95	1663	8550	15	133.994403	1.449117				
All Reads	ALL	96	986	4704	14	124.337803	1.812882				
All Reads	ALL	97	658	14914	14	590.719133	4.837088				
All Reads	ALL	98	328	16888	14	1341.890780	10.325903				
All Reads	ALL	99	133	3513	15	688.397526	11.614492				
All Reads	ALL	100	339	3	12	0.230640	0.133160				

