## hicstuff v3.2.4
## distance_law
## columns: start_bp	p(s)	chrom
17	1e-09	ENA|CU329672|CU329672.1
19	1e-09	ENA|CU329672|CU329672.1
21	1e-09	ENA|CU329672|CU329672.1
23	1e-09	ENA|CU329672|CU329672.1
25	1e-09	ENA|CU329672|CU329672.1
28	0.0508385	ENA|CU329672|CU329672.1
30	0.0785686	ENA|CU329672|CU329672.1
34	0.21876	ENA|CU329672|CU329672.1
37	0.216064	ENA|CU329672|CU329672.1
41	0.231085	ENA|CU329672|CU329672.1
45	0.247262	ENA|CU329672|CU329672.1
49	0.248649	ENA|CU329672|CU329672.1
54	0.274223	ENA|CU329672|CU329672.1
60	0.320441	ENA|CU329672|CU329672.1
66	0.325834	ENA|CU329672|CU329672.1
72	0.333923	ENA|CU329672|CU329672.1
80	0.3553	ENA|CU329672|CU329672.1
88	0.367176	ENA|CU329672|CU329672.1
97	0.370772	ENA|CU329672|CU329672.1
106	0.387814	ENA|CU329672|CU329672.1
117	0.39825	ENA|CU329672|CU329672.1
129	0.420236	ENA|CU329672|CU329672.1
142	0.431158	ENA|CU329672|CU329672.1
156	0.460961	ENA|CU329672|CU329672.1
171	0.465791	ENA|CU329672|CU329672.1
189	0.445766	ENA|CU329672|CU329672.1
207	0.416863	ENA|CU329672|CU329672.1
228	0.42925	ENA|CU329672|CU329672.1
251	0.400276	ENA|CU329672|CU329672.1
276	0.395361	ENA|CU329672|CU329672.1
304	0.401363	ENA|CU329672|CU329672.1
334	0.399692	ENA|CU329672|CU329672.1
368	0.383405	ENA|CU329672|CU329672.1
405	0.384701	ENA|CU329672|CU329672.1
445	0.383463	ENA|CU329672|CU329672.1
490	0.365468	ENA|CU329672|CU329672.1
539	0.36408	ENA|CU329672|CU329672.1
593	0.339893	ENA|CU329672|CU329672.1
652	0.333205	ENA|CU329672|CU329672.1
717	0.321944	ENA|CU329672|CU329672.1
789	0.311334	ENA|CU329672|CU329672.1
868	0.283299	ENA|CU329672|CU329672.1
955	0.270042	ENA|CU329672|CU329672.1
1051	0.256197	ENA|CU329672|CU329672.1
1156	0.242655	ENA|CU329672|CU329672.1
1271	0.223548	ENA|CU329672|CU329672.1
1399	0.206235	ENA|CU329672|CU329672.1
1538	0.199521	ENA|CU329672|CU329672.1
1692	0.179558	ENA|CU329672|CU329672.1
1862	0.170863	ENA|CU329672|CU329672.1
2048	0.160364	ENA|CU329672|CU329672.1
2253	0.144313	ENA|CU329672|CU329672.1
2478	0.135718	ENA|CU329672|CU329672.1
2726	0.124235	ENA|CU329672|CU329672.1
2999	0.112485	ENA|CU329672|CU329672.1
3298	0.106981	ENA|CU329672|CU329672.1
3628	0.0977789	ENA|CU329672|CU329672.1
3991	0.0883092	ENA|CU329672|CU329672.1
4390	0.0805782	ENA|CU329672|CU329672.1
4830	0.0742143	ENA|CU329672|CU329672.1
5313	0.0668828	ENA|CU329672|CU329672.1
5844	0.0598351	ENA|CU329672|CU329672.1
6428	0.0551008	ENA|CU329672|CU329672.1
7071	0.0509463	ENA|CU329672|CU329672.1
7778	0.0465614	ENA|CU329672|CU329672.1
8556	0.0420185	ENA|CU329672|CU329672.1
9412	0.038025	ENA|CU329672|CU329672.1
10353	0.0349981	ENA|CU329672|CU329672.1
11388	0.0319472	ENA|CU329672|CU329672.1
12527	0.0298966	ENA|CU329672|CU329672.1
13780	0.0268248	ENA|CU329672|CU329672.1
15158	0.0253548	ENA|CU329672|CU329672.1
16674	0.0224365	ENA|CU329672|CU329672.1
18341	0.0213109	ENA|CU329672|CU329672.1
20176	0.0200181	ENA|CU329672|CU329672.1
22193	0.0183675	ENA|CU329672|CU329672.1
24413	0.0169865	ENA|CU329672|CU329672.1
26854	0.0160582	ENA|CU329672|CU329672.1
29539	0.0145099	ENA|CU329672|CU329672.1
32493	0.0134879	ENA|CU329672|CU329672.1
35743	0.012117	ENA|CU329672|CU329672.1
39317	0.0112497	ENA|CU329672|CU329672.1
43249	0.0102636	ENA|CU329672|CU329672.1
47574	0.00931738	ENA|CU329672|CU329672.1
52331	0.00813091	ENA|CU329672|CU329672.1
57565	0.00712075	ENA|CU329672|CU329672.1
63321	0.00633785	ENA|CU329672|CU329672.1
69653	0.00555008	ENA|CU329672|CU329672.1
76619	0.00463863	ENA|CU329672|CU329672.1
84280	0.00396071	ENA|CU329672|CU329672.1
92709	0.00330186	ENA|CU329672|CU329672.1
101979	0.00279918	ENA|CU329672|CU329672.1
112177	0.00233087	ENA|CU329672|CU329672.1
123395	0.00192407	ENA|CU329672|CU329672.1
135735	0.00154616	ENA|CU329672|CU329672.1
149308	0.00122413	ENA|CU329672|CU329672.1
164239	0.00101275	ENA|CU329672|CU329672.1
180663	0.000780724	ENA|CU329672|CU329672.1
198730	0.000625286	ENA|CU329672|CU329672.1
218603	0.000528068	ENA|CU329672|CU329672.1
240463	0.000423365	ENA|CU329672|CU329672.1
264509	0.00036333	ENA|CU329672|CU329672.1
290960	0.000279779	ENA|CU329672|CU329672.1
320056	0.000243287	ENA|CU329672|CU329672.1
352062	0.000207276	ENA|CU329672|CU329672.1
387268	0.000184253	ENA|CU329672|CU329672.1
425995	0.000151791	ENA|CU329672|CU329672.1
468595	0.000139539	ENA|CU329672|CU329672.1
515454	0.000120682	ENA|CU329672|CU329672.1
567000	0.000105912	ENA|CU329672|CU329672.1
623700	9.82591e-05	ENA|CU329672|CU329672.1
686070	9.3466e-05	ENA|CU329672|CU329672.1
754677	8.97406e-05	ENA|CU329672|CU329672.1
830145	8.23034e-05	ENA|CU329672|CU329672.1
913159	8.18448e-05	ENA|CU329672|CU329672.1
1.00448e+06	8.35423e-05	ENA|CU329672|CU329672.1
1.10492e+06	7.50015e-05	ENA|CU329672|CU329672.1
1.21542e+06	7.44302e-05	ENA|CU329672|CU329672.1
1.33696e+06	8.20372e-05	ENA|CU329672|CU329672.1
1.47065e+06	7.65154e-05	ENA|CU329672|CU329672.1
1.61772e+06	6.47543e-05	ENA|CU329672|CU329672.1
1.77949e+06	5.96264e-05	ENA|CU329672|CU329672.1
1.95744e+06	4.45746e-05	ENA|CU329672|CU329672.1
2.15318e+06	3.09794e-05	ENA|CU329672|CU329672.1
2.3685e+06	3.09794e-05	ENA|CU329672|CU329672.1
1	1e-09	ENA|X54421|X54421.1
2	1e-09	ENA|X54421|X54421.1
3	1e-09	ENA|X54421|X54421.1
4	1e-09	ENA|X54421|X54421.1
5	1e-09	ENA|X54421|X54421.1
6	1e-09	ENA|X54421|X54421.1
7	1e-09	ENA|X54421|X54421.1
8	1e-09	ENA|X54421|X54421.1
9	1e-09	ENA|X54421|X54421.1
10	1e-09	ENA|X54421|X54421.1
11	1e-09	ENA|X54421|X54421.1
13	1e-09	ENA|X54421|X54421.1
14	1e-09	ENA|X54421|X54421.1
15	1e-09	ENA|X54421|X54421.1
17	1e-09	ENA|X54421|X54421.1
19	1e-09	ENA|X54421|X54421.1
21	0.013955	ENA|X54421|X54421.1
23	1e-09	ENA|X54421|X54421.1
25	0.0093055	ENA|X54421|X54421.1
28	1e-09	ENA|X54421|X54421.1
30	1e-09	ENA|X54421|X54421.1
34	0.0651687	ENA|X54421|X54421.1
37	0.0349181	ENA|X54421|X54421.1
41	0.0558805	ENA|X54421|X54421.1
45	0.104798	ENA|X54421|X54421.1
49	0.055905	ENA|X54421|X54421.1
54	0.0792213	ENA|X54421|X54421.1
60	0.0978919	ENA|X54421|X54421.1
66	0.116574	ENA|X54421|X54421.1
72	0.101456	ENA|X54421|X54421.1
80	0.129498	ENA|X54421|X54421.1
88	0.105822	ENA|X54421|X54421.1
97	0.133896	ENA|X54421|X54421.1
106	0.13255	ENA|X54421|X54421.1
117	0.126252	ENA|X54421|X54421.1
129	0.142531	ENA|X54421|X54421.1
142	0.150503	ENA|X54421|X54421.1
156	0.136826	ENA|X54421|X54421.1
171	0.115683	ENA|X54421|X54421.1
189	0.131439	ENA|X54421|X54421.1
207	0.128887	ENA|X54421|X54421.1
228	0.127632	ENA|X54421|X54421.1
251	0.136787	ENA|X54421|X54421.1
276	0.116235	ENA|X54421|X54421.1
304	0.104872	ENA|X54421|X54421.1
334	0.1144	ENA|X54421|X54421.1
368	0.101477	ENA|X54421|X54421.1
405	0.0933435	ENA|X54421|X54421.1
445	0.103471	ENA|X54421|X54421.1
490	0.0929231	ENA|X54421|X54421.1
539	0.0755094	ENA|X54421|X54421.1
593	0.0981191	ENA|X54421|X54421.1
652	0.0884673	ENA|X54421|X54421.1
717	0.0853958	ENA|X54421|X54421.1
789	0.0851485	ENA|X54421|X54421.1
868	0.0877517	ENA|X54421|X54421.1
955	0.0848191	ENA|X54421|X54421.1
1051	0.087545	ENA|X54421|X54421.1
1156	0.0824836	ENA|X54421|X54421.1
1271	0.0802167	ENA|X54421|X54421.1
1399	0.0737668	ENA|X54421|X54421.1
1538	0.0706831	ENA|X54421|X54421.1
1692	0.0712966	ENA|X54421|X54421.1
1862	0.0634941	ENA|X54421|X54421.1
2048	0.0709531	ENA|X54421|X54421.1
2253	0.0648963	ENA|X54421|X54421.1
2478	0.0642479	ENA|X54421|X54421.1
2726	0.0639527	ENA|X54421|X54421.1
2999	0.0541876	ENA|X54421|X54421.1
3298	0.0583912	ENA|X54421|X54421.1
3628	0.0640998	ENA|X54421|X54421.1
3991	0.0565673	ENA|X54421|X54421.1
4390	0.0547418	ENA|X54421|X54421.1
4830	0.0590471	ENA|X54421|X54421.1
5313	0.0536869	ENA|X54421|X54421.1
5844	0.0536523	ENA|X54421|X54421.1
6428	0.049891	ENA|X54421|X54421.1
7071	0.0524565	ENA|X54421|X54421.1
7778	0.0547059	ENA|X54421|X54421.1
8556	0.0524585	ENA|X54421|X54421.1
9412	0.0512457	ENA|X54421|X54421.1
10353	0.0501346	ENA|X54421|X54421.1
11388	0.0491284	ENA|X54421|X54421.1
12527	0.0526161	ENA|X54421|X54421.1
13780	0.0485644	ENA|X54421|X54421.1
15158	0.0514386	ENA|X54421|X54421.1
16674	0.0435868	ENA|X54421|X54421.1
18341	0.0435868	ENA|X54421|X54421.1
