chrom	start	end	length	name	%gc	mean_coverage	normalized_coverage	min_normalized_coverage	max_normalized_coverage	min_coverage	max_coverage	pct_0x	read_count
1	156842966	156843446	481	.	0.480249	170.172557	1.341882	0.599292	1.742677	76	221	0	811
1	156843723	156844738	1016	.	0.601378	215.96063	1.70294	0.820083	2.065979	104	262	0	2135
1	156844756	156845356	601	.	0.603993	197.535774	1.557652	1.064531	1.876729	135	238	0	1241
1	156845431	156846031	601	.	0.603993	139.735441	1.101872	0.268104	1.726907	34	219	0	909
1	156846158	156846398	241	.	0.655602	156.294606	1.232448	0.962021	1.466688	122	186	0	453
1	156848854	156849214	361	.	0.595568	175.689751	1.385387	0.725458	1.766334	92	224	0	654
1	156849750	156849990	241	.	0.655602	132.614108	1.045718	0.630833	1.293209	80	164	0	364
1	156851221	156851461	241	.	0.676349	170.751037	1.346443	0.835854	1.616511	106	205	0	459
1	157550006	157550126	121	.	0.446281	83.77686	0.660616	0.512552	0.764886	65	97	0	147
1	158507124	158507244	121	.	0.347107	89.752066	0.707733	0.433698	0.84374	55	107	0	143
1	161332039	161332159	121	.	0.371901	38.933884	0.30701	0.236563	0.346958	30	44	0	77
1	162831174	162831377	204	.	0.397059	80.014706	0.630949	0.425813	0.757	54	96	0	188
1	169022843	169022963	121	.	0.438017	81.77686	0.644845	0.473125	0.764886	60	97	0	148
1	175869494	175869614	121	.	0.561983	112.016529	0.883297	0.65449	1.040875	83	132	0	185
1	176050379	176050499	121	.	0.347107	24.421488	0.192574	0.110396	0.283875	14	36	0	55
1	176105657	176105777	121	.	0.347107	33.380165	0.263217	0.181365	0.331188	23	42	0	61
1	188746914	188747034	121	.	0.256198	71.85124	0.566577	0.410042	0.662375	52	84	0	121
1	202188581	202188701	121	.	0.471074	98.371901	0.775704	0.607177	0.891052	77	113	0	160
1	204494691	204494811	121	.	0.31405	48.099174	0.379282	0.228677	0.496781	29	63	0	89
1	209632503	209632623	121	.	0.380165	72.900826	0.574853	0.417927	0.693917	53	88	0	123
1	219421868	219421988	121	.	0.322314	78.561983	0.619494	0.449469	0.733344	57	93	0	129
1	226064685	226064805	121	.	0.528926	110.809917	0.873783	0.607177	1.017219	77	129	0	190
1	226251997	226252237	241	.	0.452282	143.410788	1.130854	0.725458	1.308979	92	166	0	385
1	228607390	228607510	121	.	0.264463	42.338843	0.333859	0.252333	0.410042	32	52	0	74
1	240683429	240683549	121	.	0.380165	79.512397	0.626988	0.473125	0.717573	60	91	0	136
1	243736159	243736279	121	.	0.322314	39.826446	0.314048	0.236563	0.3785	30	48	0	85
1	245977936	245978056	121	.	0.438017	86.471074	0.681861	0.457354	0.827969	58	105	0	150
2	4717029	4717149	121	.	0.363636	80.652893	0.635982	0.433698	0.772771	55	98	0	136
2	14527956	14528076	121	.	0.371901	75.190083	0.592905	0.417927	0.709688	53	90	0	120
2	15838591	15838711	121	.	0.487603	84.966942	0.67	0.488896	0.796427	62	101	0	142
2	15843524	15843644	121	.	0.479339	98.958678	0.780331	0.583521	0.914708	74	116	0	167
2	15894383	15894503	121	.	0.578512	87.330579	0.688638	0.504667	0.796427	64	101	0	150
2	15909034	15909154	121	.	0.553719	119.140496	0.939473	0.670261	1.064531	85	135	0	187
2	15929774	15929894	121	.	0.38843	81.702479	0.644258	0.496781	0.749115	63	95	0	141
2	15949374	15949494	121	.	0.53719	98.528926	0.776942	0.488896	0.938365	62	119	0	158
2	15956547	15956667	121	.	0.413223	81.033058	0.63898	0.488896	0.764886	62	97	0	138
2	15970161	15970281	121	.	0.413223	68.22314	0.537968	0.362729	0.65449	46	83	0	127
2	15987077	15987197	121	.	0.644628	101.793388	0.802683	0.520438	0.94625	66	120	0	171
2	16031428	16031548	121	.	0.570248	110.809917	0.873783	0.638719	0.985677	81	125	0	182
2	16078486	16078606	121	.	0.454545	102.545455	0.808614	0.615063	0.922594	78	117	0	175
2	16082161	16083001	841	.	0.73365	156.958383	1.237682	0.591406	1.624396	75	206	0	1302
2	16090364	16090484	121	.	0.553719	119.859504	0.945142	0.693917	1.096073	88	139	0	200
2	16122962	16123082	121	.	0.512397	72.099174	0.568532	0.339073	0.670261	43	85	0	118
2	16157252	16157372	121	.	0.380165	65.173554	0.513921	0.394271	0.599292	50	76	0	106
2	16214322	16214442	121	.	0.595041	0	0	0	0	0	0	1	0
2	16228869	16228989	121	.	0.438017	113.991736	0.898872	0.65449	1.088188	83	138	0	191
2	16231241	16231361	121	.	0.53719	91.181818	0.719007	0.520438	0.827969	66	105	0	151
2	16251938	16252058	121	.	0.512397	85.553719	0.674627	0.504667	0.804313	64	102	0	152
2	16268648	16268768	121	.	0.297521	92.578512	0.73002	0.46524	0.891052	59	113	0	147
2	16275777	16275897	121	.	0.479339	109.190083	0.861009	0.615063	1.001448	78	127	0	178
2	25100678	25100798	121	.	0.644628	103.553719	0.816564	0.512552	1.048761	65	133	0	178
2	25457098	25457338	241	.	0.560166	165.410788	1.304333	0.757	1.632282	96	207	0	456
2	25458575	25458695	121	.	0.438017	83.512397	0.65853	0.520438	0.733344	66	93	0	149
2	25459779	25459899	121	.	0.545455	105.181818	0.829403	0.599292	0.977792	76	124	0	180
2	25461981	25462101	121	.	0.528926	83.92562	0.661789	0.433698	0.820083	55	104	0	139
2	25463125	25463365	241	.	0.560166	183.987552	1.450819	1.040875	1.774219	132	225	0	510
2	25463494	25463614	121	.	0.586777	117.454545	0.926178	0.662375	1.111844	84	141	0	207
2	25464383	25464623	241	.	0.618257	183.157676	1.444275	0.94625	1.687479	120	214	0	498
2	25466749	25466869	121	.	0.570248	97.057851	0.765342	0.599292	0.930479	76	118	0	174
2	25466996	25467236	241	.	0.626556	162.680498	1.282804	0.891052	1.498229	113	190	0	454
2	25467405	25467525	121	.	0.570248	88.107438	0.694764	0.488896	0.851625	62	108	0	159
2	25468102	25468222	121	.	0.561983	101.132231	0.79747	0.622948	0.906823	79	115	0	181
2	25468851	25468971	121	.	0.61157	144.264463	1.137586	0.757	1.395719	96	177	0	311
2	25468983	25469223	241	.	0.564315	186.522822	1.47081	0.962021	1.695365	122	215	0	542
2	25469447	25469687	241	.	0.647303	155.045643	1.2226	0.757	1.403604	96	178	0	436
2	25469914	25470034	121	.	0.578512	97.198347	0.76645	0.583521	0.867396	74	110	0	175
2	25470419	25470659	241	.	0.622407	140.896266	1.111026	0.717573	1.293209	91	164	0	394
2	25470894	25471134	241	.	0.609959	166.219917	1.310714	0.733344	1.569198	93	199	0	467
2	25497763	25498003	241	.	0.676349	132.456432	1.044474	0.528323	1.301094	67	165	0	350
2	25498331	25498451	121	.	0.520661	75.768595	0.597467	0.433698	0.686031	55	87	0	139
2	25505239	25505599	361	.	0.631579	167.717452	1.322522	0.796427	1.514	101	192	0	640
2	25523000	25523120	121	.	0.710744	88.016529	0.694047	0.504667	0.796427	64	101	0	148
2	25536758	25536878	121	.	0.743802	98.760331	0.778766	0.599292	0.875281	76	111	0	167
2	29416079	29416799	721	.	0.56172	182.972261	1.442813	0.717573	1.742677	91	221	0	1271
2	29419621	29419741	121	.	0.438017	105.619835	0.832857	0.575636	0.962021	73	122	0	163
2	29420355	29420595	241	.	0.485477	62.215768	0.490597	0.094625	0.867396	12	110	0	156
2	29430027	29430147	121	.	0.512397	103.157025	0.813436	0.638719	0.930479	81	118	0	182
2	29432638	29432758	121	.	0.53719	70.528926	0.55615	0.410042	0.662375	52	84	0	125
2	29436838	29436958	121	.	0.578512	71.909091	0.567033	0.402156	0.693917	51	88	0	122
2	29443516	29443756	241	.	0.560166	161.211618	1.271221	0.906823	1.521886	115	193	0	452
2	29445182	29445302	121	.	0.578512	135.190083	1.06603	0.84374	1.182813	107	150	0	248
2	29445368	29445488	121	.	0.595041	123.016529	0.970037	0.772771	1.072417	98	136	0	231
2	29446181	29448381	2201	.	0.527942	205.127669	1.617517	0.859511	1.963469	109	249	0	4291
2	29448389	29449089	701	.	0.523538	220.828816	1.741328	0.733344	2.144834	93	272	0	1527
2	29449349	29449829	481	.	0.523909	157.829522	1.244552	0.10251	1.624396	13	206	0	816
2	29449889	29450489	601	.	0.514143	207.232945	1.634118	0.788542	2.002896	100	254	0	1227
2	29519718	29519958	241	.	0.556017	160.871369	1.268538	0.693917	1.474573	88	187	0	431
2	29606542	29606782	241	.	0.485477	161.481328	1.273348	0.835854	1.553427	106	197	0	443
2	34654069	34654189	121	.	0.289256	82.38843	0.649667	0.457354	0.772771	58	98	0	133
2	39281739	39281979	241	.	0.307054	112.385892	0.88621	0.575636	1.072417	73	136	0	305
2	47445507	47445627	121	.	0.512397	100.909091	0.79571	0.512552	0.906823	65	115	0	175
2	47461895	47462015	121	.	0.528926	103.231405	0.814023	0.638719	0.906823	81	115	0	182
2	47484078	47484198	121	.	0.528926	105.107438	0.828816	0.599292	0.993563	76	126	0	183
2	47485358	47485478	121	.	0.38843	124.892562	0.98483	0.741229	1.167042	94	148	0	220
2	47494739	47494859	121	.	0.603306	86.867769	0.684989	0.488896	0.796427	62	101	0	141
2	47523349	47523469	121	.	0.46281	80.702479	0.636373	0.46524	0.764886	59	97	0	135
2	47525923	47526043	121	.	0.38843	78.421488	0.618386	0.457354	0.709688	58	90	0	137
2	47530883	47531003	121	.	0.438017	114.743802	0.904803	0.749115	1.025104	95	130	0	192
2	47551887	47552007	121	.	0.404959	96.809917	0.763387	0.583521	0.914708	74	116	0	175
2	47589974	47590094	121	.	0.46281	73.198347	0.5772	0.441583	0.670261	56	85	0	130
2	47612818	47612938	121	.	0.297521	85.347107	0.672998	0.528323	0.764886	67	97	0	143
2	47630316	47630556	241	.	0.66805	177.912863	1.402917	0.827969	1.805761	105	229	0	482
2	47635467	47635707	241	.	0.323651	75.385892	0.594449	0.346958	0.812198	44	103	0	219
2	47637192	47637552	361	.	0.423823	164.825485	1.299718	0.646604	1.577084	82	200	0	621
2	47639506	47639746	241	.	0.319502	93.278008	0.735536	0.362729	0.883167	46	112	0	248
2	47641362	47641721	360	.	0.291667	64.269444	0.506791	0.031542	0.954136	4	121	0	248
2	47643381	47643621	241	.	0.385892	135.626556	1.069472	0.551979	1.332636	70	169	0	357
2	47656861	47657101	241	.	0.348548	102.560166	0.80873	0.496781	0.977792	63	124	0	274
2	47663785	47663905	121	.	0.454545	125.553719	0.990044	0.725458	1.1355	92	144	0	216
2	47672681	47672801	121	.	0.355372	89.38843	0.704865	0.520438	0.820083	66	104	0	152
2	47685154	47685274	121	.	0.264463	94.652893	0.746378	0.575636	0.867396	73	110	0	174
2	47690112	47690352	241	.	0.33195	127.091286	1.002168	0.583521	1.230125	74	156	0	336
2	47693646	47693992	347	.	0.293948	143.550432	1.131955	0.717573	1.395719	91	177	0	530
2	47698092	47698212	121	.	0.297521	73.024793	0.575831	0.410042	0.693917	52	88	0	119
2	47702106	47702466	361	.	0.351801	125.972299	0.993344	0.031542	1.419375	4	180	0	448
2	47703488	47703728	241	.	0.448133	156.485477	1.233953	0.891052	1.379948	113	175	0	441
2	47703825	47703945	121	.	0.280992	102.603306	0.80907	0.536208	0.94625	68	120	0	181
2	47705355	47705715	361	.	0.373961	145.969529	1.151031	0.686031	1.443031	87	183	0	539
2	47707803	47708043	241	.	0.406639	143.26556	1.129709	0.670261	1.356292	85	172	0	385
2	47709883	47710123	241	.	0.311203	104.6639	0.825319	0.512552	1.001448	65	127	0	286
2	47717125	47717245	121	.	0.413223	93.809917	0.73973	0.583521	0.875281	74	111	0	160
2	47733475	47733595	121	.	0.553719	106.140496	0.836962	0.599292	1.001448	76	127	0	185
2	47747252	47747372	121	.	0.644628	82.256198	0.648625	0.520438	0.741229	66	94	0	147
2	47757563	47757683	121	.	0.479339	118.330579	0.933086	0.670261	1.096073	85	139	0	202
2	47769789	47769909	121	.	0.504132	104.520661	0.824189	0.65449	0.938365	83	119	0	179
2	47800076	47800196	121	.	0.53719	102.710744	0.809917	0.551979	0.930479	70	118	0	175
2	47824369	47824489	121	.	0.347107	75.628099	0.596359	0.402156	0.749115	51	95	0	132
2	47828332	47828452	121	.	0.487603	105.644628	0.833052	0.583521	0.985677	74	125	0	179
2	47834253	47834373	121	.	0.380165	110.157025	0.868634	0.662375	1.025104	84	130	0	194
2	47863015	47863135	121	.	0.38843	76.92562	0.606591	0.449469	0.757	57	96	0	124
2	47902033	47902153	121	.	0.438017	106.049587	0.836245	0.622948	0.954136	79	121	0	171
2	47948002	47948122	121	.	0.380165	71.61157	0.564687	0.307531	0.693917	39	88	0	100
2	47952717	47952837	121	.	0.404959	87.884298	0.693004	0.496781	0.859511	63	109	0	152
2	48010323	48010683	361	.	0.709141	156.916898	1.237355	0.410042	1.648052	52	209	0	575
2	48018044	48018284	241	.	0.46473	131.53527	1.037211	0.56775	1.285323	72	163	0	349
2	48023023	48023263	241	.	0.443983	157.821577	1.244489	0.725458	1.521886	92	193	0	407
2	48025720	48028360	2641	.	0.429004	187.750095	1.480488	0.678146	1.821532	86	231	0	4554
2	48030511	48030871	361	.	0.426593	152.074792	1.199173	0.693917	1.569198	88	199	0	581
2	48032047	48032167	121	.	0.479339	105.438017	0.831423	0.591406	1.017219	75	129	0	181
2	48032651	48032891	241	.	0.298755	80.838174	0.637443	0.031542	0.827969	4	105	0	250
2	48033300	48033540	241	.	0.344398	156.46888	1.233823	0.796427	1.41149	101	179	0	461
2	48033571	48034044	474	.	0.350211	108.189873	0.853122	0.18925	1.356292	24	172	0	574
2	48085001	48085121	121	.	0.305785	83.008264	0.654555	0.433698	0.780656	55	99	0	153
2	49394645	49394765	121	.	0.31405	69.619835	0.548981	0.410042	0.678146	52	86	0	127
2	51288348	51288468	121	.	0.338843	71.041322	0.560191	0.354844	0.693917	45	88	0	110
2	51288568	51288688	121	.	0.404959	66.330579	0.523044	0.323302	0.607177	41	77	0	114
2	54660482	54660602	121	.	0.545455	100.347107	0.791279	0.607177	0.930479	77	118	0	180
2	60170815	60170935	121	.	0.429752	64.842975	0.511314	0.346958	0.638719	44	81	0	108
2	61145446	61145566	121	.	0.264463	41.206612	0.324931	0.18925	0.3785	24	48	0	72
2	61719418	61719658	241	.	0.290456	112.19917	0.884737	0.544094	1.040875	69	132	0	304
2	61725997	61726117	121	.	0.272727	49.214876	0.38808	0.283875	0.433698	36	55	0	85
2	66352735	66352855	121	.	0.363636	126.338843	0.996235	0.686031	1.198584	87	152	0	221
2	72126360	72126480	121	.	0.578512	105.165289	0.829272	0.583521	0.954136	74	121	0	176
2	79422905	79423025	121	.	0.421488	113.528926	0.895223	0.575636	1.072417	73	136	0	190
2	82017240	82017360	121	.	0.272727	74.214876	0.585215	0.449469	0.693917	57	88	0	131
2	91887852	91887972	121	.	0.280992	142.595041	1.124421	0.796427	1.364177	101	173	0	229
2	95849228	95849348	121	.	0.380165	52.586777	0.414669	0.236563	0.496781	30	63	0	67
2	99373660	99373780	121	.	0.38843	109.206612	0.86114	0.646604	0.977792	82	124	0	202
2	106021428	106021548	121	.	0.38843	94.123967	0.742207	0.583521	0.851625	74	108	0	171
2	113990856	113990976	121	.	0.429752	39.958678	0.315091	0.27599	0.354844	35	45	0	82
2	119592917	119593037	121	.	0.628099	113.752066	0.896983	0.607177	1.03299	77	131	0	198
2	125301442	125301562	121	.	0.347107	88.041322	0.694243	0.536208	0.796427	68	101	0	152
2	133317829	133317949	121	.	0.512397	120.743802	0.952115	0.693917	1.056646	88	134	0	225
2	141599158	141599278	121	.	0.305785	86.570248	0.682643	0.48101	0.764886	61	97	0	148
2	152156198	152156318	121	.	0.438017	95.553719	0.753481	0.410042	0.883167	52	112	0	173
2	158655846	158655966	121	.	0.347107	51.231405	0.403981	0.260219	0.473125	33	60	0	103
2	158739524	158739644	121	.	0.305785	104.975207	0.827773	0.56775	0.954136	72	121	0	183
2	164133508	164133628	121	.	0.338843	88.867769	0.700759	0.615063	0.796427	78	101	0	165
2	169205222	169205342	121	.	0.404959	82.305785	0.649016	0.46524	0.788542	59	100	0	146
2	178098686	178099046	361	.	0.407202	153.703601	1.212017	0.615063	1.435146	78	182	0	582
2	178848427	178848547	121	.	0.264463	81.68595	0.644128	0.473125	0.749115	60	95	0	141
2	189541628	189541748	121	.	0.280992	66.53719	0.524674	0.339073	0.646604	43	82	0	115
2	198257644	198257764	121	.	0.322314	32.206612	0.253963	0.134052	0.307531	17	39	0	62
2	198265429	198265669	241	.	0.360996	113.838174	0.897662	0.551979	1.072417	70	136	0	305
2	198266661	198266901	241	.	0.423237	137.717842	1.085963	0.701802	1.253781	89	159	0	371
2	198267235	198267595	361	.	0.390582	119.573407	0.942886	0.212906	1.277438	27	162	0	451
2	202139687	202139807	121	.	0.297521	26.082645	0.205673	0.165594	0.252333	21	32	0	53
2	203723929	203724049	121	.	0.247934	62.247934	0.490851	0.386385	0.56775	49	72	0	103
2	209110035	209110155	121	.	0.421488	52.545455	0.414343	0.307531	0.473125	39	60	0	87
2	209113059	209113419	361	.	0.421053	149.786704	1.181131	0.583521	1.427261	74	181	0	558
2	212578327	212578447	121	.	0.322314	52.289256	0.412323	0.228677	0.504667	29	64	0	106
2	215657131	215657251	121	.	0.280992	36.016529	0.284005	0.10251	0.370615	13	47	0	74
2	222085553	222085673	121	.	0.38843	84.85124	0.669087	0.488896	0.804313	62	102	0	148
2	238791943	238792063	121	.	0.570248	111.289256	0.877562	0.693917	1.03299	88	131	0	190
3	1449812	1449932	121	.	0.198347	77.438017	0.610631	0.433698	0.725458	55	92	0	123
3	10183522	10183882	361	.	0.722992	172.734072	1.36208	0.536208	1.719021	68	218	0	640
3	10188139	10188379	241	.	0.46473	143.643154	1.132686	0.709688	1.372063	90	174	0	392
3	10191440	10191680	241	.	0.497925	140.676349	1.109292	0.701802	1.379948	89	175	0	389
3	12625965	12626205	241	.	0.543568	161.004149	1.269585	0.898938	1.506115	114	191	0	470
3	12626293	12626533	241	.	0.456432	205.672199	1.621811	1.190698	1.900386	151	241	0	627
3	12626567	12626807	241	.	0.502075	193.460581	1.525518	0.898938	1.782104	114	226	0	549
3	12627179	12627299	121	.	0.446281	90.834711	0.71627	0.544094	0.84374	69	107	0	161
3	12629053	12629173	121	.	0.347107	70.297521	0.554325	0.331188	0.678146	42	86	0	123
3	12632265	12632505	241	.	0.543568	160.141079	1.262779	0.678146	1.506115	86	191	0	433
3	12633189	12633309	121	.	0.504132	95.743802	0.75498	0.56775	0.914708	72	116	0	179
3	12641188	12641308	121	.	0.471074	67.157025	0.529561	0.386385	0.599292	49	76	0	118
3	12645591	12645831	241	.	0.502075	146.099585	1.152056	0.686031	1.364177	87	173	0	392
3	12955922	12956042	121	.	0.578512	97.933884	0.77225	0.583521	0.94625	74	120	0	166
3	22112000	22112120	121	.	0.330579	88.53719	0.698153	0.551979	0.772771	70	98	0	154
3	30691817	30691937	121	.	0.413223	67.61157	0.533145	0.410042	0.607177	52	77	0	125
3	30732882	30733122	241	.	0.585062	145.161826	1.144662	0.780656	1.269552	99	161	0	400
3	32670297	32670417	121	.	0.347107	106.966942	0.843479	0.591406	0.993563	75	126	0	177
3	36814552	36814672	121	.	0.38843	89.958678	0.709362	0.496781	0.875281	63	111	0	155
3	36826531	36826651	121	.	0.528926	99.165289	0.78196	0.559865	0.914708	71	116	0	162
3	36844821	36844941	121	.	0.512397	104.752066	0.826014	0.575636	0.969906	73	123	0	180
3	36855970	36856090	121	.	0.512397	108.272727	0.853776	0.646604	0.993563	82	126	0	182
3	36878503	36878623	121	.	0.471074	88.22314	0.695676	0.48101	0.851625	61	108	0	148
3	36904723	36904843	121	.	0.355372	95.355372	0.751917	0.575636	0.906823	73	115	0	165
3	36917346	36917466	121	.	0.289256	77.471074	0.610892	0.425813	0.764886	54	97	0	132
3	36921735	36921855	121	.	0.454545	89.545455	0.706103	0.512552	0.84374	65	107	0	152
3	36928258	36928378	121	.	0.413223	49.586777	0.391012	0.181365	0.488896	23	62	0	72
3	36937883	36938003	121	.	0.264463	67.842975	0.53497	0.402156	0.65449	51	83	0	115
3	36941864	36941984	121	.	0.272727	80.652893	0.635982	0.417927	0.796427	53	101	0	135
3	36978587	36978707	121	.	0.380165	76.694215	0.604766	0.449469	0.693917	57	88	0	134
3	36985172	36985292	121	.	0.504132	58.355372	0.460156	0.323302	0.536208	41	68	0	109
3	36994897	36995017	121	.	0.446281	80.024793	0.631029	0.48101	0.709688	61	90	0	143
3	37024278	37024398	121	.	0.446281	100.942149	0.795971	0.536208	0.962021	68	122	0	167
3	37035037	37035157	121	.	0.545455	104.677686	0.825427	0.56775	0.969906	72	123	0	173
3	37038095	37038215	121	.	0.413223	93.280992	0.73556	0.544094	0.851625	69	108	0	163
3	37042435	37042555	121	.	0.38843	71.859504	0.566642	0.441583	0.638719	56	81	0	127
3	37045868	37045988	121	.	0.396694	90.561983	0.714119	0.441583	0.84374	56	107	0	142
3	37048458	37048578	121	.	0.413223	72.454545	0.571334	0.441583	0.638719	56	81	0	121
3	37050291	37050411	121	.	0.380165	90.735537	0.715488	0.46524	0.898938	59	114	0	159
3	37053272	37053392	121	.	0.338843	93.743802	0.739209	0.583521	0.827969	74	105	0	172
3	37053486	37053606	121	.	0.446281	96.719008	0.76267	0.488896	0.930479	62	118	0	175
3	37055919	37056039	121	.	0.363636	98.446281	0.77629	0.575636	0.898938	73	114	0	160
3	37058983	37059103	121	.	0.404959	71.677686	0.565209	0.425813	0.670261	54	85	0	128
3	37061757	37061997	241	.	0.506224	135	1.064531	0.686031	1.308979	87	166	0	364
3	37067083	37067553	471	.	0.456476	125.36518	0.988557	0.007885	1.466688	1	186	0	593
