# sample:  Sample (has multiple cells)
# cell:    Name of the cell.
# mapped:  Total number of reads seen
# suppl:   Supplementary, secondary or QC-failed reads (filtered out)
# dupl:    Reads filtered out as PCR duplicates
# mapq:    Reads filtered out due to low mapping quality
# read2:   Reads filtered out as 2nd read of pair
# good:    Reads used for counting.
# pass1:   Enough coverage? If false, ignore all columns from now
# nb_p:    Negative Binomial parameter p. Constant for one sample.
# nb_r:    Negative Binomial parameter r. We use NB(p,r/2) * NB(p,r/2) in WC states, but NB(p,(1-a)*r)*NB(p,a*r) in WW or CC states.
# nb_a:    Negative Binomial parameter a (alpha) used for zero expectation (see above).
# bam:     Bam file of this cell
sample	cell	medbin	mapped	suppl	dupl	mapq	read2	good	pass1	nb_p	nb_r	nb_a	bam
BAB14547	BAB14547iTRU1A14	18	828754	434	190907	68924	282213	286276	1	0.131082	2.9676	0.1	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A14.sort.mdup.bam
BAB14547	BAB14547iTRU1A15	25	1190002	545	318319	91711	386917	392510	1	0.131082	4.07412	0.1	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A15.sort.mdup.bam
BAB14547	BAB14547iTRU1A16	33	1661584	648	465440	104066	541961	549469	1	0.131082	5.71511	0.1	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A16.sort.mdup.bam
BAB14547	BAB14547iTRU1A17	41	1870815	822	462389	136798	630971	639835	1	0.131082	6.64785	0.1	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A17.sort.mdup.bam
BAB14547	BAB14547iTRU1A18	23	1072958	470	277522	84011	352604	358351	1	0.131082	3.72091	0.1	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A18.sort.mdup.bam
BAB14547	BAB14547iTRU1A19	21	1004307	444	275480	75780	324270	328333	1	0.131082	3.40548	0.1	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A19.sort.mdup.bam
BAB14547	BAB14547iTRU1A20	40	1927104	783	572338	142385	602318	609280	1	0.131082	6.32602	0.1	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A20.sort.mdup.bam
BAB14547	BAB14547iTRU1A21	4	266002	242	75915	18724	84873	86248	1	0.131082	0.895302	0.1	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A21.sort.mdup.bam
BAB14547	BAB14547iTRU1A22	36	1671024	744	478710	125335	529370	536865	1	0.131082	5.57547	0.1	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A22.sort.mdup.bam
BAB14547	BAB14547iTRU1A23	29	1462980	670	430939	100691	462453	468227	1	0.131082	4.86467	0.1	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A23.sort.mdup.bam
BAB14547	BAB14547iTRU1A24	18	831666	843	213624	62515	275523	279161	1	0.131082	2.89861	0.1	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A24.sort.mdup.bam
BAB14547	BAB14547iTRU1A25	0	14103	13	3452	1680	4452	4506	0	0	0	0	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A25.sort.mdup.bam
BAB14547	BAB14547iTRU1A26	19	860909	420	222199	68519	283055	286716	1	0.131082	2.9747	0.1	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A26.sort.mdup.bam
BAB14547	BAB14547iTRU1A27	15	630996	287	97955	48349	240813	243592	1	0.131082	2.53001	0.1	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A27.sort.mdup.bam
BAB14547	BAB14547iTRU1A28	23	1127400	475	303677	87433	365865	369950	1	0.131082	3.84235	0.1	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A28.sort.mdup.bam
BAB14547	BAB14547iTRU1A29	8	362759	155	61162	28659	135583	137200	1	0.131082	1.42312	0.1	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A29.sort.mdup.bam
BAB14547	BAB14547iTRU1A30	32	1574869	525	475343	111186	490558	497257	1	0.131082	5.17686	0.1	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A30.sort.mdup.bam
BAB14547	BAB14547iTRU1A31	26	1240928	496	324887	94729	408302	412514	1	0.131082	4.28296	0.1	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A31.sort.mdup.bam
BAB14547	BAB14547iTRU1A32	20	941971	463	249455	74754	306699	310600	1	0.131082	3.22188	0.1	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A32.sort.mdup.bam
BAB14547	BAB14547iTRU1A33	20	919403	436	241006	70731	301479	305751	1	0.131082	3.1751	0.1	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A33.sort.mdup.bam
BAB14547	BAB14547iTRU1A34	44	2059697	779	564195	129262	678358	687103	1	0.131082	7.15722	0.1	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A34.sort.mdup.bam
BAB14547	BAB14547iTRU1A35	14	652979	269	170632	44178	217527	220373	1	0.131082	2.29372	0.1	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A35.sort.mdup.bam
BAB14547	BAB14547iTRU1A36	0	14943	10	4628	1538	4355	4412	0	0	0	0	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A36.sort.mdup.bam
BAB14547	BAB14547iTRU1A37	45	2135454	1036	607033	155801	681146	690438	1	0.131082	7.16429	0.1	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A37.sort.mdup.bam
BAB14547	BAB14547iTRU1A38	37	1900580	868	573887	144237	586874	594714	1	0.131082	6.17104	0.1	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A38.sort.mdup.bam
BAB14547	BAB14547iTRU1A39	41	1894119	720	483253	123324	638828	647994	1	0.131082	6.74443	0.1	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A39.sort.mdup.bam
BAB14547	BAB14547iTRU1A40	45	2221124	1051	649293	169822	696072	704886	1	0.131082	7.31481	0.1	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A40.sort.mdup.bam
BAB14547	BAB14547iTRU1A41	25	1172464	559	309900	90530	383098	388377	1	0.131082	4.03023	0.1	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A41.sort.mdup.bam
BAB14547	BAB14547iTRU1A42	22	1020023	471	258117	82768	336929	341738	1	0.131082	3.54409	0.1	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A42.sort.mdup.bam
BAB14547	BAB14547iTRU1A43	25	1182198	1037	314202	97555	381997	387407	1	0.131082	4.01762	0.1	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A43.sort.mdup.bam
BAB14547	BAB14547iTRU1A44	33	1568567	625	399444	118751	521730	528017	1	0.131082	5.4847	0.1	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A44.sort.mdup.bam
BAB14547	BAB14547iTRU1A45	41	2082771	8866	594073	145419	662684	671729	1	0.131082	6.98565	0.1	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A45.sort.mdup.bam
BAB14547	BAB14547iTRU1A46	31	1385549	621	327066	104522	473557	479783	1	0.131082	4.98353	0.1	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A46.sort.mdup.bam
BAB14547	BAB14547iTRU1A47	33	1461975	729	375548	113289	482683	489726	1	0.131082	5.08274	0.1	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A47.sort.mdup.bam
BAB14547	BAB14547iTRU1A48	36	1806400	626	499513	117677	590184	598400	1	0.131082	6.22701	0.1	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A48.sort.mdup.bam
BAB14547	BAB14547iTRU1A49	28	1382408	625	361997	105448	454144	460194	1	0.131082	4.77504	0.1	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A49.sort.mdup.bam
BAB14547	BAB14547iTRU1A50	33	1800337	720	520397	115367	577705	586148	1	0.131082	6.09654	0.1	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A50.sort.mdup.bam
BAB14547	BAB14547iTRU1A51	18	850559	391	195078	58436	296170	300484	1	0.131082	3.12271	0.1	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A51.sort.mdup.bam
BAB14547	BAB14547iTRU1A52	44	2109509	1015	576349	165280	678875	687990	1	0.131082	7.13447	0.1	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A52.sort.mdup.bam
BAB14547	BAB14547iTRU1A53	22	1060230	455	267062	79975	353859	358879	1	0.131082	3.72485	0.1	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A53.sort.mdup.bam
BAB14547	BAB14547iTRU1A54	29	1280069	563	322841	98219	426237	432209	1	0.131082	4.48651	0.1	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A54.sort.mdup.bam
BAB14547	BAB14547iTRU1A55	27	1349482	541	358969	92376	445762	451834	1	0.131082	4.69565	0.1	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A55.sort.mdup.bam
BAB14547	BAB14547iTRU1A56	24	1178487	518	260130	87456	412181	418202	1	0.131082	4.34407	0.1	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A56.sort.mdup.bam
BAB14547	BAB14547iTRU1A57	27	1183590	501	285000	89221	401582	407286	1	0.131082	4.23118	0.1	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A57.sort.mdup.bam
BAB14547	BAB14547iTRU1A58	23	984473	479	218999	75144	342503	347348	1	0.131082	3.60593	0.1	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A58.sort.mdup.bam
BAB14547	BAB14547iTRU1A59	19	923669	384	240494	57322	310567	314902	1	0.131082	3.27656	0.1	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A59.sort.mdup.bam
BAB14547	BAB14547iTRU1A60	21	982685	447	245788	75941	328060	332449	1	0.131082	3.45191	0.1	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A60.sort.mdup.bam
BAB14547	BAB14547iTRU1A61	24	1169333	3577	344542	87965	363992	369257	1	0.131082	3.83282	0.1	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A61.sort.mdup.bam
BAB14547	BAB14547iTRU1A62	23	1108640	511	317010	86776	349695	354648	1	0.131082	3.6794	0.1	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A62.sort.mdup.bam
BAB14547	BAB14547iTRU1A63	43	2059606	940	596892	158474	647929	655371	1	0.131082	6.80139	0.1	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A63.sort.mdup.bam
BAB14547	BAB14547iTRU1A64	40	2088941	753	583235	128401	683537	693015	1	0.131082	7.21224	0.1	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A64.sort.mdup.bam
BAB14547	BAB14547iTRU1A65	26	1212723	553	310240	97196	399437	405297	1	0.131082	4.20192	0.1	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A65.sort.mdup.bam
BAB14547	BAB14547iTRU1A66	37	1727361	726	483108	129176	554104	560247	1	0.131082	5.81701	0.1	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A66.sort.mdup.bam
BAB14547	BAB14547iTRU1A67	32	1555221	648	435079	124197	494751	500546	1	0.131082	5.1967	0.1	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A67.sort.mdup.bam
BAB14547	BAB14547iTRU1A68	21	950960	399	222449	75297	324273	328542	1	0.131082	3.40992	0.1	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A68.sort.mdup.bam
BAB14547	BAB14547iTRU1A69	29	1237231	521	297959	97298	417970	423483	1	0.131082	4.3971	0.1	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A69.sort.mdup.bam
BAB14547	BAB14547iTRU1A70	38	1831544	668	470084	117866	617515	625411	1	0.131082	6.50721	0.1	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A70.sort.mdup.bam
BAB14547	BAB14547iTRU1A71	49	2177416	948	529942	165960	735102	745464	1	0.131082	7.74082	0.1	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A71.sort.mdup.bam
BAB14547	BAB14547iTRU1A72	19	1039006	459	280617	64706	344276	348948	1	0.131082	3.62809	0.1	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A72.sort.mdup.bam
BAB14547	BAB14547iTRU1A73	31	1554631	679	425500	106321	507549	514582	1	0.131082	5.3492	0.1	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A73.sort.mdup.bam
BAB14547	BAB14547iTRU1A74	26	1235729	545	338154	95767	397675	403588	1	0.131082	4.18788	0.1	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A74.sort.mdup.bam
BAB14547	BAB14547iTRU1A75	26	1179526	572	308330	93956	385781	390887	1	0.131082	4.05316	0.1	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A75.sort.mdup.bam
BAB14547	BAB14547iTRU1A76	42	1970722	724	549727	141578	635448	643245	1	0.131082	6.68309	0.1	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A76.sort.mdup.bam
BAB14547	BAB14547iTRU1A77	27	1303049	616	355496	104563	418174	424200	1	0.131082	4.39704	0.1	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A77.sort.mdup.bam
BAB14547	BAB14547iTRU1A78	27	1325567	530	330295	86339	451295	457108	1	0.131082	4.75429	0.1	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A78.sort.mdup.bam
BAB14547	BAB14547iTRU1A79	24	1232117	477	332094	85179	404419	409948	1	0.131082	4.25912	0.1	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A79.sort.mdup.bam
BAB14547	BAB14547iTRU1A80	24	1142010	623	295373	90853	375027	380134	1	0.131082	3.94001	0.1	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A80.sort.mdup.bam
BAB14547	BAB14547iTRU1A81	26	1191897	541	327227	89192	384863	390074	1	0.131082	4.05056	0.1	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A81.sort.mdup.bam
BAB14547	BAB14547iTRU1A82	44	1943619	855	478863	127242	664162	672497	1	0.131082	6.99492	0.1	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A82.sort.mdup.bam
BAB14547	BAB14547iTRU1A83	20	871911	338	171898	68847	313171	317657	1	0.131082	3.29756	0.1	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A83.sort.mdup.bam
BAB14547	BAB14547iTRU1A84	17	805346	447	187473	60486	276577	280363	1	0.131082	2.90695	0.1	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A84.sort.mdup.bam
BAB14547	BAB14547iTRU1A85	13	616052	267	125940	44324	221166	224355	1	0.131082	2.32834	0.1	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A85.sort.mdup.bam
BAB14547	BAB14547iTRU1A86	19	884713	457	207779	69300	301559	305618	1	0.131082	3.16586	0.1	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A86.sort.mdup.bam
BAB14547	BAB14547iTRU1A87	19	853115	394	187794	61300	299936	303691	1	0.131082	3.15294	0.1	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A87.sort.mdup.bam
BAB14547	BAB14547iTRU1A88	17	855410	424	213098	63593	287135	291160	1	0.131082	3.01805	0.1	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A88.sort.mdup.bam
BAB14547	BAB14547iTRU1A89	23	1040095	466	243357	80244	355312	360716	1	0.131082	3.73974	0.1	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A89.sort.mdup.bam
BAB14547	BAB14547iTRU1A90	17	777074	328	176477	59515	268469	272285	1	0.131082	2.82373	0.1	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A90.sort.mdup.bam
BAB14547	BAB14547iTRU1A91	0	7602	12	2570	884	2058	2078	0	0	0	0	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A91.sort.mdup.bam
BAB14547	BAB14547iTRU1A92	19	903387	370	200206	64886	316720	321205	1	0.131082	3.3346	0.1	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A92.sort.mdup.bam
BAB14547	BAB14547iTRU1A93	26	1150379	501	265186	88396	395355	400941	1	0.131082	4.1614	0.1	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A93.sort.mdup.bam
BAB14547	BAB14547iTRU1A94	30	1338303	601	295885	104443	465515	471859	1	0.131082	4.89636	0.1	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A94.sort.mdup.bam
BAB14547	BAB14547iTRU1A95	2	107963	84	1960	7167	49136	49616	0	0	0	0	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A95.sort.mdup.bam
BAB14547	BAB14547iTRU1A96	0	7774	40	6082	627	534	491	0	0	0	0	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A96.sort.mdup.bam
