 
Sample Name,CEG56_171_7P
 
Peak Table
Size [bp],Conc. [pg/µl],Molarity [pmol/l],Observations,Area,Aligned Migration Time [s],Peak Height,Peak Width,% of Total,Time corrected area
35,125.00,"5,411.3",Lower Marker,48.9,43.00,117.5,1.0,0.0,115.9
86,5.29,93.5,,2.5,49.43,6.3,0.7,0.1,5.1
137,5.78,63.9,,3.1,54.71,5.2,1.0,0.1,5.8
295,"1,992.02","10,220.2",,"1,714.9",69.63,315.0,12.2,38.5,"2,453.4"
307,503.64,"2,483.5",,446.4,70.64,322.3,1.3,9.9,629.1
316,"2,405.86","11,542.0",,"2,176.7",71.31,321.1,12.0,47.7,"3,038.0"
498,161.16,490.3,,190.5,83.40,48.7,6.3,3.5,226.1
646,9.67,22.7,,13.3,89.78,12.0,1.5,0.2,14.6
"10,380",75.00,10.9,Upper Marker,169.0,113.00,172.8,3.2,0.0,146.8
"12,755",0.00,0.0,,6.3,115.45,9.5,1.0,0.0,5.4
 
Region Table
Name,From [s],To [s],Corr. Area,% of Total,Average Size [bp],Size distribution in CV [%],Conc. [pg/µl],Molarity [pmol/l],Color
Region 1,57.58,94.22,"6,372.2",98,333,24.4,"5,026.95","24,557.8",12930121
 
 
Sample Name,CEG56_171_8P
 
Peak Table
Size [bp],Conc. [pg/µl],Molarity [pmol/l],Observations,Area,Aligned Migration Time [s],Peak Height,Peak Width,% of Total,Time corrected area
35,125.00,"5,411.3",Lower Marker,55.1,43.00,129.2,1.1,0.0,130.4
291,"2,050.97","10,697.0",,"1,539.1",69.18,357.2,11.7,35.8,"2,213.0"
304,399.23,"1,990.0",,309.6,70.38,366.7,0.8,7.1,437.3
315,"3,185.97","15,326.2",,"2,537.1",71.24,371.4,16.7,57.1,"3,538.5"
"10,380",75.00,10.9,Upper Marker,149.0,113.00,165.0,2.4,0.0,129.3
 
Region Table
Name,From [s],To [s],Corr. Area,% of Total,Average Size [bp],Size distribution in CV [%],Conc. [pg/µl],Molarity [pmol/l],Color
Region 1,58.09,89.79,"6,354.1",99,323,18.6,"5,708.94","27,982.9",12930121
 
 
Sample Name,CEG56_171_1IC(10x)
 
Peak Table
Size [bp],Conc. [pg/µl],Molarity [pmol/l],Observations,Area,Aligned Migration Time [s],Peak Height,Peak Width,% of Total,Time corrected area
35,125.00,"5,411.3",Lower Marker,55.8,43.00,133.6,1.1,0.0,131.3
294,"3,350.14","17,256.4",,"2,900.6",69.52,725.7,14.0,52.2,"4,126.0"
438,"2,096.19","7,253.8",,"2,386.9",80.03,442.5,10.5,37.2,"2,935.9"
566,80.50,215.7,,106.3,86.72,103.7,1.0,1.5,120.3
577,347.70,912.5,,467.1,87.29,103.9,6.3,6.7,525.4
845,29.71,53.2,,44.5,93.41,40.4,1.1,0.6,46.7
935,28.26,45.8,,44.6,94.65,34.3,1.4,0.6,46.2
"1,231",10.29,12.7,,17.6,96.90,23.2,0.8,0.2,17.8
"1,369",7.78,8.6,,13.6,97.71,21.2,0.7,0.2,13.7
"1,492",12.90,13.1,,23.1,98.43,19.6,1.3,0.3,23.0
"2,503",4.89,3.0,,9.7,102.87,11.4,0.9,0.1,9.2
"2,979",2.93,1.5,,5.9,104.26,9.9,0.6,0.1,5.5
"3,542",3.37,1.4,,6.8,105.02,9.1,0.8,0.1,6.3
"4,277",3.97,1.4,,8.0,105.98,9.1,0.9,0.1,7.4
"5,269",2.45,0.7,,5.0,107.27,8.0,0.6,0.1,4.5
"5,857",2.54,0.7,,5.2,108.03,8.4,0.7,0.1,4.7
"6,628",3.70,0.8,,7.6,109.03,7.6,1.1,-0.1,6.8
"10,380",75.00,10.9,Upper Marker,170.2,113.00,153.3,3.2,0.0,147.0
"12,838",0.00,0.0,,11.6,115.53,9.9,1.7,0.0,9.8
 
Region Table
Name,From [s],To [s],Corr. Area,% of Total,Average Size [bp],Size distribution in CV [%],Conc. [pg/µl],Molarity [pmol/l],Color
Region 1,61.28,96.55,"7,829.0",97,402,33.5,"5,922.37","25,192.3",12930121
 
 
Sample Name,CEG56_171_2IC(10x)
 
Peak Table
Size [bp],Conc. [pg/µl],Molarity [pmol/l],Observations,Area,Aligned Migration Time [s],Peak Height,Peak Width,% of Total,Time corrected area
35,125.00,"5,411.3",Lower Marker,48.2,43.00,116.7,0.9,0.0,112.2
292,"1,270.01","6,596.3",,"1,062.9",69.29,269.4,11.7,39.5,"1,503.3"
435,"1,257.81","4,380.5",,"1,389.2",79.87,277.2,10.0,44.6,"1,697.3"
564,84.59,227.1,,108.3,86.66,71.7,1.6,3.2,121.7
573,144.13,381.0,,187.0,87.09,73.7,2.9,5.5,209.1
653,43.06,99.9,,57.8,89.98,49.1,1.2,1.6,62.5
689,70.65,155.3,,94.4,91.07,44.0,2.6,2.6,100.8
869,35.22,61.4,,52.0,93.73,29.4,1.9,1.4,53.9
"1,217",12.44,15.5,,20.6,96.82,18.8,1.2,0.5,20.7
"1,436",7.73,8.2,,13.3,98.10,14.5,1.0,0.3,13.2
"1,622",4.79,4.5,,8.5,99.19,11.2,0.9,0.2,8.4
"1,776",3.66,3.1,,6.7,100.09,8.5,0.9,0.2,6.5
"1,929",3.12,2.5,,5.9,100.99,7.7,0.9,0.1,5.6
"2,151",2.13,1.5,,4.1,101.85,6.6,0.7,0.3,3.9
"10,380",75.00,10.9,Upper Marker,165.3,113.00,168.2,3.2,0.0,141.6
"12,545",0.00,0.0,,5.8,115.23,7.5,1.1,0.0,4.9
 
Region Table
Name,From [s],To [s],Corr. Area,% of Total,Average Size [bp],Size distribution in CV [%],Conc. [pg/µl],Molarity [pmol/l],Color
Region 1,61.64,101.69,"3,878.6",99,452,46.9,"2,979.92","11,882.3",12930121
 
 
Sample Name,CEG56_171_3IC(10x)
 
Peak Table
Size [bp],Conc. [pg/µl],Molarity [pmol/l],Observations,Area,Aligned Migration Time [s],Peak Height,Peak Width,% of Total,Time corrected area
35,125.00,"5,411.3",Lower Marker,53.2,43.00,123.4,1.0,0.0,122.2
295,"2,078.71","10,665.6",,"1,738.2",69.63,399.5,11.7,43.8,"2,420.8"
465,815.98,"2,656.3",,913.3,81.58,314.2,5.6,19.6,"1,080.9"
473,858.27,"2,749.3",,966.2,82.00,315.4,5.1,20.6,"1,137.3"
647,402.80,943.5,,535.5,89.81,106.6,6.2,10.4,574.3
844,26.58,47.8,,38.3,93.38,55.7,0.7,0.7,39.4
895,141.50,239.6,,209.9,94.09,57.9,5.4,3.9,214.6
"1,658",9.62,8.8,,17.1,99.40,19.0,0.9,0.3,16.5
"1,819",5.88,4.9,,10.8,100.35,15.2,0.8,0.2,10.3
"1,955",6.02,4.7,,11.3,101.15,12.8,0.9,0.2,10.7
"2,896",3.60,1.9,,6.9,104.01,9.0,0.8,0.1,6.4
"4,215",3.77,1.4,,7.3,105.90,8.6,0.8,0.1,6.7
"4,794",3.06,1.0,,6.0,106.65,8.1,0.8,0.1,5.4
"5,409",2.84,0.8,,5.6,107.45,7.1,0.8,0.0,5.0
"10,380",75.00,10.9,Upper Marker,163.7,113.00,157.5,3.4,0.0,138.8
"12,846",0.00,0.0,,8.2,115.54,9.0,1.4,0.0,6.8
 
Region Table
Name,From [s],To [s],Corr. Area,% of Total,Average Size [bp],Size distribution in CV [%],Conc. [pg/µl],Molarity [pmol/l],Color
Region 1,62.52,101.77,"5,572.6",98,474,50.1,"4,359.17","17,071.8",12930121
 
