Found 196 primers in BED file

Number of references in file: 1
NC_045512.2
Using Region: NC_045512.2

Found 2704189 mapped reads
Found 0 unmapped reads
Sorted By Coordinate
-------
Processed 10% reads ... 
Processed 20% reads ... 
Processed 30% reads ... 
Processed 40% reads ... 
Processed 50% reads ... 
Processed 60% reads ... 
Processed 70% reads ... 
Processed 80% reads ... 
Processed 90% reads ... 
Processed 100% reads ... 

-------
Results: 
Primer Name	Read Count
nCoV-2019_33_LEFT	5868
nCoV-2019_33_RIGHT	12186
nCoV-2019_34_LEFT	28267
nCoV-2019_34_RIGHT	29647
nCoV-2019_35_LEFT	6682
nCoV-2019_35_RIGHT	1478
nCoV-2019_36_LEFT	3530
nCoV-2019_36_RIGHT	4569
nCoV-2019_37_LEFT	5072
nCoV-2019_37_RIGHT	9818
nCoV-2019_38_LEFT	3276
nCoV-2019_38_RIGHT	1197
nCoV-2019_39_LEFT	4701
nCoV-2019_39_RIGHT	6137
nCoV-2019_40_LEFT	17973
nCoV-2019_40_RIGHT	19291
nCoV-2019_41_LEFT	14121
nCoV-2019_41_RIGHT	9407
nCoV-2019_42_LEFT	9616
nCoV-2019_42_RIGHT	9174
nCoV-2019_43_LEFT	3441
nCoV-2019_43_RIGHT	8946
nCoV-2019_44_LEFT	12602
nCoV-2019_44_RIGHT	9549
nCoV-2019_45_LEFT	3599
nCoV-2019_45_RIGHT	3687
nCoV-2019_46_LEFT	14590
nCoV-2019_46_RIGHT	15569
nCoV-2019_47_LEFT	21063
nCoV-2019_47_RIGHT	27365
nCoV-2019_48_LEFT	14947
nCoV-2019_48_RIGHT	14376
nCoV-2019_49_LEFT	33597
nCoV-2019_49_RIGHT	32269
nCoV-2019_50_LEFT	32366
nCoV-2019_50_RIGHT	32021
nCoV-2019_51_LEFT	10153
nCoV-2019_51_RIGHT	7047
nCoV-2019_52_LEFT	22498
nCoV-2019_52_RIGHT	19597
nCoV-2019_53_LEFT	42312
nCoV-2019_53_RIGHT	45554
nCoV-2019_54_LEFT	7892
nCoV-2019_54_RIGHT	12561
nCoV-2019_55_LEFT	8335
nCoV-2019_55_RIGHT	1870
nCoV-2019_56_LEFT	12119
nCoV-2019_56_RIGHT	11971
nCoV-2019_57_LEFT	8294
nCoV-2019_57_RIGHT	9547
nCoV-2019_58_LEFT	54237
nCoV-2019_58_RIGHT	54638
nCoV-2019_59_LEFT	25267
nCoV-2019_59_RIGHT	26598
nCoV-2019_60_LEFT	9629
nCoV-2019_60_RIGHT	7887
nCoV-2019_61_LEFT	6693
nCoV-2019_61_RIGHT	4971
nCoV-2019_62_LEFT	12050
nCoV-2019_62_RIGHT	14644
nCoV-2019_63_LEFT	7421
nCoV-2019_63_RIGHT	10778
nCoV-2019_64_LEFT	447
nCoV-2019_64_RIGHT	2138
nCoV-2019_65_LEFT	4024
nCoV-2019_65_RIGHT	3764
nCoV-2019_66_LEFT	6980
nCoV-2019_66_RIGHT	4145
nCoV-2019_67_LEFT	17473
nCoV-2019_67_RIGHT	15656
nCoV-2019_68_LEFT	25941
nCoV-2019_68_RIGHT	32725
nCoV-2019_69_LEFT	9118
nCoV-2019_69_RIGHT	9890
nCoV-2019_70_LEFT	705
nCoV-2019_70_RIGHT	930
nCoV-2019_71_LEFT	1803
nCoV-2019_71_RIGHT	7654
nCoV-2019_72_LEFT	32802
nCoV-2019_72_RIGHT	31455
nCoV-2019_73_LEFT	13165
nCoV-2019_73_RIGHT	23395
nCoV-2019_74_LEFT	1716
nCoV-2019_74_RIGHT	1394
nCoV-2019_75_LEFT	12714
nCoV-2019_75_RIGHT	8940
nCoV-2019_76_LEFT	3133
nCoV-2019_76_RIGHT	219
nCoV-2019_77_LEFT	32820
nCoV-2019_77_RIGHT	16162
nCoV-2019_78_LEFT	448
nCoV-2019_78_RIGHT	1610
nCoV-2019_79_LEFT	8315
nCoV-2019_79_RIGHT	6143
nCoV-2019_80_LEFT	2401
nCoV-2019_80_RIGHT	2712
nCoV-2019_81_LEFT	2989
nCoV-2019_81_RIGHT	5792
nCoV-2019_82_LEFT	7934
nCoV-2019_82_RIGHT	5657
nCoV-2019_83_LEFT	6237
nCoV-2019_83_RIGHT	8021
nCoV-2019_84_LEFT	9178
nCoV-2019_84_RIGHT	11128
nCoV-2019_85_LEFT	422
nCoV-2019_85_RIGHT	1731
nCoV-2019_86_LEFT	5087
nCoV-2019_86_RIGHT	4844
nCoV-2019_87_LEFT	54529
nCoV-2019_87_RIGHT	54911
nCoV-2019_88_LEFT	15074
nCoV-2019_88_RIGHT	11409
nCoV-2019_89_LEFT	36822
nCoV-2019_89_RIGHT	32863
nCoV-2019_90_LEFT	36480
nCoV-2019_90_RIGHT	43862
nCoV-2019_91_LEFT	1332
nCoV-2019_91_RIGHT	1080
nCoV-2019_92_LEFT	11515
nCoV-2019_92_RIGHT	11199
nCoV-2019_93_LEFT	19358
nCoV-2019_93_RIGHT	23592
nCoV-2019_94_LEFT	5231
nCoV-2019_94_RIGHT	2219
nCoV-2019_95_LEFT	15621
nCoV-2019_95_RIGHT	19402
nCoV-2019_96_LEFT	10971
nCoV-2019_96_RIGHT	14510
nCoV-2019_97_LEFT	3250
nCoV-2019_97_RIGHT	3584
nCoV-2019_98_LEFT	148
nCoV-2019_98_RIGHT	81

Trimmed primers from 93.37% (2524989) of reads.
1.53% (41280) of reads were quality trimmed below the minimum length of 30 bp and were not writen to file.
6.44% (174041) of reads started outside of primer regions. Since the -e flag was given, these reads were written to file.
