# HOMER Peaks
# Peak finding parameters:
# tag directory = /hpcdata/sg/sg_data/illumina_hiseq_processed/170407_D00638_0265_AC82GUACXX/piperun_full/anals_output/Data/homerpre/Project_ATACseq/Sample_H12
#
# total peaks = 28592
# peak size = 1000
# peaks found using tags on both strands
# minimum distance between peaks = 2500
# fragment length = 210
# genome size = 2000000000
# Total tags = 13325162.5
# Total tags in peaks = 3561820.5
# Approximate IP efficiency = 26.73%
# tags per bp = 0.006140
# expected tags per peak = 6.140
# maximum tags considered per bp = 1.0
# effective number of tags used for normalization = 10000000.0
# FDR rate threshold = 0.100000000
# FDR effective poisson threshold = 6.479868e-04
# FDR tag threshold = 16.0
# number of putative peaks = 37486
#
# size of region used for local filtering = 10000
# Fold over local region required = 4.00
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 8892
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 2
#
# cmd = /hpcdata/sg/sg_data/users/narayananm/tools/homer/bin/findPeaks /hpcdata/sg/sg_data/illumina_hiseq_processed/170407_D00638_0265_AC82GUACXX/piperun_full/anals_output/Data/homerpre/Project_ATACseq/Sample_H12 -size 1000 -minDist 2500 -fdr 0.10 -o /hpcdata/sg/sg_data/illumina_hiseq_processed/170407_D00638_0265_AC82GUACXX/piperun_full/anals_output/Data/homer/Project_ATACseq/Sample_H12/H12.peaks1kb.txt
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	Not used	findPeaks Score	Fold Change vs Local	p-value vs Local	Clonal Fold Change
chr9-2	chr9	40991686	40992686	+	842.4	0.000	545.000000	71.90	0.00e+00	1.24
chr11-1	chr11	59615548	59616548	+	831.9	0.000	596.500000	75.01	0.00e+00	1.13
chr2-2	chr2	64750742	64751742	+	821.4	0.000	590.500000	56.13	0.00e+00	1.13
chr3-4	chr3	125915774	125916774	+	821.0	0.000	600.000000	51.28	0.00e+00	1.11
chr9-1	chr9	4792310	4793310	+	812.0	0.000	550.500000	58.14	0.00e+00	1.21
chr2-1	chr2	44168047	44169047	+	807.5	0.000	611.500000	31.60	0.00e+00	1.09
chr4-6	chr4	165327122	165328122	+	806.7	0.000	519.000000	83.77	0.00e+00	1.30
chr1-1	chr1	172532361	172533361	+	804.1	0.000	572.000000	37.38	0.00e+00	1.15
chr2-7	chr2	135530602	135531602	+	801.5	0.000	534.000000	42.53	0.00e+00	1.23
chr2-6	chr2	175167828	175168828	+	801.5	0.000	544.000000	72.82	0.00e+00	1.24
chr2-3	chr2	152717447	152718447	+	800.4	0.000	586.500000	21.69	0.00e+00	1.12
chr6-1	chr6	110815093	110816093	+	794.4	0.000	597.000000	38.73	0.00e+00	1.10
chr7-6	chr7	138459700	138460700	+	794.0	0.000	544.500000	48.09	0.00e+00	1.22
chr18-1	chr18	51197339	51198339	+	792.1	0.000	571.500000	33.22	0.00e+00	1.17
chr4-2	chr4	82900280	82901280	+	791.0	0.000	538.500000	72.97	0.00e+00	1.22
chr3-8	chr3	33440223	33441223	+	782.7	0.000	534.000000	46.24	0.00e+00	1.22
chr8-1	chr8	25458245	25459245	+	780.1	0.000	526.500000	55.36	0.00e+00	1.25
chr3-13	chr3	38164787	38165787	+	776.4	0.000	491.500000	89.10	0.00e+00	1.33
chr7-8	chr7	120950355	120951355	+	776.0	0.000	517.000000	98.48	0.00e+00	1.25
chr7-7	chr7	30284140	30285140	+	775.2	0.000	529.500000	60.96	0.00e+00	1.22
chr12-3	chr12	67268656	67269656	+	772.2	0.000	524.500000	40.98	0.00e+00	1.25
chr1-2	chr1	110338477	110339477	+	771.5	0.000	563.000000	35.18	0.00e+00	1.17
chr11-2	chr11	95789507	95790507	+	766.6	0.000	588.500000	27.57	0.00e+00	1.10
chr11-3	chr11	106077012	106078012	+	765.1	0.000	547.000000	48.17	0.00e+00	1.17
chr14-1	chr14	20461088	20462088	+	764.0	0.000	506.000000	88.52	0.00e+00	1.29
chr21-2	chr21	14382760	14383760	+	764.0	0.000	508.000000	82.91	0.00e+00	1.27
chr10-2	chr10	99620235	99621235	+	762.1	0.000	547.000000	53.29	0.00e+00	1.17
chr13-2	chr13	97432816	97433816	+	759.8	0.000	533.500000	28.43	0.00e+00	1.21
chr5-2	chr5	43120812	43121812	+	752.0	0.000	545.500000	69.37	0.00e+00	1.16
chr14-5	chr14	44961568	44962568	+	748.6	0.000	488.000000	41.85	0.00e+00	1.30
chr11-4	chr11	6234393	6235393	+	747.8	0.000	515.000000	104.28	0.00e+00	1.23
chr11-5	chr11	95230922	95231922	+	746.7	0.000	497.500000	29.80	0.00e+00	1.27
chr12-2	chr12	92145517	92146517	+	743.0	0.000	541.000000	20.09	0.00e+00	1.17
chr7-10	chr7	112205985	112206985	+	741.5	0.000	502.000000	41.65	0.00e+00	1.27
chr5-3	chr5	109409634	109410634	+	731.3	0.000	542.000000	25.20	0.00e+00	1.15
chr11-6	chr11	83156379	83157379	+	727.2	0.000	483.000000	34.61	0.00e+00	1.29
chr9-5	chr9	71910851	71911851	+	720.4	0.000	504.000000	73.53	0.00e+00	1.23
chr8-5	chr8	73971776	73972776	+	717.4	0.000	481.500000	27.94	0.00e+00	1.30
chr4-3	chr4	56435370	56436370	+	716.7	0.000	523.500000	29.14	0.00e+00	1.18
chr8-2	chr8	109333755	109334755	+	716.7	0.000	488.500000	79.58	0.00e+00	1.26
chr7-9	chr7	12686411	12687411	+	716.3	0.000	512.500000	24.65	0.00e+00	1.24
chr16-1	chr16	53502959	53503959	+	714.8	0.000	472.500000	53.58	0.00e+00	1.31
chr21-1	chr21	33641603	33642603	+	714.4	0.000	537.000000	88.79	0.00e+00	1.15
chr1-12	chr1	185156589	185157589	+	711.8	0.000	492.500000	36.64	0.00e+00	1.25
chr7-4	chr7	39949191	39950191	+	710.3	0.000	549.500000	18.16	0.00e+00	1.13
chr2-8	chr2	197453020	197454020	+	709.9	0.000	506.000000	68.66	0.00e+00	1.23
chr1-6	chr1	85276141	85277141	+	709.6	0.000	504.500000	45.14	0.00e+00	1.22
chr3-10	chr3	112561560	112562560	+	708.1	0.000	526.500000	44.23	0.00e+00	1.17
chr14-4	chr14	59188091	59189091	+	706.6	0.000	489.500000	25.64	0.00e+00	1.26
chr1-5	chr1	174999242	175000242	+	706.2	0.000	512.500000	37.72	0.00e+00	1.20
chr12-1	chr12	89708932	89709932	+	703.9	0.000	556.500000	18.00	0.00e+00	1.11
chr3-9	chr3	130111302	130112302	+	700.9	0.000	531.000000	46.44	0.00e+00	1.15
chr10-5	chr10	16817095	16818095	+	700.6	0.000	467.500000	113.53	0.00e+00	1.31
chr1-7	chr1	184754523	184755523	+	699.8	0.000	502.000000	39.59	0.00e+00	1.21
chrUn_KI270438v1-1	chrUn_KI270438v1	109055	110055	+	696.4	0.000	416.500000	7.47	0.00e+00	1.46
chr7-13	chr7	77798061	77799061	+	694.6	0.000	477.000000	39.01	0.00e+00	1.27
chr14-3	chr14	52552218	52553218	+	691.9	0.000	492.500000	33.06	0.00e+00	1.24
chr14-8	chr14	74084170	74085170	+	690.8	0.000	478.000000	167.36	0.00e+00	1.27
chr1-9	chr1	58783688	58784688	+	689.7	0.000	498.000000	9.70	0.00e+00	1.21
chr1-19	chr1	171780916	171781916	+	688.2	0.000	458.500000	93.78	0.00e+00	1.31
chr1-8	chr1	244652469	244653469	+	684.8	0.000	500.000000	82.12	0.00e+00	1.20
chr7-3	chr7	105012420	105013420	+	681.8	0.000	550.000000	11.94	0.00e+00	1.10
chr14-10	chr14	39174590	39175590	+	681.8	0.000	449.000000	27.39	0.00e+00	1.34
chr1-11	chr1	179954146	179955146	+	681.0	0.000	494.000000	54.09	0.00e+00	1.21
chr3-17	chr3	150762855	150763855	+	679.9	0.000	480.500000	23.33	0.00e+00	1.26
chr14-2	chr14	63641597	63642597	+	676.2	0.000	496.000000	67.02	0.00e+00	1.22
chr5-7	chr5	138542853	138543853	+	675.0	0.000	478.500000	69.19	0.00e+00	1.25
chr1-4	chr1	212284790	212285790	+	674.3	0.000	523.000000	23.82	0.00e+00	1.14
chr1-18	chr1	221741708	221742708	+	673.9	0.000	459.000000	20.28	0.00e+00	1.31
chr10-7	chr10	62816263	62817263	+	672.8	0.000	443.500000	24.41	0.00e+00	1.36
chr7-17	chr7	92528096	92529096	+	672.4	0.000	466.000000	75.01	0.00e+00	1.30
chr7-16	chr7	149028196	149029196	+	672.0	0.000	467.500000	95.38	0.00e+00	1.27
chr14-7	chr14	58297759	58298759	+	671.3	0.000	480.500000	38.15	0.00e+00	1.23
chr19-2	chr19	5903977	5904977	+	670.2	0.000	470.500000	57.41	0.00e+00	1.29
chr1-26	chr1	121184240	121185240	+	666.8	0.000	426.500000	253.86	0.00e+00	1.39
chr5-6	chr5	140401046	140402046	+	664.9	0.000	491.500000	32.15	0.00e+00	1.24
chr1-10	chr1	65419824	65420824	+	663.8	0.000	494.500000	67.75	0.00e+00	1.19
chr6-2	chr6	151390011	151391011	+	660.4	0.000	511.500000	18.86	0.00e+00	1.15
chr4-12	chr4	107719838	107720838	+	660.0	0.000	469.000000	46.29	0.00e+00	1.25
chr12-6	chr12	6851824	6852824	+	660.0	0.000	494.500000	26.47	0.00e+00	1.20
chr12-4	chr12	103929615	103930615	+	660.0	0.000	508.000000	31.92	0.00e+00	1.17
chr3-14	chr3	113696149	113697149	+	659.7	0.000	489.000000	36.54	0.00e+00	1.22
chr3-7	chr3	9396620	9397620	+	659.3	0.000	534.500000	19.55	0.00e+00	1.11
chr6-3	chr6	166627057	166628057	+	656.7	0.000	492.000000	34.54	0.00e+00	1.20
chr3-28	chr3	186570076	186571076	+	656.3	0.000	437.000000	30.27	0.00e+00	1.34
chr9-6	chr9	27573189	27574189	+	656.3	0.000	499.000000	36.19	0.00e+00	1.19
chr5-12	chr5	119070551	119071551	+	655.9	0.000	466.500000	82.37	0.00e+00	1.25
chr12-8	chr12	95217137	95218137	+	655.9	0.000	468.000000	37.73	0.00e+00	1.25
chr13-3	chr13	31161784	31162784	+	655.2	0.000	499.000000	37.15	0.00e+00	1.18
chr1-15	chr1	193121562	193122562	+	654.8	0.000	486.000000	48.62	0.00e+00	1.21
chr12-7	chr12	88141668	88142668	+	652.5	0.000	471.000000	76.72	0.00e+00	1.24
chr2-10	chr2	189783851	189784851	+	652.1	0.000	498.000000	48.28	0.00e+00	1.17
chr7-18	chr7	36152570	36153570	+	651.0	0.000	464.000000	60.76	0.00e+00	1.26
chr7-20	chr7	100585880	100586880	+	651.0	0.000	445.500000	37.81	0.00e+00	1.31
chr5-4	chr5	43312995	43313995	+	650.6	0.000	531.000000	57.38	0.00e+00	1.13
chr1-13	chr1	62436031	62437031	+	649.5	0.000	491.500000	51.42	0.00e+00	1.19
chr1-3	chr1	244047693	244048693	+	649.1	0.000	524.000000	27.36	0.00e+00	1.12
chr7-19	chr7	7640170	7641170	+	648.0	0.000	463.000000	54.16	0.00e+00	1.25
chr4-14	chr4	173333961	173334961	+	644.3	0.000	453.000000	30.66	0.00e+00	1.30
chr7-12	chr7	108569278	108570278	+	644.3	0.000	478.000000	54.22	0.00e+00	1.21
chr3-15	chr3	133573017	133574017	+	643.9	0.000	488.500000	29.93	0.00e+00	1.19
chr8-3	chr8	42152454	42153454	+	643.5	0.000	483.500000	28.64	0.00e+00	1.20
chr4-4	chr4	101347276	101348276	+	641.6	0.000	522.500000	15.09	0.00e+00	1.11
chr5-9	chr5	108748431	108749431	+	641.3	0.000	475.000000	36.97	0.00e+00	1.21
chr9-3	chr9	3525633	3526633	+	641.3	0.000	544.000000	11.11	0.00e+00	1.06
chr4-9	chr4	158671531	158672531	+	640.5	0.000	496.500000	38.80	0.00e+00	1.16
chr3-11	chr3	75434934	75435934	+	638.6	0.000	513.000000	33.81	0.00e+00	1.12
chr8-4	chr8	109539324	109540324	+	638.6	0.000	482.000000	34.19	0.00e+00	1.21
chr5-5	chr5	128082872	128083872	+	637.5	0.000	522.000000	21.51	0.00e+00	1.10
chr12-5	chr12	71663530	71664530	+	637.5	0.000	499.500000	27.60	0.00e+00	1.18
chr2-12	chr2	63588181	63589181	+	636.4	0.000	477.500000	82.06	0.00e+00	1.20
chr3-33	chr3	150546109	150547109	+	635.3	0.000	429.000000	52.54	0.00e+00	1.34
chr4-11	chr4	128287494	128288494	+	634.9	0.000	489.500000	28.57	0.00e+00	1.18
chr4-13	chr4	148442058	148443058	+	632.3	0.000	453.000000	11.18	0.00e+00	1.28
chr1-14	chr1	207320960	207321960	+	631.1	0.000	487.000000	64.69	0.00e+00	1.17
chr4-5	chr4	139453185	139454185	+	630.0	0.000	522.500000	36.24	0.00e+00	1.09
chr10-3	chr10	25015982	25016982	+	629.3	0.000	475.000000	62.89	0.00e+00	1.20
chr2-15	chr2	54723076	54724076	+	628.1	0.000	464.500000	51.24	0.00e+00	1.23
chr14-13	chr14	91060348	91061348	+	626.3	0.000	444.500000	52.52	0.00e+00	1.27
chr3-21	chr3	121749304	121750304	+	624.8	0.000	452.500000	85.63	0.00e+00	1.25
chr4-23	chr4	122732114	122733114	+	623.3	0.000	423.500000	121.54	0.00e+00	1.34
chr6-8	chr6	116570844	116571844	+	620.3	0.000	442.500000	85.01	0.00e+00	1.27
chr1-16	chr1	167935837	167936837	+	619.1	0.000	485.000000	27.25	0.00e+00	1.16
chr4-8	chr4	48340892	48341892	+	619.1	0.000	499.500000	40.03	0.00e+00	1.13
chr20-1	chr20	18507147	18508147	+	619.1	0.000	466.500000	118.80	0.00e+00	1.21
chr7-15	chr7	75738752	75739752	+	618.8	0.000	471.000000	53.19	0.00e+00	1.22
chr10-4	chr10	130110614	130111614	+	616.9	0.000	468.500000	27.25	0.00e+00	1.21
chr5-16	chr5	160119046	160120046	+	616.1	0.000	443.000000	39.41	0.00e+00	1.29
chr14-9	chr14	51846707	51847707	+	615.4	0.000	475.000000	68.65	0.00e+00	1.19
chr12-14	chr12	50111508	50112508	+	614.3	0.000	429.000000	100.22	0.00e+00	1.32
chr2-11	chr2	88627180	88628180	+	613.9	0.000	491.500000	47.19	0.00e+00	1.15
chr7-11	chr7	7181865	7182865	+	613.5	0.000	496.500000	37.07	0.00e+00	1.14
chr2-14	chr2	74457659	74458659	+	611.6	0.000	471.500000	21.54	0.00e+00	1.20
chr2-24	chr2	62705074	62706074	+	609.0	0.000	436.000000	60.61	0.00e+00	1.28
chr4-7	chr4	113761805	113762805	+	609.0	0.000	512.500000	15.95	0.00e+00	1.10
chr19-1	chr19	42268253	42269253	+	609.0	0.000	487.500000	52.17	0.00e+00	1.15
chr5-22	chr5	75336533	75337533	+	605.6	0.000	427.000000	66.33	0.00e+00	1.33
chr13-4	chr13	33542245	33543245	+	605.2	0.000	481.000000	81.56	0.00e+00	1.15
chr14-6	chr14	24114302	24115302	+	604.1	0.000	483.000000	52.50	0.00e+00	1.15
chr15-1	chr15	31326136	31327136	+	604.1	0.000	461.500000	13.34	0.00e+00	1.20
chr11-10	chr11	43680179	43681179	+	603.4	0.000	445.500000	88.79	0.00e+00	1.27
chr8-8	chr8	85220018	85221018	+	603.0	0.000	446.500000	67.90	0.00e+00	1.24
chr13-14	chr13	72727248	72728248	+	602.2	0.000	415.000000	63.08	0.00e+00	1.33
chr19-4	chr19	54136874	54137874	+	601.1	0.000	465.000000	121.16	0.00e+00	1.19
chr17-3	chr17	59154905	59155905	+	600.7	0.000	425.500000	184.73	0.00e+00	1.31
chr5-8	chr5	138464625	138465625	+	600.0	0.000	476.000000	16.99	0.00e+00	1.16
chr2-13	chr2	61538027	61539027	+	599.6	0.000	476.500000	20.03	0.00e+00	1.16
chr3-20	chr3	129439677	129440677	+	598.1	0.000	453.500000	55.18	0.00e+00	1.23
chr3-23	chr3	136861586	136862586	+	597.4	0.000	449.000000	36.18	0.00e+00	1.23
chr4-10	chr4	183504068	183505068	+	597.4	0.000	496.500000	14.70	0.00e+00	1.11
chr7-22	chr7	93231728	93232728	+	596.2	0.000	438.500000	61.38	0.00e+00	1.26
chr2-22	chr2	71226759	71227759	+	595.1	0.000	438.500000	132.17	0.00e+00	1.25
chr7-14	chr7	112450073	112451073	+	594.4	0.000	473.000000	20.84	0.00e+00	1.17
chr2-16	chr2	36966208	36967208	+	593.6	0.000	459.000000	84.25	0.00e+00	1.19
chr12-19	chr12	55973378	55974378	+	592.9	0.000	418.000000	111.09	0.00e+00	1.31
chr18-2	chr18	74147668	74148668	+	592.5	0.000	469.000000	58.00	0.00e+00	1.17
chr12-9	chr12	53500523	53501523	+	589.1	0.000	453.000000	42.31	0.00e+00	1.21
chr2-17	chr2	24076157	24077157	+	587.6	0.000	458.500000	76.60	0.00e+00	1.19
chr11-20	chr11	125592133	125593133	+	587.6	0.000	386.000000	95.88	0.00e+00	1.41
chr16-3	chr16	77190464	77191464	+	587.6	0.000	447.000000	72.28	0.00e+00	1.23
chr3-16	chr3	143971330	143972330	+	587.2	0.000	487.500000	12.11	0.00e+00	1.11
chr11-13	chr11	3797209	3798209	+	586.1	0.000	430.000000	92.49	0.00e+00	1.27
chr11-9	chr11	83285681	83286681	+	586.1	0.000	446.000000	96.29	0.00e+00	1.23
chr13-5	chr13	51803316	51804316	+	585.7	0.000	472.500000	20.91	0.00e+00	1.17
chr11-7	chr11	130002371	130003371	+	585.4	0.000	464.500000	28.14	0.00e+00	1.17
chr3-12	chr3	31532099	31533099	+	580.5	0.000	495.500000	17.38	0.00e+00	1.10
chr11-8	chr11	108222341	108223341	+	580.1	0.000	456.000000	16.89	0.00e+00	1.19
chr16-2	chr16	30657919	30658919	+	579.7	0.000	469.500000	36.69	0.00e+00	1.16
chr8-9	chr8	100721898	100722898	+	579.0	0.000	443.500000	26.10	0.00e+00	1.21
chr6-4	chr6	116279225	116280225	+	578.6	0.000	462.500000	34.35	0.00e+00	1.18
chr1-27	chr1	186374862	186375862	+	577.9	0.000	426.500000	41.50	0.00e+00	1.26
chr7-37	chr7	134646300	134647300	+	576.7	0.000	401.500000	51.42	0.00e+00	1.34
chr11-11	chr11	9460445	9461445	+	576.4	0.000	440.500000	71.63	0.00e+00	1.24
chr3-30	chr3	66997798	66998798	+	574.5	0.000	430.000000	72.90	0.00e+00	1.26
chr2-9	chr2	178450390	178451390	+	573.7	0.000	503.500000	30.79	0.00e+00	1.06
chr14-11	chr14	39432008	39433008	+	573.4	0.000	447.000000	22.58	0.00e+00	1.20
chr7-29	chr7	23013631	23014631	+	572.6	0.000	412.500000	49.76	0.00e+00	1.32
chr3-26	chr3	111674076	111675076	+	572.2	0.000	441.500000	46.53	0.00e+00	1.21
chr5-21	chr5	115625617	115626617	+	571.9	0.000	430.000000	47.46	0.00e+00	1.26
chr17-2	chr17	58517630	58518630	+	571.9	0.000	438.500000	40.46	0.00e+00	1.25
chr18-12	chr18	74291559	74292559	+	569.2	0.000	400.500000	59.10	0.00e+00	1.36
chr18-3	chr18	79678930	79679930	+	569.2	0.000	461.500000	51.33	0.00e+00	1.17
chr3-25	chr3	105868642	105869642	+	568.8	0.000	443.500000	27.73	0.00e+00	1.21
chr5-14	chr5	32312540	32313540	+	568.8	0.000	461.000000	59.58	0.00e+00	1.17
chr5-13	chr5	96934744	96935744	+	568.5	0.000	461.500000	11.36	0.00e+00	1.17
chr21-3	chr21	37267008	37268008	+	568.1	0.000	458.500000	65.51	0.00e+00	1.16
chr3-39	chr3	190513366	190514366	+	567.7	0.000	418.000000	29.54	0.00e+00	1.28
chr10-16	chr10	95693510	95694510	+	567.7	0.000	389.500000	96.57	0.00e+00	1.39
chr17-1	chr17	47895595	47896595	+	567.7	0.000	440.500000	102.38	0.00e+00	1.23
chr13-10	chr13	21603578	21604578	+	567.3	0.000	426.500000	101.55	0.00e+00	1.27
chr14-24	chr14	21269192	21270192	+	567.3	0.000	389.000000	44.47	0.00e+00	1.37
chr8-31	chr8	91069736	91070736	+	565.5	0.000	371.500000	68.85	0.00e+00	1.44
chr4-22	chr4	127964901	127965901	+	564.0	0.000	426.000000	37.47	0.00e+00	1.26
chrX-1	chrX	318140	319140	+	564.0	0.000	471.000000	17.61	0.00e+00	1.14
chr4-15	chr4	81471513	81472513	+	563.2	0.000	452.000000	26.96	0.00e+00	1.17
chr13-17	chr13	45340730	45341730	+	562.8	0.000	400.000000	30.54	0.00e+00	1.36
chr19-5	chr19	38849841	38850841	+	562.8	0.000	429.500000	33.75	0.00e+00	1.23
chr9-13	chr9	2014716	2015716	+	561.0	0.000	404.000000	10.77	0.00e+00	1.33
chr2-29	chr2	55049993	55050993	+	560.6	0.000	420.000000	18.07	0.00e+00	1.27
chr1-21	chr1	84689988	84690988	+	560.2	0.000	444.500000	33.26	0.00e+00	1.19
chr2-33	chr2	197499641	197500641	+	559.8	0.000	414.500000	29.77	0.00e+00	1.27
chr3-22	chr3	81760885	81761885	+	559.8	0.000	450.500000	66.15	0.00e+00	1.17
chr14-18	chr14	64503332	64504332	+	559.1	0.000	419.500000	13.28	0.00e+00	1.26
chr1-17	chr1	173867833	173868833	+	558.3	0.000	464.500000	23.96	0.00e+00	1.14
chr3-49	chr3	120741985	120742985	+	557.2	0.000	390.500000	91.54	0.00e+00	1.36
chr18-4	chr18	62186680	62187680	+	557.2	0.000	449.500000	47.39	0.00e+00	1.17
chr3-19	chr3	160565038	160566038	+	556.5	0.000	456.000000	52.55	0.00e+00	1.16
chr7-21	chr7	16645548	16646548	+	555.0	0.000	442.000000	23.11	0.00e+00	1.19
chr5-33	chr5	146182261	146183261	+	554.6	0.000	399.500000	134.36	0.00e+00	1.31
chr6-5	chr6	136792215	136793215	+	554.6	0.000	458.000000	16.32	0.00e+00	1.14
chr3-35	chr3	100400893	100401893	+	553.8	0.000	428.000000	32.09	0.00e+00	1.23
chr2-21	chr2	239400826	239401826	+	553.5	0.000	439.000000	49.53	0.00e+00	1.24
chr1-63	chr1	206202723	206203723	+	553.1	0.000	349.500000	241.20	0.00e+00	1.51
chr5-30	chr5	103119706	103120706	+	552.7	0.000	408.500000	62.53	0.00e+00	1.28
chr8-6	chr8	70401854	70402854	+	552.7	0.000	473.500000	22.98	0.00e+00	1.11
chr13-11	chr13	76991505	76992505	+	552.7	0.000	425.000000	38.65	0.00e+00	1.23
chrUn_KI270438v1-2	chrUn_KI270438v1	103866	104866	+	552.7	0.000	374.000000	13.19	0.00e+00	1.41
chr4-20	chr4	119212138	119213138	+	552.3	0.000	444.500000	39.43	0.00e+00	1.18
chr21-4	chr21	25734689	25735689	+	552.3	0.000	430.000000	36.10	0.00e+00	1.22
chr1-20	chr1	182029353	182030353	+	552.0	0.000	445.500000	123.73	0.00e+00	1.18
chr1-24	chr1	244451496	244452496	+	551.6	0.000	436.000000	32.91	0.00e+00	1.20
chr7-24	chr7	142808459	142809459	+	551.6	0.000	433.000000	18.77	0.00e+00	1.21
chr5-24	chr5	91380143	91381143	+	551.2	0.000	417.000000	7.97	0.00e+00	1.26
chr2-39	chr2	170928641	170929641	+	550.5	0.000	397.500000	39.06	0.00e+00	1.31
chr7-26	chr7	12210686	12211686	+	550.1	0.000	421.500000	45.18	0.00e+00	1.26
chr14-23	chr14	23320722	23321722	+	550.1	0.000	392.500000	97.73	0.00e+00	1.33
chrX-3	chrX	47217586	47218586	+	550.1	0.000	422.000000	41.89	0.00e+00	1.24
chr3-27	chr3	121834678	121835678	+	549.0	0.000	438.500000	65.84	0.00e+00	1.19
chr13-6	chr13	49792468	49793468	+	549.0	0.000	446.500000	33.94	0.00e+00	1.17
chr9-7	chr9	37465088	37466088	+	548.6	0.000	438.500000	49.28	0.00e+00	1.20
chr3-42	chr3	15601304	15602304	+	548.2	0.000	406.500000	114.34	0.00e+00	1.29
chr5-11	chr5	68215141	68216141	+	548.2	0.000	469.500000	21.17	0.00e+00	1.12
chr9-8	chr9	6412663	6413663	+	546.7	0.000	422.500000	38.12	0.00e+00	1.24
chr3-45	chr3	155854046	155855046	+	546.0	0.000	400.000000	61.19	0.00e+00	1.30
chr2-19	chr2	130342128	130343128	+	545.6	0.000	441.000000	40.64	0.00e+00	1.20
chr5-25	chr5	90409299	90410299	+	544.8	0.000	413.500000	59.67	0.00e+00	1.26
chr7-27	chr7	112939456	112940456	+	543.7	0.000	416.500000	54.56	0.00e+00	1.24
chr3-18	chr3	38024407	38025407	+	543.0	0.000	469.500000	23.51	0.00e+00	1.11
chr2-18	chr2	47906192	47907192	+	541.8	0.000	450.000000	18.78	0.00e+00	1.14
chr4-21	chr4	152535979	152536979	+	541.8	0.000	430.500000	23.08	0.00e+00	1.21
chr4-19	chr4	9152453	9153453	+	541.5	0.000	444.500000	34.09	0.00e+00	1.16
chr5-15	chr5	137754088	137755088	+	541.5	0.000	443.000000	35.58	0.00e+00	1.18
