FIELD	COUNT	DESC
ReadPairs_UniqueGene_UTR	3126	Number of reads or read-pairs that map to a genomic area covered by exactly one gene, but that only cover the UTR (non-coding) regions.
ReadPairs_NoGene	115667	Number of reads or read-pairs that are not assigned to any gene.
ReadPairs_NoGene_Intron	1576	Number of reads or read-pairs that are not assigned to any gene, and that occur within an intronic region of one or more genes.
ReadPairs_NoGene_OneKbFromGene	111892	Number of reads or read-pairs that are not assigned to any gene, and that are within 1kb from one or more genes.
ReadPairs_NoGene_TenKbFromGene	2199	Number of reads or read-pairs that are not assigned to any gene, and that are within 10kb from one or more genes.
ReadPairs_NoGene_MiddleOfNowhere	0	Number of reads or read-pairs that are not assigned to any gene, and that are more than 10kb from the nearest gene
Genes_Total	6692	Number of known genes
Genes_WithZeroCounts	580	Number of genes with zero observed reads
Genes_WithNonzeroCounts	6112	Number of genes with 1 or more observed reads
AVG_GC	0.42268209032368104	Average GC fraction across all reads
AggregateGenes	5993	Number of aggregate genes
AggregateGenes_NoReads	212	Number of aggregate genes with 0 observed reads
AggregateGenes_WithReads	5781	Number of aggregate genes with 1 or more observed reads
SpliceLoci	651	Number of splice loci observed
SpliceLoci_Known	342	Number of known splice loci
SpliceLoci_Known_NoReads	114	Number of known splice loci with 0 observed reads
SpliceLoci_Known_FewReads	45	Number of known splice loci with 1-3 observed reads
SpliceLoci_Known_ManyReads	183	Number of known splice loci with 4+ observed reads
SpliceLoci_Novel	309	Number of novel splice loci observed
SpliceLoci_Novel_FewReads	290	Number of novel splice loci observed with 1-3 observed reads
SpliceLoci_Novel_ManyReads	19	Number of novel splice loci observed with 4+ observed reads
SpliceEvents	14015	Number of observed splicing events (each read or read-pair that maps across a splice junction is a splice 'event')
SpliceEvents_KnownLoci	12760	Number of splice events covering known SJ loci
SpliceEvents_KnownLociWithFewReads	80	Number of splice events covering low-coverage known SJ loci
SpliceEvents_KnownLociWithManyReads	12680	Number of splice events covering high-coverage known SJ loci
SpliceEvents_NovelLoci	1255	Number of splice events covering noverl SJ loci
SpliceEvents_NovelLociWithFewReads	309	Number of splice events covering low-coverage novel SJ loci
SpliceEvents_NovelLociWithManyReads	946	Number of splice events covering high-coverage novel SJ loci
StrandTest_frFirstStrand	715281	Number of reads or read-pairs that match the fr_FirstStrand strandedness rule
StrandTest_frSecondStrand	774695	Number of reads or read-pairs that match the fr_secondstrand strandedness rule
StrandTest_ambig_genesFountOnBothStrands	82181	Number of reads or read-pairs where the strandedness is ambiguous due to there being genes on both strands
StrandTest_ambig_noGenes	115667	Number of reads or read-pairs where the strandedness is ambiguous due to there being no known genes.
StrandTest_ambig_other	0	Numebr of reads or read-pairs where the strandedness is ambiguous due to other reasons
StrandTest_STRANDEDNESS_MATCHES_INFERRED	1	1 if the strandedness appears to match the strandedness mode, 0 otherwise.
NumberOfChromosomesCovered	17	Number of chromosomes with 1 or more aligned reads.
deletionLoci	1907	Number of observed deletion loci
insertionLoci	1077	Number of observed insertion loci
deletionEventCt	2021	Number of times deletions are observed in a read
insertionEventCt	1394	Number of times insertions are observed in a read
highCoverageDeletionLoci	4	Number of high-coverage deletion loci.
highCoverageInsertionLoci	14	Number of high-coverage insertion loci
NumReadsAtMaxReadLength_R1	1687824	Number of read-1 reads at the max length.
NumReadsAtMaxReadLength_R2	0	Number of read-2 reads at the max length.
NumReadsTruncated_R1	0	Number of read-1 reads that are not at the max length.
NumReadsTruncated_R2	0	Number of read-2 reads that are not at the max length.
NumReadsTruncated_25pct_R1	0	Number of read-1 reads that are truncated to less than 25% of the max length
NumReadsTruncated_25pct_R2	0	Number of read-2 reads that are truncated to less than 25% of the max length
NumReadsTruncated_50pct_R1	0	Number of read-1 reads that are truncated to less than 50% of the max length
NumReadsTruncated_50pct_R2	0	Number of read-2 reads that are truncated to less than 50% of the max length
NumReadsTruncated_75pct_R1	0	Number of read-1 reads that are truncated to less than 75% of the max length
NumReadsTruncated_75pct_R2	0	Number of read-2 reads that are truncated to less than 75% of the max length
READ_LENGTH	51	The read length.
COMPLETED_WITHOUT_WARNING	1	0 if complete without throwing any warnings. 1 if warnings were thrown.
QoRTs_initTimeStamp	1586037084312	Time stamp for when QoRTs QC began.
QoRTs_samDoneTimeStamp	1586037162904	Time stamp for when QoRTs QC finished SAM iteration.
QoRTs_majorVer	1	QoRTs major version number
QoRTs_minorVer	3	QoRTs minor version number
QoRTs_patchVer	6	QoRTs patch version number
QoRTs_compileTimeStamp	1537888906	The timestamp for when the version of QoRTs was built.
COMPLETED_WITHOUT_ERROR	1	1 if QoRTs completed without errors. If QoRTs encountered an error, this file should not exist.
