## htsjdk.samtools.metrics.StringHeader
# picard.analysis.CollectGcBiasMetrics CHART_OUTPUT=SRR4238351_subsamp.sorted.gc_bias_metrics.pdf SUMMARY_OUTPUT=SRR4238351_subsamp.sorted.summary_metrics.txt INPUT=SRR4238351_subsamp.sorted.bam OUTPUT=SRR4238351_subsamp.sorted.gc_bias_metrics.txt REFERENCE_SEQUENCE=genome.fa    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Apr 05 11:14:59 UTC 2017

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	26	111609	501	32	0.569462	0.025442			
All Reads	27	148682	582	31	0.496582	0.020584			
All Reads	28	190536	795	32	0.529318	0.018773			
All Reads	29	243757	937	31	0.487651	0.015931			
All Reads	30	307251	1202	32	0.496292	0.014315			
All Reads	31	381273	1469	32	0.488778	0.012753			
All Reads	32	459403	2347	32	0.648105	0.013378			
All Reads	33	537468	2322	33	0.54807	0.011374			
All Reads	34	611917	2749	32	0.569913	0.01087			
All Reads	35	681845	3274	32	0.609143	0.010646			
All Reads	36	740343	3599	32	0.616702	0.01028			
All Reads	37	774224	4000	32	0.65542	0.010363			
All Reads	38	785836	4534	33	0.731941	0.01087			
All Reads	39	775851	4903	32	0.801696	0.011449			
All Reads	40	741906	5439	33	0.930029	0.012611			
All Reads	41	694731	5952	33	1.086857	0.014088			
All Reads	42	637478	6482	33	1.289942	0.016022			
All Reads	43	566764	6322	33	1.415072	0.017797			
All Reads	44	488039	6194	33	1.610063	0.020458			
All Reads	45	409623	5928	33	1.835905	0.023845			
All Reads	46	339335	4984	32	1.863269	0.026393			
All Reads	47	275532	4119	33	1.89647	0.029549			
All Reads	48	221241	3312	33	1.899114	0.032999			
All Reads	49	174727	2518	33	1.828193	0.036433			
All Reads	50	133922	1782	32	1.688037	0.039988			
All Reads	51	101846	1216	32	1.514662	0.043436			
All Reads	52	75504	1079	31	1.812916	0.055191			
All Reads	53	54607	768	31	1.784182	0.064381			
All Reads	54	39253	1213	33	3.920254	0.11256			
All Reads	55	29051	526	32	2.296947	0.100152			
All Reads	56	20674	493	32	3.025162	0.136246			
All Reads	57	14750	478	32	4.111139	0.188039			
All Reads	58	10569	464	32	5.569425	0.258554			
All Reads	59	7399	355	33	6.086696	0.323048			
All Reads	60	5352	126	35	2.986625	0.26607			
All Reads	61	3921	655	33	21.19194	0.828038			
All Reads	62	3240	130	35	5.09008	0.44643			
All Reads	63	2172	133	38	7.768158	0.673585			
All Reads	64	1389	1	0	0.091332	0.091332			
All Reads	65	1080	2	0	0.234927	0.166118			
All Reads	66	731	2	0	0.347087	0.245428			
All Reads	67	426	0	0	0	0			
All Reads	68	252	1	0	0.503414	0.503414			
All Reads	69	161	0	0	0	0			
All Reads	70	111	0	0	0	0			
All Reads	71	80	0	0	0	0			
All Reads	72	30	0	0	0	0			
All Reads	73	22	0	0	0	0			
All Reads	74	10	0	0	0	0			
All Reads	75	5	0	0	0	0			
All Reads	76	2	0	0	0	0			
All Reads	77	0	0	0	0	0			
All Reads	78	0	0	0	0	0			
All Reads	79	0	0	0	0	0			
All Reads	80	0	0	0	0	0			
All Reads	81	0	0	0	0	0			
All Reads	82	0	0	0	0	0			
All Reads	83	0	0	0	0	0			
All Reads	84	0	0	0	0	0			
All Reads	85	0	0	0	0	0			
All Reads	86	0	0	0	0	0			
All Reads	87	0	0	0	0	0			
All Reads	88	0	0	0	0	0			
All Reads	89	0	0	0	0	0			
All Reads	90	0	0	0	0	0			
All Reads	91	0	0	0	0	0			
All Reads	92	0	0	0	0	0			
All Reads	93	0	0	0	0	0			
All Reads	94	0	0	0	0	0			
All Reads	95	0	0	0	0	0			
All Reads	96	0	0	0	0	0			
All Reads	97	0	0	0	0	0			
All Reads	98	0	0	0	0	0			
All Reads	99	0	0	0	0	0			
All Reads	100	0	0	0	0	0			


