n_genes_by_counts	total_counts	pct_counts_mt	cellrank_n_genes_by_counts	cellrank_total_counts	cellrank_pct_counts_mt	cell_index
1769	3066.9949	57.05128205128205	63014	55155	55	55
931	996.49005	57.00789777073838	72656	72737	56	56
1083	560.85016	56.98784073995869	72415	73161	57	57
1634	2700.9062	56.925863991081386	66816	67214	58	58
1083	732.07965	56.90707300977863	72413	73079	59	59
1920	3020.0298	56.75120486687209	58848	57089	60	60
1321	1803.5127	56.3674635393174	71780	71570	61	61
2455	1529.6322	56.34412850868527	45536	72034	62	62
1630	1798.0565	55.8088002532447	66933	71582	63	63
1573	2835.547	55.80494106248991	68456	63782	64	64
559	287.4062	55.80381627524332	73149	73193	65	65
1531	490.6656	55.7473715180155	69427	73171	66	66
1576	1729.8258	55.45075456711675	68373	71702	67	67
1567	579.7094	55.34331921878789	68606	73155	68	68
3478	3758.2986	55.333880999882645	25794	23346	69	69
1784	2917.1042	55.111911987860395	62611	61001	70	70
1349	2352.0454	54.76784044873793	71635	70243	71	71
2320	3131.0247	54.69232165547287	48672	52480	72	72
1667	2718.2817	54.687975646879764	65875	66858	73	73
1867	2870.985	54.66950546791832	60248	62587	74	74
1287	1632.992	54.39585555386256	71928	71879	75	75
1394	1146.8307	54.07395811738358	71370	72573	76	76
2766	2123.0037	53.77419927772187	38815	70867	77	77
1478	2523.8723	53.459933822471584	70429	69312	78	78
1677	2265.6465	53.426176978062614	65578	70513	79	79
1319	2293.983	53.41207349081365	71794	70437	80	80
1842	2779.6152	53.123903123903126	60973	65401	81	81
1461	2159.82	52.972247090420765	70660	70785	82	82
1698	2503.8572	52.793885081707955	64987	69474	83	83
3777	2555.8535	52.54471578770996	21349	69026	84	84
2751	3643.212	52.37770193401593	39107	28719	85	85
1461	2687.6055	52.31126182402285	70663	67434	86	86
618	596.316	52.29896932489555	73080	73146	87	87
1659	2638.826	52.21628838451269	66124	68136	88	88
1584	1807.2462	52.00916094107849	68180	71564	89	89
1620	2690.0996	51.96140461879152	67210	67398	90	90
840	724.9506	51.81822385965994	72802	73083	91	91
1522	2127.2473	51.68222652809582	69619	70856	92	92
1704	2766.0513	51.63322103412919	64820	65770	93	93
1745	2934.8538	51.482311908320874	63674	60320	94	94
1609	2734.3137	51.32499261156537	67510	66534	95	95
1440	1629.6278	51.12575507962658	70921	71884	96	96
1732	2147.5093	51.05908584169454	64039	70808	97	97
1963	2749.359	51.001392310163865	57688	66182	98	98
2326	3420.7437	50.791232969450796	48528	39379	99	99
535	764.8722	50.77160571679371	73177	73048	100	100
2560	3634.1667	50.512367491166074	43264	29179	101	101
1784	2179.9292	50.48321911790546	62599	70752	102	102
2644	1679.7102	50.37586706711603	41399	71793	103	103
1733	2825.4297	50.29492310933221	63992	64104	104	104
1547	2318.1255	49.9784884554711	69115	70361	105	105
4453	4073.559	49.93024877935363	13575	10594	106	106
1471	2654.9426	49.86699769462671	70517	67915	107	107
2193	3319.9326	49.844777209642075	51866	44030	108	108
1708	2626.422	49.78983050847457	64718	68296	109	109
1698	2644.0945	49.628575944365416	64995	68054	110	110
1141	1006.2887	49.52451675252142	72299	72725	111	111
1549	2182.1	49.333333333333336	69055	70742	112	112
3776	1020.84375	49.055677756119465	21371	72702	113	113
1496	2576.0984	48.93844400113993	70111	68844	114	114
2124	1549.1633	48.93499492367613	53521	72005	115	115
1459	2512.1255	48.92360449609449	70697	69417	116	116
2115	1248.3546	48.85964364614554	53733	72441	117	117
1664	2777.4531	48.7263697532842	65964	65476	118	118
2574	3429.8667	48.61849559836137	42949	38911	119	119
1759	2709.0427	48.573324485733245	63294	67051	120	120
1495	2520.4922	48.567410792757954	70150	69345	121	121
1526	2579.8965	48.56230031948881	69552	68816	122	122
1538	1046.3389	48.433284538035174	69302	72680	123	123
1862	2785.268	48.39857651245551	60376	65258	124	124
2363	3158.0386	48.363453815261046	47668	51301	125	125
1825	3115.2043	48.2881962187021	61434	53136	126	126
1648	1744.3828	48.25545379457778	66405	71672	127	127
1771	2918.747	48.19536169559208	62952	60955	128	128
1623	2414.2297	48.14869018000878	67116	69980	129	129
1365	1049.8088	48.13883240212434	71544	72675	130	130
540	849.09064	48.02759596674332	73170	72928	131	131
1913	3109.551	47.831033992319725	59024	53377	132	132
2243	3340.503	47.45909528392686	50584	43075	133	133
1886	2535.0374	47.44420446364291	59725	69222	134	134
2349	3003.392	47.26279007257414	48003	57726	135	135
2198	2932.405	47.24409448818898	51703	60404	136	136
1546	2623.2097	47.24409448818898	69126	68330	137	137
2178	2886.3613	47.031306225260884	52246	62092	138	138
1789	2867.5269	46.88092529389458	62476	62696	139	139
1608	2139.6274	46.82757359663558	67528	70828	140	140
754	848.6709	46.795899599795966	72924	72931	141	141
2400	3189.7214	46.51759922969937	46815	49926	142	142
1417	2276.633	46.454812637766345	71151	70485	143	143
3874	4074.7954	46.43893167950385	20070	10562	144	144
2596	3388.8499	46.35472370766489	42438	40872	145	145
1727	2604.1648	46.26174981923355	64169	68547	146	146
1501	2729.9163	46.12168095337654	70032	66624	147	147
1741	3047.3845	46.063117628307296	63800	55975	148	148
2751	3396.0085	46.061535685283765	39108	40517	149	149
1818	2343.3574	46.01800554016621	61643	70275	150	150
1676	2926.7454	45.7797015605422	65615	60636	151	151
2237	3085.8545	45.70892339191264	50755	54378	152	152
2572	2959.6191	45.63136072370901	43003	59429	153	153
1579	2144.0408	45.523041878394956	68301	70818	154	154
1836	2853.2002	45.4936332065487	61148	63202	155	155
2246	2676.45	45.40851781991462	50494	67593	156	156
2005	3002.9736	45.30215523313142	56620	57748	157	157
1665	2891.2803	45.17965136961935	65936	61921	158	158
1637	2771.2664	45.17945109078114	66719	65621	159	159
1562	2823.091	44.994499449944996	68757	64183	160	160
3546	3615.331	44.9516705190166	24710	30103	161	161
1290	1245.4404	44.75774097717728	71919	72448	162	162
3702	3518.9392	44.61195404527607	22394	34627	163	163
1595	2230.5754	44.60173251637439	67879	70624	164	164
1779	3013.7212	44.57171314741036	62753	57306	165	165
2254	3070.4802	44.488569281957716	50310	55018	166	166
2342	3102.892	44.468130462587936	48180	53669	167	167
2296	3014.5051	44.35910742086144	49225	57283	168	168
2448	3023.3513	44.327798607391536	45707	56962	169	169
3409	3926.7732	44.307891332470895	26879	16014	170	170
1334	2429.846	44.29719747990441	71716	69898	171	171
2194	3343.9834	44.23625254582485	51829	42905	172	172
769	943.6924	44.18082467404547	72906	72799	173	173
3482	4046.8164	44.15912923501457	25697	11523	174	174
1017	1018.544	44.13956496943763	72518	72707	175	175
2129	3225.4648	44.037151702786375	53393	48297	176	176
2250	2808.6	44.02464543129504	50411	64587	177	177
4363	4159.418	43.97440455030217	14462	7970	178	178
1984	2748.983	43.94033561218148	57119	66190	179	179
1222	1085.0869	43.858825379285044	72133	72641	180	180
1724	2330.8733	43.831919814957594	64277	70318	181	181
3084	3326.0315	43.76895598840736	32625	43718	182	182
2556	2658.0933	43.76487633240195	43345	67864	183	183
1547	2824.579	43.75745526838966	69117	64135	184	184
2998	3272.6038	43.74214401149219	34238	46173	185	185
808	720.8379	43.69184964644585	72845	73084	186	186
2473	2574.916	43.68843069873998	45121	68853	187	187
1503	2686.4883	43.68061485909479	69994	67451	188	188
1981	2715.8992	43.652587745389646	57216	66905	189	189
2472	3145.4592	43.59769605671245	45142	51849	190	190
2155	3097.6873	43.5855834975084	52780	53878	191	191
1902	1699.2942	43.532534516697645	59310	71764	192	192
2136	2628.884	43.52337647195989	53221	68254	193	193
1969	3048.7979	43.5027027027027	57512	55916	194	194
1701	2215.45	43.36617405582923	64893	70663	195	195
3287	3865.959	43.21172435297786	28903	18489	196	196
2890	3376.9724	43.17949524333674	36391	41419	197	197
588	826.36346	43.12481526833594	73117	72960	198	198
2738	3359.9502	43.10942289750766	39389	42158	199	199
1559	2474.1465	43.08338103415379	68817	69661	200	200
1673	2910.526	43.0622009569378	65702	61232	201	201
1939	2585.7463	43.049232398094226	58313	68742	202	202
1829	3030.4636	43.0405281496424	61320	56670	203	203
2808	3122.2534	43.02062729584629	37971	52860	204	204
2927	3491.6892	42.95027988146197	35655	35924	205	205
1167	1187.2253	42.938118970717206	72252	72521	206	206
3054	3337.2673	42.90707236842105	33154	43236	207	207
2876	3551.757	42.78706244283695	36668	33072	208	208
1507	1343.0676	42.688654919021005	69933	72319	209	209
1736	2416.998	42.65813788201848	63919	69967	210	210
1495	2760.6873	42.640555906506634	70146	65911	211	211
2272	3470.3083	42.6181391253302	49830	36952	212	212
2031	3063.0024	42.50651607298002	55926	55328	213	213
2061	3065.8882	42.45748213746604	55149	55199	214	214
1637	2220.6375	42.42137173171656	66724	70648	215	215
761	908.7877	42.40320285585901	72915	72846	216	216
2607	3370.292	42.35229659391837	42215	41701	217	217
1609	2620.2285	42.241538746069914	67505	68361	218	218
1871	3086.7383	42.23335719398712	60149	54348	219	219
1995	3009.587	42.22326454033771	56885	57482	220	220
1073	942.0946	42.11116428121792	72435	72805	221	221
6945	5259.8267	42.061354876181426	2287	10	222	222
550	625.31995	42.056462967082716	73159	73131	223	223
3519	3852.7886	42.01900491138159	25108	19058	224	224
1357	2416.9678	41.91729323308271	71589	69968	225	225
1610	2821.591	41.87293729372937	67479	64223	226	226
2143	3069.379	41.853095886938334	53044	55058	227	227
2171	3050.8044	41.767701260911736	52388	55824	228	228
2050	2673.2427	41.766228594185584	55419	67652	229	229
3421	3546.0422	41.76366147169067	26639	33358	230	230
1494	2498.949	41.74423758865248	70156	69505	231	231
858	334.12692	41.74337182624564	72772	73191	232	232
2115	2772.413	41.613502382298314	53731	65595	233	233
2420	2945.6267	41.567775363530004	46320	59932	234	234
1628	2845.087	41.43770520131329	66971	63474	235	235
1617	2934.8816	41.39869574994378	67306	60318	236	236
2324	3091.5613	41.36964806097288	48577	54141	237	237
1462	2418.1445	41.319642517588896	70653	69956	238	238
3926	3658.166	41.173697000471506	19447	28006	239	239
1206	1157.2911	41.1637658756995	72175	72557	240	240
1947	2507.9958	41.16186693147964	58106	69442	241	241
1874	2676.8538	41.14651344998694	60051	67590	242	242
1627	2342.4175	41.11888111888112	67000	70281	243	243
2112	3138.0325	41.11131069995809	53825	52169	244	244
1727	3025.8782	41.09561350313321	64192	56856	245	245
1714	2862.3787	41.05863624303529	64556	62907	246	246
2376	3120.4731	41.04978354978355	47368	52930	247	247
1435	2614.3457	41.00926879505664	70982	68437	248	248
2307	3364.388	40.994921213699705	48957	41959	249	249
2401	2770.8135	40.94164836214306	46769	65637	250	250
3184	3664.5894	40.89454375146359	30744	27686	251	251
2967	3380.5916	40.80651731160896	34850	41236	252	252
962	698.45886	40.77880494630746	72606	73099	253	253
1553	2741.8098	40.75604214005371	68981	66366	254	254
4388	4085.924	40.735155513666356	14212	10192	255	255
1403	2576.4702	40.71217963256974	71275	68842	256	256
2312	2866.326	40.64613741545034	48863	62742	257	257
5711	4881.9243	40.61054137848796	5595	61	258	258
2268	3406.9136	40.56944444444445	49903	40032	259	259
4195	4218.969	40.54386915611607	16220	6356	260	260
1562	2481.3132	40.53914835164835	68739	69613	261	261
2509	3647.2788	40.47008547008547	44339	28502	262	262
2934	3779.4973	40.416868637905964	35513	22428	263	263
1693	2639.1033	40.36728447542935	65121	68129	264	264
3354	3127.8745	40.31751021691292	27789	52621	265	265
1273	1317.2235	40.25129199278708	71986	72354	266	266
3166	3838.7322	40.23613352586427	31065	19709	267	267
1326	1378.5922	40.235831258018266	71758	72260	268	268
2075	3235.0854	40.21256345177665	54784	47874	269	269
2398	3242.4844	40.21021542738013	46847	47577	270	270
2024	3086.596	40.19297452133273	56114	54351	271	271
1747	2665.7666	40.13757523645744	63634	67770	272	272
2246	3201.6086	40.13666838576586	50487	49393	273	273
2652	3595.8154	40.119760479041915	41242	31064	274	274
1615	2562.408	40.08751262201279	67346	68963	275	275
1981	3165.0767	40.056487788669216	57205	50990	276	276
1658	2885.5237	40.05235602094241	66145	62124	277	277
1429	2123.4333	39.99470385735722	71030	70865	278	278
1867	3146.9087	39.934372436423295	60252	51766	279	279
2242	3035.2803	39.92437179799951	50622	56485	280	280
1731	632.20886	39.918698605819294	64065	73128	281	281
585	610.88776	39.91808968485353	73120	73142	282	282
574	522.937	39.82976659265667	73132	73169	283	283
1607	2285.6348	39.82042179995824	67583	70465	284	284
2068	3181.2854	39.81424148606811	54952	50268	285	285
1918	2879.13	39.783554875896954	58892	62332	286	286
1885	3084.2495	39.77619532044761	59766	54452	287	287
2172	2762.6956	39.776082677165356	52344	65866	288	288
4796	4149.989	39.727559884180046	10724	8236	289	289
4377	4188.8184	39.67625429702798	14316	7149	290	290
2127	3189.5203	39.625454206652385	53439	49929	291	291
2700	2832.1086	39.61623499684144	40202	63902	292	292
2234	2807.9153	39.60127403562581	50828	64608	293	293
2355	3527.6099	39.589927067565704	47863	34215	294	294
1792	1933.0009	39.56485751448504	62384	71289	295	295
2266	3150.3643	39.542240416821734	49952	51633	296	296
2395	3302.792	39.49985231859801	46920	44801	297	297
1851	2732.687	39.41353383458647	60724	66569	298	298
2699	3515.885	39.40725059539561	40250	34776	299	299
4967	4415.891	39.386423474644175	9526	2650	300	300
1668	2881.1494	39.38025856761748	65858	62260	301	301
1964	2508.1409	39.377445143731926	57645	69440	302	302
1719	2951.1587	39.3526405451448	64405	59728	303	303
2724	3165.7307	39.28225024248302	39688	50960	304	304
2456	3134.6475	39.280157659993776	45517	52303	305	305
1566	2759.0972	39.196617336152215	68626	65954	306	306
1957	2701.359	39.17953116066323	57847	67203	307	307
2357	2940.7932	39.08829863603733	47801	60091	308	308
2439	3554.762	39.08108847258307	45895	32931	309	309
1607	2776.0312	39.073374428315766	67575	65520	310	310
2942	2829.4553	39.067751636299306	35383	63974	311	311
1544	2574.5588	39.014024649383764	69182	68859	312	312
3251	3451.93	39.011503477795614	29532	37840	313	313
2466	3382.3308	39.01060070671378	45279	41155	314	314
1641	2914.1245	38.98982558139535	66600	61115	315	315
1607	2820.4392	38.96543934944658	67577	64254	316	316
1771	2969.4841	38.942014242115974	62970	59056	317	317
1723	1463.6134	38.94181026281343	64304	72143	318	318
2486	3146.1287	38.927691043549714	44858	51809	319	319
3048	3311.0923	38.86017503962511	33265	44419	320	320
2330	3359.1692	38.84935962594023	48432	42188	321	321
1790	2987.8337	38.82011605415861	62456	58340	322	322
1369	2479.4116	38.80764904386952	71522	69625	323	323
2068	2762.1472	38.77409513243656	54960	65881	324	324
2730	3354.2798	38.75505129002176	39575	42402	325	325
1629	2823.1829	38.73893805309734	66952	64180	326	326
1769	3017.563	38.70126105232642	63006	57175	327	327
1523	2765.3745	38.692023532631005	69596	65796	328	328
1542	2769.5925	38.62847222222222	69221	65666	329	329
3471	3592.044	38.598442714126804	25879	31242	330	330
1582	2337.283	38.59565321232386	68231	70302	331	331
1813	2534.197	38.50154083204931	61786	69227	332	332
1968	3233.6257	38.49485652409312	57556	47935	333	333
1630	2811.3923	38.4930384930385	66924	64514	334	334
609	381.45132	38.489542989930285	73089	73184	335	335
2646	3552.908	38.48643821855118	41356	33019	336	336
2390	3581.4668	38.47361809045226	47036	31723	337	337
1805	3042.397	38.45229924502402	62026	56199	338	338
4086	3992.633	38.4510931064138	17471	13478	339	339
1547	2817.746	38.44092025910208	69108	64338	340	340
1570	2375.6533	38.376891334250345	68510	70135	341	341
3820	4006.9817	38.33368070029179	20776	12915	342	342
1386	2592.1462	38.29585798816568	71427	68684	343	343
2122	3124.2551	38.29376854599407	53560	52777	344	344
2103	3049.1284	38.283543429459506	54090	55890	345	345
1585	2690.7434	38.2685585029817	68144	67390	346	346
2042	3268.89	38.22341857335128	55650	46356	347	347
2126	3042.0225	38.14820164668497	53456	56226	348	348
1670	2843.385	38.1477184841454	65788	63540	349	349
1363	2377.717	38.054919908466815	71554	70125	350	350
2635	2832.5742	38.04760581643049	41598	63883	351	351
1405	2319.8828	37.962128043282235	71264	70354	352	352
553	599.7827	37.93807820402122	73157	73145	353	353
2421	3304.4033	37.89525691699605	46289	44723	354	354
2162	3307.1597	37.86123132765601	52605	44598	355	355
1594	2668.9507	37.84948391622407	67913	67721	356	356
1712	2480.8909	37.81015251536535	64610	69617	357	357
2508	3126.5103	37.759025849177526	44356	52682	358	358
2080	3101.8665	37.74188389573005	54664	53700	359	359
1444	957.86676	37.734192317700064	70879	72782	360	360
1849	1603.0496	37.726411229112685	60784	71922	361	361
1496	2690.1448	37.708615245827694	70113	67397	362	362
2119	3224.346	37.68973891924712	53631	48353	363	363
1577	2292.0376	37.674581005586596	68361	70446	364	364
3538	3455.9976	37.673005513671654	24835	37623	365	365
2003	3016.2886	37.67162801430714	56682	57221	366	366
1459	2584.105	37.66931842614491	70690	68768	367	367
2285	802.7555	37.66044308361345	49510	72998	368	368
2931	3517.9385	37.6467273922434	35597	34681	369	369
1534	2689.8171	37.63261909714999	69386	67399	370	370
1794	3072.2747	37.61787617876179	62345	54948	371	371
718	760.2646	37.52850656421425	72980	73055	372	372
2647	3559.648	37.48166535033285	41325	32709	373	373
1853	3054.4536	37.45792912294595	60650	55698	374	374
1377	1417.1323	37.45146322276948	71483	72206	375	375
1658	2830.7349	37.43085433312846	66148	63943	376	376
1606	2846.3716	37.42690058479532	67617	63424	377	377
1383	2329.313	37.39569609134826	71442	70325	378	378
1603	2883.9795	37.38996478873239	67698	62164	379	379
2332	3303.8003	37.389162561576356	48392	44756	380	380
1651	2918.787	37.3243738546121	66334	60952	381	381
1764	2882.7786	37.31268102254124	63140	62201	382	382
1752	2456.8105	37.279489904357064	63488	69755	383	383
3940	4104.26	37.27682491365685	19275	9609	384	384
658	770.331	37.257684522218845	73038	73040	385	385
1681	2891.5552	37.25626740947075	65468	61915	386	386
1625	2820.3804	37.2557928214448	67065	64256	387	387
2835	2958.25	37.23962474161234	37449	59475	388	388
1622	2543.3774	37.21315655277919	67165	69141	389	389
2161	2702.2832	37.213114754098356	52630	67189	390	390
1491	2272.6243	37.187572996963326	70201	70496	391	391
2713	3119.0142	37.18230023770342	39911	52991	392	392
970	1011.09595	37.17635238312887	72592	72719	393	393
1933	3161.1042	37.17174554135655	58480	51168	394	394
2222	3270.5461	37.1643016301161	51099	46269	395	395
1571	2522.4683	37.161897295178356	68505	69327	396	396
1540	2194.9246	37.15973834142224	69261	70702	397	397
1932	3218.3882	37.11145457667869	58521	48612	398	398
1500	2260.4385	37.0889748549323	70059	70526	399	399
1875	2990.6836	37.06793802145411	60022	58226	400	400
1729	2648.029	37.063778580024064	64125	67999	401	401
1652	2878.9878	37.04748472026328	66308	62336	402	402
1602	2521.8047	37.03632887189293	67703	69335	403	403
1555	2487.3896	36.99842643587726	68922	69578	404	404
2030	2944.7502	36.994528226344585	55942	59957	405	405
1648	2873.702	36.990874693968394	66413	62495	406	406
1296	2015.555	36.9449378330373	71896	71127	407	407
1135	2111.9287	36.92885710822931	72311	70894	408	408
2053	3176.8906	36.917510853835026	55338	50475	409	409
3093	2973.6848	36.90693098170687	32433	58881	410	410
1648	2779.9646	36.86739897999215	66415	65397	411	411
2190	2459.57	36.84906427990236	51953	69730	412	412
1529	2479.018	36.73005374121538	69466	69627	413	413
1862	2886.2258	36.71572424477149	60378	62100	414	414
1790	3092.4155	36.69955503965951	62458	54106	415	415
2937	2881.4968	36.684681326872905	35465	62246	416	416
1591	2438.6858	36.674259681093396	67978	69859	417	417
2919	3560.0386	36.67084836129841	35841	32687	418	418
2101	3251.058	36.667419282004964	54133	47203	419	419
2325	1514.2924	36.61737154784955	48568	72067	420	420
3034	3410.8672	36.599069440786586	33528	39856	421	421
1496	2685.7886	36.554913294797686	70135	67462	422	422
1695	2861.8518	36.52363061103421	65069	62931	423	423
1806	3021.9546	36.48214623087096	61988	57009	424	424
2447	3488.6096	36.478298503771484	45724	36081	425	425
1501	2291.7705	36.444007858546165	70038	70449	426	426
2973	1920.9679	36.43757611118258	34727	71317	427	427
3732	3951.359	36.42892217039038	21958	15026	428	428
2159	3297.6343	36.42847154244161	52685	45045	429	429
1549	2742.0457	36.42588910978573	69060	66360	430	430
1578	2735.687	36.4118246687054	68322	66505	431	431
2043	3274.131	36.38794794080941	55621	46102	432	432
2655	3687.9424	36.323080535336935	41162	26578	433	433
3864	3628.7437	36.29992623037201	20216	29430	434	434
2908	2939.8877	36.29893238434164	36062	60133	435	435
2433	3336.789	36.28416509903729	46031	43267	436	436
3146	3869.8513	36.25870646766169	31438	18315	437	437
791	944.9558	36.25496159157858	72873	72798	438	438
1750	2584.1604	36.2516093433879	63558	68765	439	439
1804	2957.6768	36.246141975308646	62038	59497	440	440
1581	2728.6162	36.22674933569531	68245	66642	441	441
3436	3331.1587	36.2247191011236	26407	43492	442	442
1471	2305.9346	36.19860017497813	70538	70396	443	443
1540	2747.1868	36.187438665358194	69260	66231	444	444
2185	2701.9773	36.14219881500988	52072	67194	445	445
1796	3027.45	36.13187655740847	62294	56785	446	446
1520	2341.041	36.05425400739827	69654	70286	447	447
2630	3494.2349	36.0487861005638	41696	35802	448	448
1264	2252.8157	36.04534005037783	72007	70553	449	449
1385	2601.5022	36.04162054460925	71434	68583	450	450
2181	3287.7007	36.03201477605049	52167	45485	451	451
1331	2525.1055	36.00678458929004	71729	69302	452	452
2603	3142.1233	35.99873243899863	42316	51977	453	453
1515	2311.4773	35.9980736816759	69753	70375	454	454
1962	3164.92	35.9880351467564	57697	51000	455	455
1856	3095.7292	35.95442659693687	60568	53955	456	456
1904	2685.7263	35.954301075268816	59257	67464	457	457
1289	2076.2634	35.94697820714446	71921	70984	458	458
1542	2481.9841	35.92803378006242	69218	69608	459	459
1879	2417.4712	35.92481203007519	59926	69962	460	460
1533	2419.3484	35.92477704536642	69404	69950	461	461
1781	3033.0603	35.91160220994475	62678	56568	462	462
2214	3294.3103	35.878058152939666	51293	45197	463	463
1544	2642.324	35.866657025092195	69168	68082	464	464
2023	3073.9895	35.848570692763325	56135	54893	465	465
2581	3478.0186	35.8362948526883	42802	36583	466	466
2036	2673.4905	35.76543448809754	55814	67647	467	467
3252	2906.0942	35.76082235413349	29519	61404	468	468
2471	3382.1453	35.74458058435439	45162	41160	469	469
2816	3707.8755	35.71824122272677	37807	25633	470	470
3457	3876.2288	35.71777855396437	26107	18064	471	471
2786	3475.2224	35.68962015031485	38444	36717	472	472
1975	3169.0242	35.68419124381755	57360	50809	473	473
1968	2390.544	35.67717353654312	57551	70068	474	474
2007	3093.9902	35.671135995285105	56569	54033	475	475
2527	3105.5276	35.65998617829993	43951	53566	476	476
1357	2291.624	35.644211903204706	71590	70451	477	477
2643	3337.187	35.64029595902106	41401	43240	478	478
889	415.61755	35.60934779697335	72726	73178	479	479
2224	3351.0867	35.60027758501041	51067	42568	480	480
3309	3800.584	35.577768892443025	28548	21442	481	481
2012	3211.914	35.552382652150634	56427	48895	482	482
1541	2758.9458	35.54047730463266	69236	65960	483	483
1953	2573.2803	35.51508252703472	57953	68872	484	484
1180	1393.5642	35.507286655617094	72228	72243	485	485
1765	2940.1616	35.49989650175947	63119	60120	486	486
2019	3093.5608	35.48487683193015	56233	54057	487	487
2229	1381.2008	35.471598414795245	50920	72255	488	488
1567	2491.7385	35.46621366553416	68612	69554	489	489
2466	3414.228	35.46580421235308	45280	39694	490	490
3013	3931.7961	35.462892119357306	33954	15814	491	491
2216	2774.4885	35.43144589191281	51261	65552	492	492
1693	2828.2197	35.42887586574321	65135	64020	493	493
2257	3191.6045	35.42869136320705	50225	49839	494	494
2363	3218.3232	35.42359280064198	47654	48618	495	495
2725	3697.4812	35.40751586139581	39665	26132	496	496
2916	3620.269	35.40402124430956	35899	29860	497	497
1616	2850.5303	35.403265710044536	67329	63293	498	498
2093	2614.5066	35.38095238095238	54345	68434	499	499
1541	2743.641	35.36231884057971	69235	66316	500	500
1430	2499.2483	35.354061291282356	71022	69500	501	501
2522	2651.2502	35.34081104400345	44056	67962	502	502
1676	2932.2217	35.333333333333336	65611	60412	503	503
863	759.89435	35.318161234568485	72765	73057	504	504
1820	1472.6178	35.31080268189981	61603	72131	505	505
1773	2888.8962	35.289499509322866	62905	62003	506	506
3209	3849.1357	35.2828546562228	30294	19218	507	507
1691	2914.0403	35.26839931989312	65176	61117	508	508
2430	2921.808	35.246626852466264	46101	60841	509	509
1974	3117.877	35.24221141725194	57404	53047	510	510
2692	2907.352	35.23095850575998	40386	61353	511	511
1808	2730.0964	35.212988826815646	61947	66618	512	512
1907	2647.1643	35.19967064635652	59176	68013	513	513
1591	2778.7861	35.19965277777778	67977	65428	514	514
3304	3765.6467	35.18243354796104	28616	23021	515	515
1465	2672.882	35.14299563742123	70627	67660	516	516
1649	2431.5803	35.12673362027738	66391	69889	517	517
2297	3400.3396	35.11574828822954	49206	40345	518	518
1995	2640.1003	35.084462595136436	56872	68118	519	519
1677	2882.555	35.081093090424346	65593	62209	520	520
1709	2531.4622	35.073656845753895	64681	69251	521	521
