n_genes_by_counts	total_counts	cellrank_n_genes_by_counts	cellrank_total_counts	cell_index
7902	3649.863	25	88	88
4136	3643.4104	1444	89	89
7338	3642.3645	88	90	90
5335	3638.5166	706	91	91
7170	3637.2583	115	92	92
7741	3637.1257	33	93	93
7606	3636.2764	53	94	94
6733	3636.0999	222	95	95
6246	3634.9211	383	96	96
5917	3631.664	486	97	97
7500	3629.0244	65	98	98
8505	3627.8494	5	99	99
5009	3626.4756	842	100	100
7441	3623.4077	71	101	101
7143	3622.3196	122	102	102
4996	3621.2776	847	103	103
4759	3620.5295	979	104	104
4844	3619.2048	927	105	105
7215	3617.7122	105	106	106
7342	3616.9656	87	107	107
7524	3615.2864	62	108	108
5310	3614.3367	719	109	109
3353	3614.1863	2985	110	110
7081	3612.6558	135	111	111
7735	3611.2412	34	112	112
7568	3611.1357	59	113	113
8143	3606.5383	14	114	114
6924	3604.7068	172	115	115
6241	3602.569	387	116	116
7379	3602.1404	80	117	117
3243	3600.3809	3422	118	118
4466	3597.4836	1154	119	119
7177	3595.5835	112	120	120
6987	3595.391	159	121	121
6487	3594.6062	289	122	122
4029	3594.171	1552	123	123
7062	3593.7202	141	124	124
7412	3592.8296	77	125	125
7597	3591.8076	54	126	126
6954	3590.6719	168	127	127
6807	3589.4067	202	128	128
3699	3589.2146	2065	129	129
8167	3588.914	13	130	130
7681	3586.6396	42	131	131
7803	3583.9539	32	132	132
3148	3583.5422	3862	133	133
6102	3582.4644	424	134	134
8090	3579.2988	16	135	135
3660	3578.6047	2142	136	136
7242	3577.9277	101	137	137
6981	3577.8264	161	138	138
7520	3577.1929	63	139	139
5749	3575.732	543	140	140
7369	3575.3198	82	141	141
6882	3574.6458	179	142	142
7545	3574.376	61	143	143
6811	3573.043	200	144	144
6695	3572.4683	234	145	145
7822	3571.9927	30	146	146
4490	3571.1895	1134	147	147
3301	3569.7925	3171	148	148
8529	3568.3555	4	149	149
6316	3563.159	355	150	150
3495	3562.1255	2569	151	151
6390	3561.982	324	152	152
8129	3561.9604	15	153	153
7179	3560.76	111	154	154
6320	3560.5583	354	155	155
8345	3559.2134	8	156	156
3790	3557.5188	1886	157	157
6417	3557.4045	316	158	158
7699	3556.414	38	159	159
5118	3554.396	793	160	160
6843	3554.2698	191	161	161
7077	3554.012	136	162	162
7415	3551.9563	75	163	163
6919	3550.6492	173	164	164
7063	3548.7244	140	165	165
3251	3547.44	3385	166	166
6682	3547.1125	240	167	167
7648	3545.8276	48	168	168
7647	3544.3767	49	169	169
7928	3544.073	24	170	170
6604	3540.9475	263	171	171
4706	3540.8433	1006	172	172
4430	3539.7878	1174	173	173
6470	3539.4106	297	174	174
6777	3538.1333	210	175	175
7372	3538.114	81	176	176
6764	3538.0806	215	177	177
7650	3537.7969	47	178	178
7235	3536.735	102	179	179
7328	3534.1323	90	180	180
7155	3532.7817	120	181	181
6468	3531.9744	298	182	182
7435	3528.8997	72	183	183
6353	3528.4763	340	184	184
3392	3528.1104	2854	185	185
6490	3527.7397	288	186	186
6727	3527.5376	224	187	187
3023	3527.2573	4496	188	188
7308	3526.7402	94	189	189
4495	3526.304	1129	190	190
5055	3526.1948	817	191	191
4279	3525.9119	1307	192	192
6912	3524.9744	174	193	193
3637	3524.3762	2197	194	194
3932	3521.6782	1678	195	195
7041	3520.8281	147	196	196
4333	3520.278	1254	197	197
3791	3518.3486	1883	198	198
2960	3517.6736	4880	199	199
4642	3517.155	1044	200	200
7024	3516.3813	152	201	201
8027	3515.0698	18	202	202
6910	3513.1807	176	203	203
6802	3508.877	203	204	204
6724	3508.653	225	205	205
7063	3506.2314	139	206	206
5151	3503.9739	779	207	207
6679	3503.6897	243	208	208
4767	3503.5664	974	209	209
5295	3503.414	723	210	210
6281	3502.524	367	211	211
7732	3502.435	35	212	212
6185	3501.7085	402	213	213
6772	3501.549	212	214	214
7668	3500.183	45	215	215
6296	3499.9314	364	216	216
4670	3499.577	1026	217	217
2847	3491.5747	5735	218	218
7142	3491.1458	124	219	219
7639	3491.0962	50	220	220
3388	3490.5784	2872	221	221
3516	3487.0498	2509	222	222
6412	3486.3503	317	223	223
2844	3485.817	5761	224	224
7427	3485.4539	73	225	225
6972	3484.6133	163	226	226
3922	3482.796	1692	227	227
7685	3482.7512	40	228	228
6772	3482.5835	211	229	229
6443	3481.6826	305	230	230
6837	3480.676	195	231	231
3741	3480.554	1980	232	232
6454	3479.872	302	233	233
3585	3479.14	2330	234	234
6423	3478.9307	312	235	235
6540	3478.3784	281	236	236
7035	3477.4585	150	237	237
7220	3476.9458	104	238	238
7423	3475.8066	74	239	239
5558	3474.95	630	240	240
3831	3474.8613	1819	241	241
4219	3474.353	1353	242	242
7317	3474.1736	92	243	243
6843	3472.3674	192	244	244
7294	3471.9153	97	245	245
3120	3471.4805	4002	246	246
7344	3471.2312	85	247	247
6762	3470.6877	216	248	248
6860	3470.3445	186	249	249
5980	3469.0886	463	250	250
3836	3468.5867	1812	251	251
7715	3467.863	37	252	252
7651	3467.237	46	253	253
3537	3465.8694	2450	254	254
7139	3464.9668	125	255	255
3967	3464.8735	1632	256	256
5737	3464.511	549	257	257
6768	3464.286	213	258	258
7049	3463.2876	143	259	259
5120	3463.1616	791	260	260
6312	3463.0479	357	261	261
6983	3462.5183	160	262	262
4148	3462.21	1436	263	263
4317	3460.999	1267	264	264
4541	3459.8948	1094	265	265
7411	3458.748	78	266	266
4926	3457.1328	881	267	267
3749	3456.1807	1965	268	268
5953	3455.5627	475	269	269
7575	3455.3923	58	270	270
6581	3453.9397	270	271	271
6058	3453.4165	440	272	272
4160	3453.0635	1422	273	273
6837	3452.6465	196	274	274
7174	3452.5974	114	275	275
7097	3452.4866	130	276	276
7145	3452.114	121	277	277
7050	3451.7473	142	278	278
2921	3451.4597	5173	279	279
4128	3451.1611	1453	280	280
6879	3450.1726	180	281	281
6339	3448.757	346	282	282
2747	3448.7559	6552	283	283
4329	3448.4111	1258	284	284
2967	3447.8606	4837	285	285
7045	3447.0396	144	286	286
6138	3446.7085	416	287	287
3790	3445.4016	1888	288	288
6620	3443.142	261	289	289
3203	3443.1155	3621	290	290
6752	3442.6182	221	291	291
2859	3442.388	5648	292	292
7045	3442.1248	145	293	293
6313	3441.3281	356	294	294
8318	3441.1636	9	295	295
3497	3440.1118	2564	296	296
7007	3438.277	155	297	297
4929	3436.5588	880	298	298
6022	3436.112	450	299	299
6712	3434.7446	231	300	300
6394	3434.151	323	301	301
5590	3433.5476	614	302	302
7268	3433.5132	99	303	303
2767	3433.352	6373	304	304
3993	3432.6292	1601	305	305
6376	3432.3875	332	306	306
4183	3432.304	1396	307	307
7360	3431.9124	83	308	308
6570	3431.3862	272	309	309
6802	3430.9543	204	310	310
7593	3429.9785	56	311	311
2965	3429.0886	4847	312	312
2870	3428.4304	5565	313	313
4374	3428.0376	1210	314	314
7199	3427.8274	107	315	315
4279	3427.5461	1306	316	316
4734	3426.451	991	317	317
5926	3424.882	484	318	318
6731	3424.2656	223	319	319
6716	3424.2573	229	320	320
6312	3423.9167	358	321	321
6504	3423.6543	286	322	322
6260	3423.033	378	323	323
4652	3421.7222	1034	324	324
7096	3421.6572	132	325	325
7202	3421.353	106	326	326
6589	3421.3179	266	327	327
7188	3419.9905	109	328	328
3739	3419.4985	1985	329	329
7158	3418.9197	118	330	330
3706	3418.3545	2052	331	331
7002	3418.1406	157	332	332
3168	3418.0586	3772	333	333
6695	3416.379	235	334	334
3722	3415.5315	2012	335	335
3033	3415.4412	4447	336	336
5245	3415.3926	747	337	337
2883	3415.1875	5473	338	338
7113	3414.8604	128	339	339
5939	3413.457	479	340	340
7041	3412.699	146	341	341
5626	3411.6907	596	342	342
4769	3411.2202	970	343	343
6912	3410.944	175	344	344
3055	3410.9248	4327	345	345
3157	3409.2195	3820	346	346
3248	3408.0945	3398	347	347
4084	3406.696	1499	348	348
7251	3406.3528	100	349	349
6377	3405.1758	331	350	350
7450	3404.6567	68	351	351
6634	3404.529	256	352	352
6233	3402.709	391	353	353
6037	3402.2393	443	354	354
7071	3401.8806	138	355	355
6349	3401.8452	342	356	356
3953	3401.399	1644	357	357
7323	3401.1614	91	358	358
5988	3401.0376	461	359	359
6690	3401.0076	238	360	360
3499	3400.2114	2554	361	361
5686	3399.1792	570	362	362
3059	3399.1238	4306	363	363
3984	3398.8628	1610	364	364
6706	3398.7048	233	365	365
6934	3398.56	171	366	366
6084	3398.1733	435	367	367
4943	3396.3176	871	368	368
5564	3395.9612	626	369	369
6093	3395.5483	428	370	370
6875	3395.4836	182	371	371
5687	3394.5376	569	372	372
3312	3394.1333	3135	373	373
6294	3393.8909	365	374	374
3415	3392.7678	2784	375	375
4681	3392.4998	1020	376	376
2941	3392.431	5021	377	377
2522	3392.1514	8863	378	378
3794	3392.1072	1877	379	379
3454	3391.044	2670	380	380
3762	3390.1738	1932	381	381
7126	3390.109	126	382	382
6879	3389.9475	181	383	383
6642	3388.965	251	384	384
3838	3388.9182	1806	385	385
6336	3388.879	347	386	386
5831	3388.5818	516	387	387
4073	3387.6814	1510	388	388
6562	3387.1174	273	389	389
7002	3386.869	158	390	390
5466	3386.487	656	391	391
6236	3386.2502	390	392	392
2711	3385.8533	6874	393	393
7156	3384.6204	119	394	394
6429	3384.0054	311	395	395
3929	3383.8743	1680	396	396
5678	3383.555	573	397	397
3251	3382.8293	3381	398	398
6362	3382.2373	337	399	399
3816	3382.183	1845	400	400
6230	3381.8406	392	401	401
4885	3381.3713	904	402	402
6385	3380.598	326	403	403
4942	3380.0195	872	404	404
4593	3379.682	1067	405	405
4374	3378.732	1211	406	406
3398	3378.489	2840	407	407
6310	3378.3884	359	408	408
3164	3377.61	3793	409	409
6607	3377.4614	262	410	410
3482	3376.7778	2606	411	411
5076	3375.0156	809	412	412
7014	3374.9543	153	413	413
5459	3372.6863	658	414	414
5378	3372.5227	693	415	415
2682	3372.2063	7126	416	416
6263	3372.149	374	417	417
7040	3372.1238	148	418	418
4999	3371.0027	845	419	419
6679	3370.79	242	420	420
3507	3370.5398	2535	421	421
4271	3369.7786	1312	422	422
6800	3369.3542	206	423	423
6195	3369.0486	399	424	424
7177	3368.9797	113	425	425
3301	3368.5752	3169	426	426
5673	3366.5115	575	427	427
2477	3365.94	9466	428	428
3280	3365.0327	3266	429	429
2756	3364.601	6468	430	430
5820	3364.4358	519	431	431
3642	3364.1865	2184	432	432
4569	3363.8132	1080	433	433
4052	3363.3037	1524	434	434
4951	3363.1846	865	435	435
5787	3362.6162	533	436	436
6276	3361.9072	369	437	437
6950	3361.6335	169	438	438
5557	3361.3013	632	439	439
4874	3360.951	910	440	440
7502	3360.54	64	441	441
5578	3360.2273	617	442	442
6680	3359.9736	241	443	443
3060	3359.6667	4304	444	444
6887	3359.5527	178	445	445
6868	3357.9397	183	446	446
5382	3357.7197	691	447	447
3481	3357.4072	2608	448	448
7087	3357.2322	133	449	449
6430	3355.192	310	450	450
5310	3354.6611	718	451	451
3874	3354.5537	1764	452	452
6637	3353.8225	254	453	453
5914	3352.8342	489	454	454
3952	3350.412	1646	455	455
7631	3350.091	52	456	456
5613	3350.072	601	457	457
5410	3350.0142	674	458	458
3756	3349.8267	1945	459	459
5118	3349.568	792	460	460
5142	3349.3057	784	461	461
6557	3349.2803	276	462	462
6756	3349.2024	217	463	463
4817	3349.0366	942	464	464
6239	3348.595	388	465	465
3142	3348.0415	3888	466	466
3022	3347.7778	4502	467	467
6119	3347.4226	419	468	468
3544	3347.0632	2426	469	469
5625	3346.3765	597	470	470
6278	3345.8647	368	471	471
4814	3345.64	945	472	472
7343	3345.2976	86	473	473
3760	3345.125	1937	474	474
2977	3345.0635	4766	475	475
3852	3345.0435	1788	476	476
3000	3344.368	4631	477	477
7496	3342.0068	67	478	478
7682	3341.961	41	479	479
4456	3340.7295	1159	480	480
5963	3340.4724	471	481	481
4698	3340.1453	1013	482	482
3360	3339.8892	2954	483	483
7581	3339.3489	57	484	484
4334	3339.1274	1252	485	485
6858	3338.9968	187	486	486
6644	3338.3743	249	487	487
3512	3338.32	2523	488	488
6482	3338.29	291	489	489
6523	3337.8728	284	490	490
2383	3336.8486	10858	491	491
3641	3336.222	2187	492	492
7673	3336.0408	43	493	493
5717	3335.7097	556	494	494
6382	3335.637	329	495	495
2848	3334.152	5727	496	496
4235	3332.4978	1345	497	497
3334	3332.4585	3059	498	498
4845	3332.4146	926	499	499
6399	3332.214	321	500	500
6159	3331.69	410	501	501
6655	3331.15	248	502	502
5859	3330.695	509	503	503
5389	3330.3967	688	504	504
3342	3330.2803	3031	505	505
3123	3330.0225	3985	506	506
6630	3329.819	259	507	507
6348	3329.8167	343	508	508
3881	3328.7747	1750	509	509
3482	3328.5908	2605	510	510
7004	3328.5586	156	511	511
6481	3328.2158	292	512	512
4861	3328.1597	917	513	513
6688	3328.0042	239	514	514
3012	3327.4226	4570	515	515
6075	3327.156	437	516	516
3652	3326.8176	2155	517	517
7300	3326.5193	95	518	518
6860	3326.2412	185	519	519
3315	3324.709	3127	520	520
6040	3324.5398	442	521	521
3243	3324.5227	3421	522	522
6252	3324.1245	380	523	523
6020	3323.7532	452	524	524
3673	3322.9617	2118	525	525
3913	3322.8953	1704	526	526
6092	3322.6328	429	527	527
4982	3322.3645	852	528	528
6794	3322.2776	207	529	529
5697	3321.581	564	530	530
6404	3321.5176	319	531	531
6339	3320.925	345	532	532
3074	3319.7534	4234	533	533
7117	3319.7383	127	534	534
3366	3319.7231	2931	535	535
4760	3319.3604	978	536	536
7037	3319.3174	149	537	537
7162	3319.2524	117	538	538
5712	3318.817	560	539	539
4853	3318.0388	921	540	540
6300	3317.6	362	541	541
2873	3317.3484	5543	542	542
2385	3317.0925	10825	543	543
2817	3316.9946	5973	544	544
3322	3316.767	3103	545	545
5941	3316.749	477	546	546
5180	3316.4495	771	547	547
6299	3316.2776	363	548	548
3821	3316.2458	1840	549	549
3938	3316.1982	1667	550	550
6597	3316.157	264	551	551
5382	3315.9895	692	552	552
3375	3315.75	2910	553	553
2807	3315.2068	6051	554	554
3991	3314.8914	1603	555	555
4145	3314.842	1439	556	556
5077	3314.325	808	557	557
3634	3314.1606	2203	558	558
7314	3313.758	93	559	559
6431	3313.1187	308	560	560
5889	3312.7793	497	561	561
2367	3312.7224	11113	562	562
4736	3312.2778	990	563	563
6329	3310.1814	349	564	564
6473	3308.7832	295	565	565
3588	3308.479	2320	566	566
2850	3308.3596	5716	567	567
7010	3308.3242	154	568	568
4347	3308.2634	1243	569	569
6366	3307.9106	335	570	570
2987	3307.8367	4709	571	571
4555	3307.7515	1088	572	572
6032	3307.6345	445	573	573
6029	3307.2463	447	574	574
2312	3307.2195	12081	575	575
5367	3307.0781	696	576	576
3142	3306.911	3889	577	577
5914	3306.7393	490	578	578
2583	3306.7185	8133	579	579
6755	3306.4875	218	580	580
4896	3305.6072	897	581	581
5257	3304.9197	739	582	582
3123	3304.847	3986	583	583
6160	3304.8118	409	584	584
6949	3303.7017	170	585	585
7084	3303.5186	134	586	586
3806	3303.5088	1855	587	587
3721	3303.16	2015	588	588
3457	3302.9639	2661	589	589
6170	3301.6216	405	590	590
3209	3301.13	3596	591	591
3399	3301.117	2837	592	592
3446	3301.03	2694	593	593
2422	3300.6443	10278	594	594
2865	3300.5198	5608	595	595
4553	3300.4705	1091	596	596
5396	3300.3184	683	597	597
5569	3300.2947	624	598	598
6471	3298.9119	296	599	599
5526	3298.3499	642	600	600
4733	3297.7122	992	601	601
7222	3297.3286	103	602	602
3495	3297.213	2572	603	603
3544	3297.1487	2430	604	604
3380	3297.0945	2894	605	605
2525	3297.0942	8814	606	606
7108	3297.0254	129	607	607
3543	3296.5967	2432	608	608
7185	3296.4375	110	609	609
3134	3296.0537	3931	610	610
6722	3295.589	226	611	611
6149	3295.4585	414	612	612
4017	3295.1409	1573	613	613
4092	3294.7124	1490	614	614
5811	3294.698	522	615	615
3942	3294.0266	1660	616	616
2632	3293.5405	7588	617	617
6336	3292.2373	348	618	618
2672	3292.0566	7210	619	619
3459	3291.648	2654	620	620
5866	3291.5066	506	621	621
2951	3291.094	4947	622	622
3097	3289.9116	4108	623	623
6639	3289.8176	252	624	624
4503	3289.5613	1123	625	625
5674	3289.3118	574	626	626
4227	3288.9873	1346	627	627
6252	3288.909	381	628	628
3657	3288.7979	2147	629	629
4018	3288.1272	1572	630	630
7633	3287.9055	51	631	631
4559	3287.4155	1086	632	632
3235	3287.325	3467	633	633
3723	3287.2634	2011	634	634
7298	3286.449	96	635	635
5965	3286.312	470	636	636
3692	3286.1577	2081	637	637
3205	3285.8855	3609	638	638
2500	3285.8442	9173	639	639
3038	3285.0066	4428	640	640
4821	3284.8906	941	641	641
5018	3284.5483	837	642	642
5712	3284.4395	559	643	643
4186	3284.422	1392	644	644
5645	3284.3716	586	645	645
5006	3284.0012	843	646	646
3517	3283.1333	2504	647	647
4663	3282.5261	1030	648	648
3311	3282.52	3142	649	649
3323	3282.1228	3100	650	650
3070	3281.3826	4256	651	651
5857	3280.3186	510	652	652
5235	3279.8525	750	653	653
6384	3279.6306	327	654	654
6268	3279.2324	373	655	655
3402	3279.145	2826	656	656
6765	3278.0615	214	657	657
2291	3277.4885	12427	658	658
3199	3277.468	3643	659	659
2326	3276.9297	11837	660	660
6753	3276.8042	220	661	661
5919	3275.6948	485	662	662
6548	3275.4282	279	663	663
6693	3274.5225	237	664	664
5869	3273.6086	504	665	665
7596	3271.8933	55	666	666
5962	3271.7131	472	667	667
3228	3271.6052	3497	668	668
6836	3271.5093	197	669	669
4490	3271.4512	1133	670	670
6169	3270.991	406	671	671
6589	3270.7642	267	672	672
3723	3270.4653	2009	673	673
2779	3270.4543	6277	674	674
5902	3270.4438	494	675	675
6854	3270.3406	189	676	676
4222	3269.7214	1351	677	677
3969	3269.4714	1631	678	678
3562	3269.1553	2389	679	679
3150	3268.9207	3853	680	680
2430	3268.4297	10126	681	681
3287	3268.4072	3238	682	682
6194	3268.3923	400	683	683
4294	3267.9058	1292	684	684
2851	3267.7703	5707	685	685
3175	3266.9907	3742	686	686
3888	3266.7544	1736	687	687
2722	3266.6494	6783	688	688
6283	3266.5164	366	689	689
2946	3266.0164	4979	690	690
3347	3265.8823	3011	691	691
6753	3265.5847	219	692	692
3304	3265.2715	3160	693	693
5794	3264.7593	530	694	694
2996	3264.7383	4654	695	695
6421	3264.6072	313	696	696
3063	3264.2166	4288	697	697
3431	3264.1936	2746	698	698
5032	3263.8953	829	699	699
4699	3263.5654	1011	700	700
2990	3262.9858	4685	701	701
3547	3262.821	2413	702	702
2313	3262.7568	12054	703	703
3770	3261.8635	1917	704	704
5721	3261.2551	554	705	705
5779	3261.1174	535	706	706
3765	3260.9646	1926	707	707
7163	3260.9033	116	708	708
3650	3260.6384	2161	709	709
3533	3260.4854	2463	710	710
5442	3259.876	661	711	711
5039	3259.5583	827	712	712
6674	3259.4854	244	713	713
2534	3259.4546	8709	714	714
4350	3258.708	1236	715	715
5082	3257.9585	807	716	716
6000	3257.7183	456	717	717
5875	3257.2122	503	718	718
3647	3256.8918	2173	719	719
3383	3256.5435	2884	720	720
5576	3256.4565	620	721	721
2453	3256.2532	9802	722	722
3036	3255.4988	4434	723	723
2282	3255.3284	12618	724	724
5772	3255.193	539	725	725
3479	3255.1218	2613	726	726
5832	3254.7915	515	727	727
6359	3254.5098	338	728	728
6150	3254.4678	413	729	729
6101	3254.4211	425	730	730
7097	3253.849	131	731	731
6307	3253.584	360	732	732
5767	3253.2683	540	733	733
4511	3252.8982	1118	734	734
3021	3252.8926	4511	735	735
4768	3252.709	971	736	736
4166	3252.4758	1416	737	737
3049	3252.4727	4365	738	738
2902	3251.83	5326	739	739
3360	3251.7876	2959	740	740
6245	3251.6152	384	741	741
3555	3249.9912	2402	742	742
4625	3249.4653	1054	743	743
3083	3249.2732	4182	744	744
5690	3249.1616	567	745	745
5383	3248.4102	690	746	746
2892	3248.1772	5413	747	747
3245	3247.9895	3405	748	748
4186	3247.7942	1391	749	749
6421	3247.77	314	750	750
3556	3247.701	2400	751	751
6081	3247.6418	436	752	752
3267	3247.1401	3315	753	753
3677	3247.0784	2108	754	754
3948	3246.425	1652	755	755
3592	3246.1377	2312	756	756
6031	3245.9673	446	757	757
6136	3245.6147	417	758	758
4201	3245.5398	1372	759	759
3397	3245.3796	2847	760	760
3884	3245.2197	1745	761	761
5156	3244.9731	778	762	762
2347	3244.8152	11491	763	763
5821	3244.639	518	764	764
3485	3244.3008	2593	765	765
3586	3242.7708	2328	766	766
2980	3242.5986	4757	767	767
7075	3242.441	137	768	768
6197	3242.0684	398	769	769
2666	3241.5242	7270	770	770
4357	3240.8733	1225	771	771
6967	3240.7925	165	772	772
5728	3240.6763	553	773	773
3713	3239.9624	2035	774	774
2834	3239.7822	5830	775	775
2993	3239.7756	4668	776	776
5049	3239.6858	821	777	777
5256	3239.556	741	778	778
2779	3239.4434	6280	779	779
4003	3239.2996	1594	780	780
3565	3238.9204	2378	781	781
3343	3238.5422	3024	782	782
6247	3238.4153	382	783	783
4719	3238.0273	995	784	784
3410	3237.7275	2800	785	785
6826	3237.659	199	786	786
6354	3237.5227	339	787	787
4485	3237.0151	1140	788	788
3252	3236.682	3378	789	789
3189	3236.0974	3673	790	790
6478	3235.9758	293	791	791
3498	3235.7988	2558	792	792
6788	3235.7576	208	793	793
3429	3235.7173	2752	794	794
3109	3235.5767	4051	795	795
6406	3235.2493	318	796	796
2436	3235.2485	10039	797	797
6303	3234.4036	361	798	798
3153	3234.3335	3839	799	799
2832	3234.0955	5854	800	800
3979	3234.0012	1618	801	801
4200	3233.9934	1373	802	802
4142	3233.952	1440	803	803
6975	3233.8904	162	804	804
3699	3233.6467	2066	805	805
5254	3233.3733	742	806	806
4889	3233.371	902	807	807
4303	3233.127	1284	808	808
6968	3233.105	164	809	809
3130	3232.6208	3957	810	810
2930	3232.4795	5120	811	811
5262	3232.3225	734	812	812
6019	3232.2637	453	813	813
3539	3232.2422	2442	814	814
4029	3232.0723	1554	815	815
3495	3231.1396	2568	816	816
6114	3230.9558	421	817	817
5102	3230.7322	797	818	818
3590	3230.5422	2316	819	819
6549	3230.487	278	820	820
6088	3230.4775	431	821	821
3118	3229.7017	4015	822	822
5662	3229.5818	580	823	823
3462	3229.4297	2650	824	824
6891	3229.0374	177	825	825
4067	3228.9111	1513	826	826
3330	3228.8516	3083	827	827
6268	3228.5374	372	828	828
6709	3228.3518	232	829	829
2377	3228.07	10954	830	830
3161	3227.623	3800	831	831
5671	3227.5984	576	832	832
3189	3227.5454	3675	833	833
4981	3227.05	854	834	834
4696	3226.792	1014	835	835
3092	3226.39	4138	836	836
4574	3225.9646	1076	837	837
2902	3225.4417	5329	838	838
3449	3225.3018	2680	839	839
3363	3225.2998	2942	840	840
3742	3224.9219	1979	841	841
3061	3224.8184	4295	842	842
2766	3224.5908	6375	843	843
2397	3224.1592	10640	844	844
2889	3224.0063	5431	845	845
6586	3223.7	268	846	846
6275	3223.516	370	847	847
2911	3223.3152	5248	848	848
4298	3223.1519	1287	849	849
6632	3222.3545	258	850	850
2358	3222.308	11282	851	851
4227	3222.308	1347	852	852
4584	3222.27	1072	853	853
4484	3221.299	1143	854	854
2515	3221.2842	8963	855	855
3021	3221.2463	4510	856	856
5795	3221.2285	529	857	857
3550	3220.9592	2408	858	858
3809	3220.801	1851	859	859
5059	3220.5835	814	860	860
6656	3219.6165	247	861	861
2928	3219.593	5133	862	862
4340	3218.7092	1246	863	863
4564	3218.402	1082	864	864
3262	3217.4321	3332	865	865
5411	3216.1707	673	866	866
3964	3215.9175	1635	867	867
2666	3215.841	7265	868	868
5888	3215.263	498	869	869
4888	3215.1655	903	870	870
5715	3213.888	557	871	871
2349	3213.3745	11453	872	872
2872	3212.848	5551	873	873
3076	3212.7483	4219	874	874
3506	3212.02	2538	875	875
3478	3211.7188	2615	876	876
3955	3211.5378	1642	877	877
5965	3211.343	469	878	878
2844	3211.0837	5768	879	879
5019	3210.992	836	880	880
5560	3210.7112	628	881	881
5222	3210.479	753	882	882
3245	3210.4688	3411	883	883
5548	3209.8865	637	884	884
6490	3209.8447	287	885	885
3801	3209.3938	1862	886	886
6404	3209.1921	320	887	887
2599	3208.6216	7968	888	888
4709	3208.3767	1003	889	889
3965	3208.2961	1634	890	890
3799	3207.6636	1869	891	891
2777	3207.3796	6294	892	892
3963	3207.3567	1636	893	893
5541	3205.764	640	894	894
3598	3205.4282	2288	895	895
3101	3204.4836	4093	896	896
4549	3203.8477	1092	897	897
3197	3203.5862	3652	898	898
6160	3203.484	408	899	899
3106	3203.426	4071	900	900
3928	3203.3738	1685	901	901
3453	3203.2454	2672	902	902
5558	3203.047	629	903	903
6263	3202.1646	375	904	904
2907	3201.1414	5290	905	905
3066	3200.98	4276	906	906
6216	3200.978	395	907	907
4801	3200.7935	949	908	908
6155	3200.235	411	909	909
3435	3200.0193	2732	910	910
4028	3200.0122	1555	911	911
5865	3199.8914	507	912	912
3001	3199.4346	4627	913	913
2500	3198.4966	9170	914	914
2852	3198.252	5695	915	915
4832	3198.1384	937	916	916
5667	3197.685	578	917	917
