Feature_ID	chrom	end	start	n_cells_by_counts	mean_counts	log1p_mean_counts	pct_dropout_by_counts	total_counts	log1p_total_counts
chr1_124950000_125000000::	chr1	125000000::	124950000	34	0.024088541	0.023802988	97.78645833333334	37.0	3.637586
chr1_125000000_125050000::	chr1	125050000::	125000000	40	0.027994791	0.0276101	97.39583333333334	43.0	3.7841897
chr1_67050000_67100000::	chr1	67100000::	67050000	80	0.0625	0.06062462	94.79166666666666	96.0	4.574711
chr1_67100000_67150000::	chr1	67150000::	67100000	51	0.037760418	0.037064947	96.6796875	58.0	4.0775375
chr1_67150000_67200000::	chr1	67200000::	67150000	57	0.039713543	0.038945235	96.2890625	61.0	4.1271343
chr1_67200000_67250000::	chr1	67250000::	67200000	48	0.033854168	0.033293728	96.875	52.0	3.9702919
chr1_67250000_67300000::	chr1	67300000::	67250000	35	0.025390625	0.025073638	97.72135416666666	39.0	3.6888795
chr1_67300000_67350000::	chr1	67350000::	67300000	35	0.024088541	0.023802988	97.72135416666666	37.0	3.637586
chr1_67350000_67400000::	chr1	67400000::	67350000	58	0.055338543	0.05386161	96.22395833333334	85.0	4.454347
chr1_67400000_67450000::	chr1	67450000::	67400000	36	0.027994791	0.0276101	97.65625	43.0	3.7841897
chr1_67450000_67500000::	chr1	67500000::	67450000	49	0.034505207	0.03392325	96.80989583333334	53.0	3.988984
chr1_67500000_67550000::	chr1	67550000::	67500000	39	0.026692709	0.026342673	97.4609375	41.0	3.7376697
chr1_67550000_67600000::	chr1	67600000::	67550000	28	0.018229166	0.018065007	98.17708333333334	28.0	3.3672957
chr1_67600000_67650000::	chr1	67650000::	67600000	32	0.021484375	0.02125684	97.91666666666666	33.0	3.5263605
chr1_67650000_67700000::	chr1	67700000::	67650000	42	0.030598959	0.030140147	97.265625	47.0	3.871201
chr1_67700000_67750000::	chr1	67750000::	67700000	32	0.026692709	0.026342673	97.91666666666666	41.0	3.7376697
chr1_67750000_67800000::	chr1	67800000::	67750000	25	0.018229166	0.018065007	98.37239583333334	28.0	3.3672957
chr1_67800000_67850000::	chr1	67850000::	67800000	29	0.01953125	0.019342963	98.11197916666666	30.0	3.4339871
chr1_67850000_67900000::	chr1	67900000::	67850000	38	0.02734375	0.026976587	97.52604166666666	42.0	3.7612002
chr1_67900000_67950000::	chr1	67950000::	67900000	44	0.033203125	0.032663807	97.13541666666666	51.0	3.9512436
chr1_67950000_68000000::	chr1	68000000::	67950000	44	0.033854168	0.033293728	97.13541666666666	52.0	3.9702919
chr1_68000000_68050000::	chr1	68050000::	68000000	36	0.025390625	0.025073638	97.65625	39.0	3.6888795
chr1_79050000_79100000::	chr1	79100000::	79050000	39	0.02734375	0.026976587	97.4609375	42.0	3.7612002
chr1_79100000_79150000::	chr1	79150000::	79100000	33	0.030598959	0.030140147	97.8515625	47.0	3.871201
chr1_79150000_79200000::	chr1	79200000::	79150000	45	0.029947916	0.029508233	97.0703125	46.0	3.8501477
chr1_79200000_79250000::	chr1	79250000::	79200000	49	0.038411457	0.0376921	96.80989583333334	59.0	4.0943446
chr1_79250000_79300000::	chr1	79300000::	79250000	54	0.04296875	0.042071212	96.484375	66.0	4.204693
chr1_79300000_79350000::	chr1	79350000::	79300000	47	0.033203125	0.032663807	96.94010416666666	51.0	3.9512436
chr1_79350000_79400000::	chr1	79400000::	79350000	36	0.025390625	0.025073638	97.65625	39.0	3.6888795
chr1_79400000_79450000::	chr1	79450000::	79400000	53	0.037760418	0.037064947	96.54947916666666	58.0	4.0775375
chr1_79450000_79500000::	chr1	79500000::	79450000	77	0.054036457	0.05262704	94.98697916666666	83.0	4.4308167
chr1_79500000_79550000::	chr1	79550000::	79500000	54	0.038411457	0.0376921	96.484375	59.0	4.0943446
chr1_79550000_79600000::	chr1	79600000::	79550000	107	0.087239586	0.08364199	93.03385416666666	134.0	4.905275
chr1_79600000_79650000::	chr1	79650000::	79600000	231	0.20117188	0.18329765	84.9609375	309.0	5.7365723
chr1_79650000_79700000::	chr1	79700000::	79650000	325	0.33789062	0.2910942	78.84114583333334	519.0	6.253829
chr1_79700000_79750000::	chr1	79750000::	79700000	385	0.46289062	0.38041437	74.93489583333333	711.0	6.568078
chr1_79750000_79800000::	chr1	79800000::	79750000	541	0.7285156	0.547263	64.77864583333333	1119.0	7.021084
chr1_79800000_79850000::	chr1	79850000::	79800000	230	0.20182292	0.1838395	85.02604166666666	310.0	5.739793
chr1_79850000_79900000::	chr1	79900000::	79850000	319	0.32747397	0.28327787	79.23177083333334	503.0	6.222576
chr1_79900000_79950000::	chr1	79950000::	79900000	143	0.125	0.11778303	90.69010416666666	192.0	5.26269
chr1_79950000_80000000::	chr1	80000000::	79950000	137	0.125	0.11778303	91.08072916666666	192.0	5.26269
chr1_80000000_80050000::	chr1	80050000::	80000000	411	0.46158853	0.37952387	73.2421875	709.0	6.565265
chr1_71085500_71135500::	chr1	71135500::	71085500	358	0.41210938	0.34508458	76.69270833333334	633.0	6.452049
chr1_71135500_71185500::	chr1	71185500::	71135500	88	0.068359375	0.06612418	94.27083333333334	105.0	4.6634393
chr1_71185500_71235500::	chr1	71235500::	71185500	44	0.032552082	0.03203349	97.13541666666666	50.0	3.9318256
chr1_71235500_71250600::	chr1	71250600::	71235500	17	0.011067708	0.011006909	98.89322916666666	17.0	2.8903718
chr1_19177200_19227200::	chr1	19227200::	19177200	80	0.055989582	0.05447832	94.79166666666666	86.0	4.465908
chr1_19227200_19277200::	chr1	19277200::	19227200	40	0.027994791	0.0276101	97.39583333333334	43.0	3.7841897
chr1_19277200_19327200::	chr1	19327200::	19277200	40	0.0390625	0.038318865	97.39583333333334	60.0	4.1108737
chr1_19327200_19377200::	chr1	19377200::	19327200	29	0.01953125	0.019342963	98.11197916666666	30.0	3.4339871
chr1_19377200_19427200::	chr1	19427200::	19377200	32	0.020833334	0.020619288	97.91666666666666	32.0	3.4965076
chr1_19427200_19477200::	chr1	19477200::	19427200	22	0.018229166	0.018065007	98.56770833333334	28.0	3.3672957
chr1_19477200_19527200::	chr1	19527200::	19477200	40	0.029296875	0.028875923	97.39583333333334	45.0	3.8286414
chr1_19527200_19577200::	chr1	19577200::	19527200	27	0.018229166	0.018065007	98.2421875	28.0	3.3672957
chr1_19577200_19627200::	chr1	19627200::	19577200	20	0.013671875	0.013579258	98.69791666666666	21.0	3.0910425
chr1_19627200_19677200::	chr1	19677200::	19627200	30	0.020182291	0.019981328	98.046875	31.0	3.465736
chr1_19677200_19727200::	chr1	19727200::	19677200	30	0.020833334	0.020619288	98.046875	32.0	3.4965076
chr1_19727200_19777200::	chr1	19777200::	19727200	31	0.021484375	0.02125684	97.98177083333334	33.0	3.5263605
chr1_19777200_19827200::	chr1	19827200::	19777200	25	0.016927084	0.016785417	98.37239583333334	26.0	3.295837
chr1_19827200_19877200::	chr1	19877200::	19827200	27	0.018229166	0.018065007	98.2421875	28.0	3.3672957
chr1_19877200_19927200::	chr1	19927200::	19877200	30	0.021484375	0.02125684	98.046875	33.0	3.5263605
chr1_19927200_19977200::	chr1	19977200::	19927200	47	0.032552082	0.03203349	96.94010416666666	50.0	3.9318256
chr1_19977200_20027200::	chr1	20027200::	19977200	32	0.0234375	0.023167059	97.91666666666666	36.0	3.6109178
chr1_20027200_20050000::	chr1	20050000::	20027200	9	0.005859375	0.0058422755	99.4140625	9.0	2.3025851
chr1_47050000_47100000::	chr1	47100000::	47050000	34	0.022135416	0.021893984	97.78645833333334	34.0	3.5553482
chr1_47100000_47150000::	chr1	47150000::	47100000	59	0.041666668	0.040821996	96.15885416666666	64.0	4.1743875
chr1_47150000_47200000::	chr1	47200000::	47150000	27	0.020182291	0.019981328	98.2421875	31.0	3.465736
chr1_47200000_47250000::	chr1	47250000::	47200000	23	0.016276041	0.016145006	98.50260416666666	25.0	3.2580965
chr1_47250000_47300000::	chr1	47300000::	47250000	35	0.028645834	0.028243212	97.72135416666666	44.0	3.8066626
chr1_47300000_47350000::	chr1	47350000::	47300000	30	0.020182291	0.019981328	98.046875	31.0	3.465736
chr1_47350000_47400000::	chr1	47400000::	47350000	37	0.025390625	0.025073638	97.59114583333334	39.0	3.6888795
chr1_47400000_47450000::	chr1	47450000::	47400000	28	0.020833334	0.020619288	98.17708333333334	32.0	3.4965076
chr1_47450000_47500000::	chr1	47500000::	47450000	34	0.022135416	0.021893984	97.78645833333334	34.0	3.5553482
chr1_47500000_47550000::	chr1	47550000::	47500000	30	0.022135416	0.021893984	98.046875	34.0	3.5553482
chr1_47550000_47600000::	chr1	47600000::	47550000	28	0.018229166	0.018065007	98.17708333333334	28.0	3.3672957
chr1_47600000_47650000::	chr1	47650000::	47600000	34	0.024088541	0.023802988	97.78645833333334	37.0	3.637586
chr1_47650000_47700000::	chr1	47700000::	47650000	58	0.0390625	0.038318865	96.22395833333334	60.0	4.1108737
chr1_47700000_47750000::	chr1	47750000::	47700000	37	0.025390625	0.025073638	97.59114583333334	39.0	3.6888795
chr1_47750000_47800000::	chr1	47800000::	47750000	28	0.01953125	0.019342963	98.17708333333334	30.0	3.4339871
chr1_47800000_47850000::	chr1	47850000::	47800000	37	0.026041666	0.025708357	97.59114583333334	40.0	3.713572
chr1_47850000_47900000::	chr1	47900000::	47850000	46	0.032552082	0.03203349	97.00520833333334	50.0	3.9318256
chr1_47900000_47950000::	chr1	47950000::	47900000	31	0.022135416	0.021893984	97.98177083333334	34.0	3.5553482
chr1_47950000_48000000::	chr1	48000000::	47950000	33	0.022786459	0.022530725	97.8515625	35.0	3.583519
chr1_48000000_48050000::	chr1	48050000::	48000000	43	0.030598959	0.030140147	97.20052083333334	47.0	3.871201
chr1_69457800_69507800::	chr1	69507800::	69457800	258	0.2220052	0.20049313	83.203125	341.0	5.8348107
chr1_69507800_69557800::	chr1	69557800::	69507800	231	0.2220052	0.20049313	84.9609375	341.0	5.8348107
chr1_69557800_69607800::	chr1	69607800::	69557800	187	0.14713542	0.13726789	87.82552083333334	226.0	5.42495
chr1_69607800_69657800::	chr1	69657800::	69607800	279	0.33007812	0.2852377	81.8359375	507.0	6.2304816
chr1_69657800_69707800::	chr1	69707800::	69657800	244	0.23307292	0.20950937	84.11458333333334	358.0	5.8833222
chr1_69707800_69757800::	chr1	69757800::	69707800	91	0.076171875	0.07341018	94.07552083333334	117.0	4.7706847
chr1_69757800_69807800::	chr1	69807800::	69757800	127	0.1015625	0.09672962	91.73177083333334	156.0	5.056246
chr1_69807800_69857800::	chr1	69857800::	69807800	48	0.03515625	0.03455238	96.875	54.0	4.0073333
chr1_69857800_69907800::	chr1	69907800::	69857800	53	0.039713543	0.038945235	96.54947916666666	61.0	4.1271343
chr1_69907800_69957800::	chr1	69957800::	69907800	35	0.024088541	0.023802988	97.72135416666666	37.0	3.637586
chr1_69957800_70007800::	chr1	70007800::	69957800	40	0.026041666	0.025708357	97.39583333333334	40.0	3.713572
chr1_70007800_70050000::	chr1	70050000::	70007800	32	0.021484375	0.02125684	97.91666666666666	33.0	3.5263605
chr1_56050000_56100000::	chr1	56100000::	56050000	46	0.038411457	0.0376921	97.00520833333334	59.0	4.0943446
chr1_56100000_56119600::	chr1	56119600::	56100000	22	0.015625	0.015504187	98.56770833333334	24.0	3.218876
chr1_128050000_128100000::	chr1	128100000::	128050000	286	0.2454427	0.21949106	81.38020833333334	377.0	5.934894
chr1_128100000_128150000::	chr1	128150000::	128100000	368	0.41080728	0.34416205	76.04166666666666	631.0	6.4488893
chr1_128150000_128200000::	chr1	128200000::	128150000	162	0.12695312	0.11951764	89.453125	195.0	5.278115
chr1_128200000_128250000::	chr1	128250000::	128200000	241	0.22070312	0.19942702	84.30989583333334	339.0	5.8289456
chr1_128250000_128300000::	chr1	128300000::	128250000	158	0.13671875	0.12814581	89.71354166666666	210.0	5.351858
chr1_128300000_128350000::	chr1	128350000::	128300000	340	0.38216147	0.32364857	77.86458333333334	587.0	6.376727
chr1_128350000_128400000::	chr1	128400000::	128350000	458	0.54296875	0.43370834	70.18229166666667	834.0	6.727432
chr1_128400000_128450000::	chr1	128450000::	128400000	636	1.1640625	0.77198726	58.59375	1788.0	7.4894123
chr1_128450000_128500000::	chr1	128500000::	128450000	554	0.9661458	0.67607516	63.93229166666667	1484.0	7.30317
chr1_128500000_128550000::	chr1	128550000::	128500000	531	0.7675781	0.5696103	65.4296875	1179.0	7.07327
chr1_128550000_128600000::	chr1	128600000::	128550000	786	1.4791666	0.9079225	48.828125	2272.0	7.7288556
chr1_128600000_128650000::	chr1	128650000::	128600000	742	1.3554688	0.85673976	51.69270833333333	2082.0	7.6415644
chr1_128650000_128700000::	chr1	128700000::	128650000	490	0.62369794	0.48470622	68.09895833333333	958.0	6.865891
chr1_128700000_128750000::	chr1	128750000::	128700000	574	0.79036456	0.5824193	62.63020833333333	1214.0	7.1024995
chr1_128750000_128800000::	chr1	128800000::	128750000	387	0.4440104	0.36742422	74.8046875	682.0	6.526495
chr1_128800000_128850000::	chr1	128850000::	128800000	408	0.53776044	0.43032712	73.4375	826.0	6.717805
chr1_128850000_128900000::	chr1	128900000::	128850000	143	0.12109375	0.114304766	90.69010416666666	186.0	5.2311087
chr1_128900000_128950000::	chr1	128950000::	128900000	87	0.071614586	0.06916647	94.3359375	110.0	4.7095304
chr1_128950000_129000000::	chr1	129000000::	128950000	75	0.055338543	0.05386161	95.1171875	85.0	4.454347
chr1_129000000_129050000::	chr1	129050000::	129000000	77	0.07096354	0.068558745	94.98697916666666	109.0	4.7004805
chr1_108050000_108100000::	chr1	108100000::	108050000	37	0.024088541	0.023802988	97.59114583333334	37.0	3.637586
chr1_108100000_108150000::	chr1	108150000::	108100000	33	0.022786459	0.022530725	97.8515625	35.0	3.583519
chr1_108150000_108200000::	chr1	108200000::	108150000	44	0.03515625	0.03455238	97.13541666666666	54.0	4.0073333
chr1_108200000_108250000::	chr1	108250000::	108200000	39	0.025390625	0.025073638	97.4609375	39.0	3.6888795
chr1_108250000_108300000::	chr1	108300000::	108250000	52	0.038411457	0.0376921	96.61458333333334	59.0	4.0943446
chr1_108300000_108350000::	chr1	108350000::	108300000	42	0.029296875	0.028875923	97.265625	45.0	3.8286414
chr1_108350000_108400000::	chr1	108400000::	108350000	35	0.025390625	0.025073638	97.72135416666666	39.0	3.6888795
chr1_108400000_108450000::	chr1	108450000::	108400000	35	0.024088541	0.023802988	97.72135416666666	37.0	3.637586
chr1_108450000_108500000::	chr1	108500000::	108450000	30	0.01953125	0.019342963	98.046875	30.0	3.4339871
chr1_108500000_108550000::	chr1	108550000::	108500000	25	0.020833334	0.020619288	98.37239583333334	32.0	3.4965076
chr1_108550000_108600000::	chr1	108600000::	108550000	41	0.029947916	0.029508233	97.33072916666666	46.0	3.8501477
chr1_108600000_108650000::	chr1	108650000::	108600000	36	0.024739584	0.024438515	97.65625	38.0	3.6635616
chr1_108650000_108700000::	chr1	108700000::	108650000	33	0.024088541	0.023802988	97.8515625	37.0	3.637586
chr1_108700000_108750000::	chr1	108750000::	108700000	33	0.022786459	0.022530725	97.8515625	35.0	3.583519
chr1_108750000_108800000::	chr1	108800000::	108750000	29	0.018880209	0.018704189	98.11197916666666	29.0	3.4011974
chr1_108800000_108850000::	chr1	108850000::	108800000	38	0.027994791	0.0276101	97.52604166666666	43.0	3.7841897
chr1_108850000_108900000::	chr1	108900000::	108850000	25	0.016276041	0.016145006	98.37239583333334	25.0	3.2580965
chr1_108900000_108950000::	chr1	108950000::	108900000	38	0.026041666	0.025708357	97.52604166666666	40.0	3.713572
chr1_108950000_109000000::	chr1	109000000::	108950000	36	0.027994791	0.0276101	97.65625	43.0	3.7841897
chr1_109000000_109050000::	chr1	109050000::	109000000	29	0.022135416	0.021893984	98.11197916666666	34.0	3.5553482
chr1_183300500_183350500::	chr1	183350500::	183300500	360	0.50911456	0.4115231	76.5625	782.0	6.6631327
chr1_183350500_183400500::	chr1	183400500::	183350500	284	0.25585938	0.22782011	81.51041666666666	393.0	5.976351
chr1_183400500_183450500::	chr1	183450500::	183400500	147	0.115234375	0.10906458	90.4296875	177.0	5.1817837
chr1_183450500_183500500::	chr1	183500500::	183450500	11	0.008463542	0.008427927	99.28385416666666	13.0	2.6390574
chr1_183500500_183550500::	chr1	183550500::	183500500	150	0.13411458	0.12585223	90.234375	206.0	5.332719
chr1_183550500_183600500::	chr1	183600500::	183550500	89	0.06705729	0.06490466	94.20572916666666	103.0	4.644391
chr1_183600500_183650500::	chr1	183650500::	183600500	108	0.08528646	0.08184397	92.96875	131.0	4.882802
chr1_183650500_183700500::	chr1	183700500::	183650500	143	0.123697914	0.11662495	90.69010416666666	190.0	5.2522736
chr1_183700500_183750500::	chr1	183750500::	183700500	118	0.09049479	0.08663153	92.31770833333334	139.0	4.9416423
chr1_183750500_183800500::	chr1	183800500::	183750500	168	0.14192708	0.13271725	89.0625	218.0	5.389072
chr1_183800500_183850500::	chr1	183850500::	183800500	205	0.18684895	0.17130186	86.65364583333334	287.0	5.6629605
chr1_183850500_183900500::	chr1	183900500::	183850500	155	0.12695312	0.11951764	89.90885416666666	195.0	5.278115
chr1_183900500_183950500::	chr1	183950500::	183900500	199	0.21809895	0.19729142	87.04427083333334	335.0	5.817111
chr1_183950500_184000500::	chr1	184000500::	183950500	238	0.21679688	0.1962219	84.50520833333334	333.0	5.811141
chr1_184000500_184050000::	chr1	184050000::	184000500	389	0.51953125	0.41840193	74.67447916666667	798.0	6.683361
chr1_29050000_29100000::	chr1	29100000::	29050000	18	0.01171875	0.011650617	98.828125	18.0	2.944439
chr1_29100000_29150000::	chr1	29150000::	29100000	33	0.022786459	0.022530725	97.8515625	35.0	3.583519
chr1_29150000_29200000::	chr1	29200000::	29150000	32	0.020833334	0.020619288	97.91666666666666	32.0	3.4965076
chr1_29200000_29250000::	chr1	29250000::	29200000	32	0.022786459	0.022530725	97.91666666666666	35.0	3.583519
chr1_29250000_29300000::	chr1	29300000::	29250000	33	0.024739584	0.024438515	97.8515625	38.0	3.6635616
chr1_29300000_29350000::	chr1	29350000::	29300000	14	0.009765625	0.00971825	99.08854166666666	15.0	2.7725887
chr1_29350000_29400000::	chr1	29400000::	29350000	27	0.017578125	0.017425416	98.2421875	27.0	3.3322046
chr1_29400000_29450000::	chr1	29450000::	29400000	29	0.021484375	0.02125684	98.11197916666666	33.0	3.5263605
chr1_29450000_29500000::	chr1	29500000::	29450000	39	0.026692709	0.026342673	97.4609375	41.0	3.7376697
chr1_29500000_29550000::	chr1	29550000::	29500000	20	0.014973958	0.014862955	98.69791666666666	23.0	3.1780539
chr1_29550000_29600000::	chr1	29600000::	29550000	25	0.01953125	0.019342963	98.37239583333334	30.0	3.4339871
chr1_29600000_29650000::	chr1	29650000::	29600000	20	0.013020833	0.0129367905	98.69791666666666	20.0	3.0445225
chr1_29650000_29700000::	chr1	29700000::	29650000	29	0.020182291	0.019981328	98.11197916666666	31.0	3.465736
chr1_29700000_29750000::	chr1	29750000::	29700000	22	0.016276041	0.016145006	98.56770833333334	25.0	3.2580965
chr1_29750000_29800000::	chr1	29800000::	29750000	32	0.024088541	0.023802988	97.91666666666666	37.0	3.637586
chr1_29800000_29850000::	chr1	29850000::	29800000	26	0.018880209	0.018704189	98.30729166666666	29.0	3.4011974
chr1_29850000_29900000::	chr1	29900000::	29850000	35	0.0234375	0.023167059	97.72135416666666	36.0	3.6109178
chr1_29900000_29950000::	chr1	29950000::	29900000	27	0.018229166	0.018065007	98.2421875	28.0	3.3672957
chr1_29950000_30000000::	chr1	30000000::	29950000	40	0.027994791	0.0276101	97.39583333333334	43.0	3.7841897
chr1_30000000_30050000::	chr1	30050000::	30000000	25	0.016276041	0.016145006	98.37239583333334	25.0	3.2580965
chr1_8050000_8100000::	chr1	8100000::	8050000	26	0.017578125	0.017425416	98.30729166666666	27.0	3.3322046
chr1_8100000_8150000::	chr1	8150000::	8100000	38	0.025390625	0.025073638	97.52604166666666	39.0	3.6888795
chr1_8150000_8200000::	chr1	8200000::	8150000	23	0.016276041	0.016145006	98.50260416666666	25.0	3.2580965
chr1_8200000_8250000::	chr1	8250000::	8200000	31	0.022786459	0.022530725	97.98177083333334	35.0	3.583519
chr1_8250000_8300000::	chr1	8300000::	8250000	39	0.02734375	0.026976587	97.4609375	42.0	3.7612002
chr1_8300000_8350000::	chr1	8350000::	8300000	34	0.024088541	0.023802988	97.78645833333334	37.0	3.637586
chr1_8350000_8400000::	chr1	8400000::	8350000	38	0.027994791	0.0276101	97.52604166666666	43.0	3.7841897
chr1_8400000_8450000::	chr1	8450000::	8400000	30	0.021484375	0.02125684	98.046875	33.0	3.5263605
chr1_8450000_8500000::	chr1	8500000::	8450000	30	0.021484375	0.02125684	98.046875	33.0	3.5263605
chr1_8500000_8550000::	chr1	8550000::	8500000	34	0.024088541	0.023802988	97.78645833333334	37.0	3.637586
chr1_8550000_8600000::	chr1	8600000::	8550000	35	0.024739584	0.024438515	97.72135416666666	38.0	3.6635616
chr1_8600000_8628600::	chr1	8628600::	8600000	16	0.010416667	0.010362787	98.95833333333334	16.0	2.8332133
chr1_40050000_40100000::	chr1	40100000::	40050000	597	1.0221354	0.7041541	61.1328125	1570.0	7.3594675
chr1_40100000_40150000::	chr1	40150000::	40100000	267	0.25325522	0.22574435	82.6171875	389.0	5.966147
chr1_40150000_40200000::	chr1	40200000::	40150000	113	0.091796875	0.087824844	92.64322916666666	141.0	4.955827
chr1_40200000_40250000::	chr1	40250000::	40200000	360	0.37695312	0.31987315	76.5625	579.0	6.363028
chr1_40250000_40300000::	chr1	40300000::	40250000	444	0.5605469	0.44503632	71.09375	861.0	6.7592554
chr1_40300000_40350000::	chr1	40350000::	40300000	363	0.4049479	0.3400002	76.3671875	622.0	6.4345465
chr1_40350000_40400000::	chr1	40400000::	40350000	446	0.58463544	0.4603544	70.96354166666667	898.0	6.801283
chr1_40400000_40450000::	chr1	40450000::	40400000	468	0.53776044	0.43032712	69.53125	826.0	6.717805
chr1_40450000_40500000::	chr1	40500000::	40450000	483	0.5761719	0.45499903	68.5546875	885.0	6.786717
chr1_40500000_40550000::	chr1	40550000::	40500000	474	0.6692708	0.5123869	69.140625	1028.0	6.9363427
chr1_40550000_40600000::	chr1	40600000::	40550000	177	0.16210938	0.15023677	88.4765625	249.0	5.521461
chr1_40600000_40650000::	chr1	40650000::	40600000	215	0.19335938	0.17677234	86.00260416666666	297.0	5.6970935
chr1_40650000_40700000::	chr1	40700000::	40650000	208	0.1764323	0.16248637	86.45833333333334	271.0	5.605802
chr1_40700000_40750000::	chr1	40750000::	40700000	130	0.10091146	0.09613843	91.53645833333334	155.0	5.049856
chr1_40750000_40800000::	chr1	40800000::	40750000	261	0.24414062	0.21844503	83.0078125	375.0	5.9295893
chr1_40800000_40850000::	chr1	40850000::	40800000	144	0.13085938	0.122977845	90.625	201.0	5.3082676
chr1_40850000_40900000::	chr1	40900000::	40850000	76	0.053385418	0.052009184	95.05208333333334	82.0	4.4188404
chr1_40900000_40950000::	chr1	40950000::	40900000	55	0.037760418	0.037064947	96.41927083333334	58.0	4.0775375
chr1_40950000_41000000::	chr1	41000000::	40950000	55	0.039713543	0.038945235	96.41927083333334	61.0	4.1271343
chr1_41000000_41050000::	chr1	41050000::	41000000	49	0.03515625	0.03455238	96.80989583333334	54.0	4.0073333
chr1_195050000_195100000::	chr1	195100000::	195050000	181	0.16145833	0.1496764	88.21614583333334	248.0	5.5174527
chr1_195100000_195150000::	chr1	195150000::	195100000	321	0.30794272	0.26845545	79.1015625	473.0	6.161207
chr1_195150000_195200000::	chr1	195200000::	195150000	169	0.14973958	0.13953546	88.99739583333334	230.0	5.4424176
chr1_195200000_195239800::	chr1	195239800::	195200000	122	0.095052086	0.090801924	92.05729166666666	146.0	4.9904327
chr1_100050000_100100000::	chr1	100100000::	100050000	63	0.049479168	0.04829401	95.8984375	76.0	4.3438053
chr1_100100000_100150000::	chr1	100150000::	100100000	49	0.035807293	0.035181116	96.80989583333334	55.0	4.0253515
chr1_100150000_100200000::	chr1	100200000::	100150000	44	0.032552082	0.03203349	97.13541666666666	50.0	3.9318256
chr1_100200000_100250000::	chr1	100250000::	100200000	34	0.024739584	0.024438515	97.78645833333334	38.0	3.6635616
chr1_100250000_100300000::	chr1	100300000::	100250000	36	0.025390625	0.025073638	97.65625	39.0	3.6888795
chr1_100300000_100350000::	chr1	100350000::	100300000	30	0.020182291	0.019981328	98.046875	31.0	3.465736
chr1_100350000_100400000::	chr1	100400000::	100350000	34	0.024088541	0.023802988	97.78645833333334	37.0	3.637586
chr1_100400000_100450000::	chr1	100450000::	100400000	30	0.020833334	0.020619288	98.046875	32.0	3.4965076
chr1_100450000_100500000::	chr1	100500000::	100450000	38	0.024739584	0.024438515	97.52604166666666	38.0	3.6635616
chr1_100500000_100550000::	chr1	100550000::	100500000	31	0.020182291	0.019981328	97.98177083333334	31.0	3.465736
chr1_100550000_100600000::	chr1	100600000::	100550000	37	0.026041666	0.025708357	97.59114583333334	40.0	3.713572
chr1_100600000_100650000::	chr1	100650000::	100600000	28	0.01953125	0.019342963	98.17708333333334	30.0	3.4339871
chr1_100650000_100700000::	chr1	100700000::	100650000	28	0.018880209	0.018704189	98.17708333333334	29.0	3.4011974
chr1_100700000_100737900::	chr1	100737900::	100700000	40	0.028645834	0.028243212	97.39583333333334	44.0	3.8066626
chr1_153050000_153100000::	chr1	153100000::	153050000	163	0.13476562	0.12642613	89.38802083333334	207.0	5.3375382
chr1_153100000_153150000::	chr1	153150000::	153100000	142	0.1328125	0.124703474	90.75520833333334	204.0	5.32301
chr1_153150000_153200000::	chr1	153200000::	153150000	146	0.12630208	0.118939765	90.49479166666666	194.0	5.273
